label,line,instructions
start,16,61
label0001,79,1
label0004,83,22
label0009,107,5
label0096,114,6
label012C,122,3
label012D,127,2
label0131,131,4
label0132,137,1
label0133,140,7
label00B5,149,6
label00B6,157,9
label00B7,168,9
label00B8,179,9
label00B9,190,9
label00B4,201,9
label0066,212,11
label0067,225,11
label0068,238,12
label0069,252,1
label006A,255,4
label006B,261,4
label006C,267,4
label00C8,273,7
label0105,283,3
label0106,289,3
label0107,294,3
label0108,299,3
label0109,304,3
label010A,309,3
label00FB,314,4
label012F,320,6
label0130,328,6
label0136,336,5
label009D,343,16
label009E,361,13
label009F,376,13
label00A0,391,13
label00A1,406,14
label00A3,422,11
label00D2,435,8
label00D3,446,6
label00DC,454,6
label00E6,463,22
label0063,488,8
label0137,498,6
