label,line,instructions
start,16,57
label0001,80,1
label0004,84,22
label0009,108,5
label0096,115,6
label012C,123,3
label012D,128,2
label0131,132,4
label0132,138,1
label0133,141,6
label00B5,149,6
label00B6,157,9
label00B7,168,9
label00B8,179,9
label00B9,190,9
label00B4,201,9
label0066,212,11
label0067,225,11
label0068,238,12
label0069,252,1
label006A,255,4
label006B,261,4
label006C,267,4
label00C8,273,6
label0105,282,3
label0106,287,3
label0107,292,3
label0108,297,3
label0109,302,3
label00FB,307,4
label012E,313,5
label012F,320,11
label0130,333,6
label0136,341,5
label009F,348,17
label00A0,367,14
label00A1,383,14
label00A2,399,15
label00A3,416,12
label00D2,430,8
label00D3,441,6
label00DC,449,6
label00E6,458,22
label0063,483,8
label0137,493,4
