floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
1,101,10,1,10,1,set_switch(5); set_switch(6); set_switch(11); set_switch(12); stop,1,"{""0x0040"": 1}"
1,111,11,1,200,1,trigger_event(1111); stop,3,"{""0x0041"": 3}"
1,1111,11,2,10,1,set_switch(28); set_switch(29); stop,4,"{""0x00A6"": 3, ""0x0061"": 1}"
1,201,20,1,10,1,trigger_event(2021); stop,4,"{""0x00A6"": 4}"
1,2021,20,2,10,1,set_switch(3); set_switch(4); set_switch(9); set_switch(10); stop,5,"{""0x00A6"": 5}"
1,301,30,1,1,1,set_switch(23); set_switch(24); set_switch(25); set_switch(26); set_switch(27); stop,4,"{""0x0061"": 4}"
1,411,41,1,30,1,trigger_event(4111); stop,2,"{""0x0041"": 2}"
1,4111,41,2,100,1,set_switch(42); set_switch(43); stop,3,"{""0x00A6"": 3}"
1,601,60,1,250,1,trigger_event(6011); stop,3,"{""0x00A6"": 3}"
1,6011,60,2,10,1,set_switch(9); set_switch(10); set_switch(17); set_switch(18); stop,4,"{""0x00A6"": 4}"
1,611,61,1,100,1,set_switch(30); set_switch(31); stop,2,"{""0x0060"": 2}"
1,701,70,1,10,1,trigger_event(7011); stop,4,"{""0x00A6"": 4}"
1,7011,70,2,10,1,trigger_event(7012); stop,3,"{""0x0061"": 2, ""0x00A6"": 1}"
1,7012,70,3,200,1,set_switch(32); set_switch(33); stop,1,"{""0x0060"": 1}"
1,703,70,4,1,1,set_switch(11); set_switch(12); stop,2,"{""0x0060"": 2}"
1,901,90,1,10,1,set_switch(38); set_switch(39); stop,1,"{""0x0042"": 1}"
1,911,91,1,150,1,set_switch(34); set_switch(35); set_switch(36); set_switch(37); set_switch(40); set_switch(41); stop,2,"{""0x0061"": 2}"
1,921,92,1,150,1,set_switch(1); set_switch(2); set_switch(7); set_switch(8); set_switch(3); set_switch(4); set_switch(5); set_switch(6); stop,3,"{""0x00A6"": 3}"
1,931,93,1,10,1,set_switch(13); set_switch(14); set_switch(15); set_switch(16); set_switch(19); set_switch(20); set_switch(21); set_switch(22); stop,3,"{""0x00A6"": 3}"
1,1011,101,1,1,1,stop,2,"{""0x00A6"": 2}"
1,1021,102,1,1,1,stop,2,"{""0x00A6"": 2}"
2,101,10,1,1,1,trigger_event(10101); stop,4,"{""0x0041"": 2, ""0x0061"": 2}"
2,10101,10,2,100,1,trigger_event(10102); stop,4,"{""0x00A6"": 2, ""0x0061"": 2}"
2,10102,10,3,10,1,set_switch(3); set_switch(4); stop,0,{}
2,402,40,5,10,1,stop,1,"{""0x0041"": 1}"
2,403,40,6,40,1,stop,1,"{""0x0041"": 1}"
2,404,40,7,70,1,stop,1,"{""0x0041"": 1}"
2,401,40,1,130,1,trigger_event(4011); stop,1,"{""0x0040"": 1}"
2,4011,40,2,10,1,trigger_event(4012); stop,5,"{""0x00A6"": 5}"
2,4012,40,3,10,1,trigger_event(4013); stop,3,"{""0x0061"": 2, ""0x0060"": 1}"
2,4013,40,4,150,1,set_switch(7); set_switch(8); set_switch(9); set_switch(10); set_switch(17); set_switch(18); set_switch(22); stop,2,"{""0x0040"": 2}"
2,411,41,1,10,1,trigger_event(4111); stop,5,"{""0x00A6"": 5}"
2,4111,41,2,10,1,trigger_event(4112); stop,5,"{""0x0061"": 2, ""0x0041"": 3}"
2,4112,41,3,60,1,trigger_event(4113); stop,6,"{""0x00A6"": 6}"
2,4113,41,4,100,1,trigger_event(4114); stop,5,"{""0x0060"": 2, ""0x00A6"": 3}"
2,4114,41,5,10,1,set_switch(11); set_switch(12); stop,5,"{""0x0061"": 3, ""0x0040"": 2}"
2,601,60,1,30,1,trigger_event(6011); stop,4,"{""0x0041"": 2, ""0x0061"": 2}"
2,6011,60,2,100,1,trigger_event(6012); stop,4,"{""0x00A6"": 3, ""0x0042"": 1}"
2,6012,60,3,10,1,set_switch(23); set_switch(24); set_switch(25); set_switch(13); set_switch(14); stop,0,{}
2,602,60,4,100,1,stop,0,{}
2,901,90,1,1,1,set_switch(15); set_switch(16); stop,4,"{""0x0061"": 4}"
2,911,91,1,1,1,set_switch(5); set_switch(6); stop,3,"{""0x00A6"": 3}"
2,1011,101,1,1,1,stop,1,"{""0x0042"": 1}"
2,1601,160,1,1,1,stop,2,"{""0x0061"": 2}"
3,101,10,1,150,1,set_switch(1); set_switch(2); stop,3,"{""0x0040"": 3}"
3,111,11,1,150,1,set_switch(37); set_switch(38); stop,1,"{""0x00A5"": 1}"
3,201,20,1,150,1,set_switch(17); set_switch(18); set_switch(19); set_switch(20); stop,1,"{""0x0040"": 1}"
3,301,30,1,300,1,set_switch(21); set_switch(22); stop,4,"{""0x00A6"": 4}"
3,401,40,1,10,1,trigger_event(4011); stop,6,"{""0x00A6"": 6}"
3,4011,40,2,10,1,set_switch(11); set_switch(12); stop,6,"{""0x00A6"": 6}"
3,411,41,1,10,1,trigger_event(4111); stop,6,"{""0x00A6"": 6}"
3,4111,41,2,150,1,set_switch(25); set_switch(26); set_switch(23); set_switch(24); stop,6,"{""0x00A6"": 6}"
3,611,61,1,1,1,trigger_event(6111); stop,4,"{""0x00A6"": 4}"
3,6111,61,2,150,1,set_switch(40); set_switch(39); stop,3,"{""0x0060"": 1, ""0x0061"": 2}"
3,501,50,1,60,1,trigger_event(5011); stop,1,"{""0x0040"": 1}"
3,5011,50,2,150,1,set_switch(13); set_switch(14); set_switch(15); set_switch(16); stop,2,"{""0x0040"": 2}"
3,701,70,1,100,1,trigger_event(7011); stop,4,"{""0x0042"": 1, ""0x00A6"": 3}"
3,7011,70,2,10,1,trigger_event(7012); stop,4,"{""0x00A6"": 2, ""0x0061"": 2}"
3,7012,70,3,10,1,set_switch(29); set_switch(30); set_switch(31); set_switch(32); set_switch(33); set_switch(34); set_switch(35); set_switch(36); stop,4,"{""0x0040"": 1, ""0x00A6"": 3}"
3,901,90,1,1,1,set_switch(43); set_switch(44); stop,4,"{""0x0041"": 4}"
3,911,91,1,1,1,set_switch(27); set_switch(28); stop,4,"{""0x00A6"": 4}"
3,931,93,1,1,1,set_switch(3); set_switch(4); set_switch(5); set_switch(6); stop,4,"{""0x0042"": 1, ""0x00A6"": 3}"
3,941,94,1,1,1,set_switch(7); set_switch(8); set_switch(9); set_switch(10); stop,4,"{""0x0061"": 4}"
3,1001,100,1,1,1,stop,2,"{""0x0041"": 2}"
3,1011,101,1,1,1,stop,1,"{""0x0040"": 1}"
3,1031,103,1,1,1,stop,3,"{""0x00A6"": 3}"
4,101,10,1,10,1,trigger_event(1011); stop,1,"{""0x0042"": 1}"
4,1011,10,2,10,1,trigger_event(1012); stop,2,"{""0x0042"": 2}"
4,1012,10,3,10,1,set_switch(40); set_switch(41); set_switch(42); stop,3,"{""0x0042"": 3}"
4,111,11,1,10,1,set_switch(3); set_switch(4); stop,4,"{""0x0061"": 4}"
4,301,30,1,10,1,set_switch(34); set_switch(35); stop,3,"{""0x00A6"": 3}"
4,401,40,1,10,1,trigger_event(4011); stop,4,"{""0x0061"": 4}"
4,4011,40,2,150,1,set_switch(1); set_switch(2); stop,4,"{""0x0061"": 4}"
4,501,50,1,10,1,trigger_event(5011); stop,4,"{""0x0060"": 1, ""0x00A6"": 3}"
4,5011,50,2,10,1,trigger_event(5012); stop,5,"{""0x00A6"": 3, ""0x0041"": 2}"
4,5012,50,3,200,1,set_switch(12); set_switch(13); stop,5,"{""0x0061"": 2, ""0x00A6"": 2, ""0x0040"": 1}"
4,601,60,1,10,1,trigger_event(6011); stop,5,"{""0x0041"": 3, ""0x0061"": 2}"
4,6011,60,2,10,1,set_switch(36); set_switch(37); set_switch(38); set_switch(39); stop,4,"{""0x0060"": 1, ""0x00A6"": 3}"
4,701,70,1,10,1,set_switch(46); set_switch(47); stop,5,"{""0x00A6"": 3, ""0x0060"": 2}"
4,702,70,2,10,1,trigger_event(7021); stop,3,"{""0x00A6"": 2, ""0x0061"": 1}"
4,7021,70,3,200,1,set_switch(43); set_switch(44); stop,2,"{""0x0040"": 2}"
4,951,95,1,100,1,set_switch(32); set_switch(33); stop,2,"{""0x00A6"": 2}"
