label,line,opcode,args
start,43,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,46,set_floor_handler,"... 0x1 /* 1 */, label0097"
start,49,set_floor_handler,"... 0x2 /* 2 */, label0098"
start,52,set_floor_handler,"... 0x3 /* 3 */, label0099"
start,55,set_floor_handler,"... 0x4 /* 4 */, label009A"
start,58,set_floor_handler,"... 0x5 /* 5 */, label009B"
start,61,set_floor_handler,"... 0x6 /* 6 */, label009C"
start,64,set_floor_handler,"... 0xE /* 14 */, label00A1"
start,65,set_qt_success,label00B4
start,66,set_qt_failure,label00FB
label0096,118,jmpi_eq,"r253, 0x00000001, label012C"
label0131,134,switch_jmp,"r11, [label0131, label0132, label0133]"
label00B5,153,switch_jmp,"r30, [label00B6, label00B7, label00B8, label00B9]"
label00B4,207,check_rank_time,"r201, r101"
label00B4,208,switch_jmp,"r101, [label0066, label0067, label0068, label0069, label006A, label006B, label006C]"
label0066,219,switch_call,"r150, [label0003, label0006, label0008]"
label0066,220,item_create_cmode,"r100-r105, r106"
label0067,249,switch_call,"r150, [label0002, label0005, label0007]"
label0067,250,item_create_cmode,"r100-r105, r106"
label0068,279,award_item_select,
label0068,280,award_item_name,
label0068,281,award_item_ok,r50
label0068,283,award_item_give,r100
label012F,362,jmpi_eq,"r255, 0x00000001, label0001"
label0130,373,set,r255
label0130,376,chl_set_timerecord,"r201, r200"
label0136,381,chl_get_timerecord,r201
label0136,383,disp_time_cmode,r201
label00D2,433,gettime,r201
label00D2,436,disp_time_cmode,r201
label00D2,437,jmpi_eq,"r255, 0x00000000, label00D2"
label00D3,443,chl_set_timerecord,"r201, r200"
label00DC,453,jmpi_eq,"r255, 0x00000000, label00DC"
label00E6,460,gettime,r10
label0063,481,set,r253
label0137,491,check_rank_time,"r203, r101"
label0137,492,switch_jmp,"r101, [label0066, label0067, label0068, label0069, label006A, label006B, label006C]"
