floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0044,10,0,100.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
0,1,0x0000,10,0,-90.0,0.0,50.0,0.0,1.0,1.0,0,0,0
0,2,0x0000,10,0,-50.0,0.0,50.0,3.0,1.0,1.0,0,0,0
0,3,0x0000,10,0,-77.0,0.0,50.0,1.0,1.0,1.0,0,0,0
0,4,0x0000,10,0,-63.0,0.0,50.0,2.0,1.0,1.0,0,0,0
0,5,0x0040,10,0,-100.0,0.0,15.0,1.0,1.0,1.0,4,0,0
0,6,0x02BA,10,0,-70.0,0.0,40.0,35.0,1.0,1.0,5,1,0
0,7,0x0057,10,0,-70.0,0.0,-5.0,100.0,1.0,1.0,0,0,0
0,8,0x0057,10,0,-210.0,0.0,-30.0,75.0,1.0,1.0,0,0,0
0,9,0x0057,10,0,-160.0,0.0,-30.0,75.0,1.0,1.0,0,0,0
0,10,0x0057,10,0,80.0,0.0,-30.0,75.0,1.0,1.0,0,0,0
0,11,0x0057,10,0,20.0,0.0,-30.0,75.0,1.0,1.0,0,0,0
0,12,0x0057,10,0,-70.0,0.0,55.0,80.0,1.0,1.0,0,0,0
0,13,0x02BB,20,0,-80.0,0.0,120.0,1.0,1.0,1.0,99,0,0
0,14,0x02BB,40,0,80.0,0.0,120.0,1.0,1.0,1.0,2,0,0
0,15,0x02BB,20,0,-80.0,0.0,0.0,1.0,1.0,1.0,99,0,0
0,16,0x0041,30,0,170.0,-30.0,-150.0,1.0,1.0,1.0,0,0,0
0,17,0x0041,30,0,200.0,-30.0,-150.0,1.0,1.0,1.0,1,0,0
0,18,0x0041,30,0,230.0,-30.0,-145.0,1.0,1.0,1.0,2,0,0
0,19,0x0041,30,0,260.0,-30.0,-115.0,1.0,1.0,1.0,3,0,0
0,20,0x02BB,40,0,65.0,0.0,-100.0,1.0,1.0,1.0,2,0,0
0,21,0x02BB,40,0,65.0,0.0,-200.0,1.0,1.0,1.0,2,0,0
0,22,0x02BA,30,0,200.0,-30.0,-130.0,100.0,1.0,1.0,5,1,0
0,23,0x02BA,30,0,-90.0,0.0,-120.0,40.0,1.0,1.0,5,1,0
0,24,0x02BB,40,0,80.0,0.0,0.0,1.0,1.0,1.0,2,0,0
0,25,0x02B1,40,0,-35.0,0.0,0.0,1.0,1.0,1.0,0,0,0
0,26,0x0045,42,0,0.0,10.0,141.0,135.0,0.0,50.0,49152,65536,1
0,27,0x0056,42,0,-105.0,-10.0,-10.0,1.0,1.0,1.0,-1,0,0
0,28,0x0056,42,0,105.0,-10.0,-10.0,1.0,1.0,1.0,-1,1,0
0,29,0x0043,42,0,230.0,-7.0,-10.0,1.0,1.0,1.0,1,1,0
0,30,0x0043,42,0,-230.0,-7.0,-10.0,1.0,1.0,1.0,1,2,0
0,31,0x0000,42,0,-20.0,0.0,30.0,0.0,1.0,1.0,1,0,0
0,32,0x0000,42,0,20.0,0.0,30.0,1.0,1.0,1.0,1,0,0
0,33,0x0000,42,0,-30.0,0.0,50.0,2.0,1.0,1.0,1,0,0
0,34,0x0000,42,0,30.0,0.0,50.0,3.0,1.0,1.0,1,0,0
0,35,0x0042,42,0,0.0,1.0,0.0,500.0,1.0,1.0,5,0,0
0,36,0x02BA,42,0,0.0,-1.7601996660232544e-07,40.0,50.0,1.0,1.0,5,1,0
0,37,0x02BA,42,0,0.0,30.0,-190.0,50.0,1.0,1.0,5,1,0
0,38,0x02B1,50,0,-35.0,0.0,30.0,1.0,1.0,1.0,0,0,0
0,39,0x02B1,50,0,-35.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
1,0,0x0192,1,0,0.0,0.0,68.0,1.0,1.0,1.0,1,0,0
1,1,0x0003,1,0,0.0,3.499971389770508,0.0,1490.0,43.0,-240.0,49152,0,0
1,2,0x0192,2,0,0.0,0.0,57.0,1.0,1.0,1.0,37,0,0
1,3,0x0013,2,0,0.0,3.499969482421875,0.0,1.0,1.0,1.0,0,0,0
1,4,0x0192,3,0,0.0,0.0,56.99993896484375,1.0,1.0,1.0,8,0,0
1,5,0x0162,3,0,0.0,3.499971389770508,-10.0,1.0,1.0,1.0,0,0,0
1,6,0x0162,3,0,0.0,3.5,10.0,1.0,1.0,1.0,0,0,0
1,7,0x0162,3,0,-15.0,3.499971389770508,0.0,1.0,1.0,1.0,0,0,0
1,8,0x0162,3,0,15.0,3.5,-6.103515625e-05,1.0,1.0,1.0,0,0,0
1,9,0x0162,3,0,20.00006103515625,0.0,114.99996948242188,1.0,1.0,1.0,0,0,0
1,10,0x0162,3,0,20.0001220703125,0.0,144.99996948242188,1.0,1.0,1.0,0,0,0
1,11,0x0162,3,0,-19.9998779296875,0.0,145.0,1.0,1.0,1.0,0,0,0
1,12,0x0162,3,0,-19.99993896484375,0.0,115.0,1.0,1.0,1.0,0,0,0
1,13,0x0008,4,0,0.0,0.0,0.0,61.0,1.0,1.0,511,0,0
1,14,0x0008,4,0,-240.0,0.0,0.0001220703125,61.0,1.0,1.0,511,0,0
1,15,0x0008,4,0,0.0,0.0,0.0,61.0,1.0,1.0,311,0,0
1,16,0x0008,4,0,-240.0,0.0,0.0001220703125,61.0,1.0,1.0,311,0,0
1,17,0x0008,4,0,239.59078979492188,0.0,465.643798828125,21.0,1.0,1.0,301,0,0
1,18,0x0008,4,0,719.8927612304688,-40.0,560.8294677734375,81.0,1.0,1.0,401,0,0
1,19,0x0008,4,0,-0.1559431403875351,-40.0,708.2490234375,21.0,1.0,1.0,411,0,0
1,20,0x0008,4,0,541.5791015625,0.0,983.9240112304688,31.0,1.0,1.0,501,0,0
1,21,0x0008,4,0,541.5791625976562,0.0,1043.919677734375,31.0,1.0,1.0,501,0,0
1,22,0x0008,4,0,541.5791625976562,0.0,1093.919677734375,31.0,1.0,1.0,501,0,0
1,23,0x0008,4,0,960.455810546875,-40.0,319.9739990234375,21.0,1.0,1.0,1401,0,0
1,24,0x0008,4,0,960.455810546875,-40.0,319.9739990234375,21.0,1.0,1.0,111,0,0
1,25,0x0008,4,0,1200.5238037109375,-40.0,461.6453857421875,21.0,1.0,1.0,211,0,0
1,26,0x0008,4,0,-1281.614013671875,1.0,801.2488403320312,21.0,1.0,1.0,521,0,0
1,27,0x0008,4,0,-815.9691772460938,1.0,1040.009033203125,21.0,1.0,1.0,201,0,0
1,28,0x0008,4,0,-719.6661987304688,1.0,738.09765625,31.0,1.0,1.0,421,0,0
1,29,0x0008,4,0,-779.6694946289062,1.0,738.1004638671875,31.0,1.0,1.0,421,0,0
1,30,0x0008,4,0,-659.6694946289062,1.0,738.1004028320312,31.0,1.0,1.0,421,0,0
1,31,0x0008,4,0,-439.3138732910156,1.0,799.681884765625,21.0,1.0,1.0,321,0,0
1,32,0x0192,4,0,0.0,0.0,68.0,1.0,1.0,1.0,-1,0,0
1,33,0x0000,4,0,10.0,1.0,30.0,0.0,1.0,1.0,0,0,0
1,34,0x0000,4,0,-10.0,1.0000152587890625,30.0,2.0,1.0,1.0,0,0,0
1,35,0x0002,4,0,0.0,3.499969482421875,-5.0,1.0,1.0,1.0,0,0,0
1,36,0x0192,5,0,0.0,0.0,68.00003051757812,1.0,1.0,1.0,-1,0,0
1,37,0x0000,5,0,10.0,1.0,30.0,1.0,1.0,1.0,0,0,0
1,38,0x0000,5,0,-10.0,1.0000152587890625,30.00006103515625,3.0,1.0,1.0,0,0,0
1,39,0x0002,5,0,0.0,3.499969482421875,-5.0,1.0,1.0,1.0,0,0,0
1,40,0x0192,6,0,0.0,0.0,57.0,1.0,1.0,1.0,32,0,0
1,41,0x0002,6,0,0.0,3.499969482421875,0.0,1.0,1.0,1.0,0,0,1
1,42,0x0192,7,0,0.0,0.0,57.0,1.0,1.0,1.0,39,0,0
1,43,0x0003,7,0,0.0,3.499969482421875,0.0,-1195.0,3.0,-290.0,0,0,0
1,44,0x0192,8,0,-0.0034612268209457397,0.0,68.0,1.0,1.0,1.0,2,0,0
1,45,0x0161,8,0,0.0009615868330001831,3.499971628189087,10.0,0.0,1.0,0.0,16777216,0,0
1,46,0x0161,8,0,-0.0009615868330001831,3.5,-10.0,0.0,1.0,0.0,16777216,0,0
1,47,0x0161,8,0,-15.0,3.5,0.00146484375,0.0,1.0,0.0,16777216,0,0
1,48,0x0161,8,0,15.0,3.5,-0.00146484375,0.0,1.0,0.0,16777216,0,0
1,49,0x0192,10,0,-115.0,0.0,0.0,1.0,1.0,1.0,27,0,0
1,50,0x01C0,10,0,0.0,0.0,-115.00004577636719,1.0,1.0,1.0,109,4,-1
1,51,0x0162,10,0,70.0,-2.0,70.0,1.0,1.0,1.0,0,0,0
1,52,0x0162,10,0,50.0,-2.0,70.0,1.0,1.0,1.0,0,0,0
1,53,0x0162,10,0,50.0,-2.0,50.0,1.0,1.0,1.0,0,0,0
1,54,0x0162,10,0,70.0,-2.0,50.0,1.0,1.0,1.0,0,0,0
1,55,0x0162,10,0,-50.0,-2.0,50.0,1.0,1.0,1.0,0,0,0
1,56,0x0162,10,0,-50.0,-2.0,70.0,1.0,1.0,1.0,0,0,0
1,57,0x0162,10,0,-70.0,-2.0,70.0,1.0,1.0,1.0,0,0,0
1,58,0x0162,10,0,-70.0,-2.0,50.0,1.0,1.0,1.0,0,0,0
1,59,0x0161,10,0,-270.0,0.0,-10.0,0.0,1.0,0.0,0,0,0
1,60,0x0161,10,0,-270.0,0.0,10.0,0.0,1.0,0.0,0,0,0
1,61,0x0161,10,0,-250.0,0.0,10.0,0.0,1.0,0.0,16777216,0,0
1,62,0x0161,10,0,-250.0,0.0,-10.0,0.0,1.0,0.0,16777216,0,0
1,63,0x0192,11,0,125.0,0.0,0.0,1.0,1.0,1.0,6,0,0
1,64,0x0162,11,0,80.0,-2.0,-80.0,1.0,1.0,1.0,0,0,0
