floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x00FE,10,0,0,0,-113.0,0.0,19.0,0.0,0.0,0.0,1068.0,950.0,0,0
0,1,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0x00FB,30,0,0,0,-76.31710052490234,0.0,-50.9056396484375,30.0,0.0,0.0,1058.0,660.0,1,0
0,3,0x00FA,30,0,0,0,95.0,-30.0,-120.0,0.0,0.0,0.0,1056.0,620.0,0,0
0,4,0x00F9,30,0,0,0,140.0,-30.0,-25.0,20.0,0.0,0.0,1057.0,640.0,1,0
0,5,0x00F0,30,0,0,0,-35.0,0.0,85.0,0.0,0.0,0.0,1060.0,700.0,0,0
0,6,0x00F8,42,1,1,0,58.0,31.0,-174.0,0.0,0.0,0.0,1055.0,600.0,0,0
0,7,0x00D1,42,0,0,0,0.0,31.000015258789062,-215.0,0.0,0.0,0.0,1050.0,501.0,0,0
0,8,0x00D2,42,0,0,0,-49.0,31.0,-191.0,0.0,0.0,0.0,1051.0,520.0,0,0
0,9,0x00FF,42,0,0,0,80.0,-10.0,-30.0,0.0,0.0,0.0,1053.0,560.0,0,0
0,10,0x00D0,42,0,0,0,-80.0,-10.0,-30.0,0.0,0.0,0.0,1052.0,540.0,0,0
0,11,0x00D3,42,0,0,0,70.0,-5.0,155.0,0.0,0.0,0.0,1054.0,580.0,0,0
1,0,0x00D7,1,1,1,0,-90.8897705078125,32.0,4.90032958984375,0.0,1.0,0.0,0.0,0.0,0,0
1,1,0x00D7,1,1,1,0,-86.0498046875,32.0,-31.092529296875,0.0,1.0,0.0,0.0,0.0,0,0
1,2,0x00D7,3,4,4,0,-69.24313354492188,1.3224780559539795e-07,137.69659423828125,0.0,1.0,0.0,0.0,0.0,0,0
1,3,0x00D7,3,4,4,0,-130.20700073242188,1.19674950838089e-07,128.0123291015625,0.0,1.0,0.0,0.0,0.0,0,0
1,4,0x00D5,3,5,5,0,-46.204193115234375,5.2386894822120667e-08,-130.42840576171875,1.0,0.0,-1.0,0.0,100.0,0,0
1,5,0x00D5,3,5,5,0,-18.29400634765625,5.192123353481293e-08,-128.80892944335938,1.0,0.0,-1.0,0.0,100.0,0,0
1,6,0x00D5,3,5,5,0,9.875946044921875,-5.9371814131736755e-08,-139.80731201171875,1.0,0.0,-1.0,0.0,100.0,0,0
1,7,0x00D5,3,6,6,0,87.42434692382812,-1.1874362826347351e-08,123.25862121582031,1.0,0.0,-1.0,0.0,-50.0,0,0
1,8,0x00D5,3,6,6,0,68.992919921875,-1.1874362826347351e-08,122.08544921875,1.0,0.0,-1.0,0.0,-50.0,0,0
1,9,0x00D5,3,6,6,0,49.67401123046875,5.9371814131736755e-09,128.55206298828125,1.0,0.0,-1.0,0.0,-50.0,0,0
1,10,0x00D7,3,1,1,0,-58.531005859375,-6.239861249923706e-08,136.94345092773438,0.0,1.0,0.0,0.0,0.0,0,0
1,11,0x00D7,3,1,1,0,-125.62564086914062,1.955777406692505e-07,125.0037841796875,0.0,1.0,0.0,0.0,0.0,0,0
1,12,0x00D7,3,2,2,0,53.045318603515625,1.555308699607849e-07,-48.563812255859375,0.0,1.0,0.0,0.0,0.0,0,0
1,13,0x00D5,3,2,2,0,-181.27261352539062,-1.0756775736808777e-07,1.590087890625,1.0,0.0,-1.0,0.0,100.0,0,0
1,14,0x00D5,3,2,2,0,-184.4169921875,1.30385160446167e-08,-26.153961181640625,1.0,0.0,-1.0,0.0,100.0,0,0
1,15,0x00D7,3,3,3,0,98.54177856445312,-2.8870999813079834e-08,69.83737182617188,0.0,1.0,0.0,0.0,0.0,1,0
1,16,0x00D7,4,3,3,0,1.2734527587890625,1.19674950838089e-07,42.6500244140625,0.0,1.0,0.0,0.0,0.0,0,0
1,17,0x00D7,4,3,3,0,-51.86058807373047,2.9336661100387573e-08,35.7271728515625,0.0,1.0,0.0,0.0,0.0,0,0
1,18,0x00D5,4,4,4,0,-215.14892578125,2.2351741790771484e-08,-27.23193359375,1.0,0.0,-1.0,0.0,100.0,0,0
1,19,0x00D5,4,4,4,0,-197.72738647460938,3.026798367500305e-09,-50.1341552734375,1.0,0.0,-1.0,0.0,100.0,0,0
1,20,0x00D5,4,4,4,0,-188.00177001953125,-6.28642737865448e-09,-77.01116943359375,1.0,0.0,-1.0,0.0,100.0,0,0
1,21,0x00D5,4,1,1,0,0.096832275390625,5.3551048040390015e-09,-79.51409912109375,1.0,0.0,-1.0,0.0,100.0,0,0
1,22,0x00D5,4,1,1,0,15.771774291992188,-2.561137080192566e-08,-69.5897216796875,1.0,0.0,-1.0,0.0,100.0,0,0
1,23,0x00D5,4,2,2,0,110.10504150390625,2.2817403078079224e-08,12.00048828125,1.0,0.0,-1.0,0.0,-30.0,0,0
1,24,0x00D5,4,2,2,0,140.426513671875,-9.825453162193298e-08,13.399566650390625,1.0,0.0,-1.0,0.0,-30.0,0,0
1,25,0x00D7,4,2,2,0,112.53955078125,0.2567075490951538,88.66500854492188,0.0,1.0,0.0,0.0,0.0,0,0
1,26,0x00D5,7,1,1,0,6.5859375,15.93016529083252,15.2071533203125,1.0,0.0,-1.0,0.0,-50.0,0,0
1,27,0x00D5,7,1,1,0,21.761566162109375,16.072614669799805,60.08891296386719,1.0,0.0,-1.0,0.0,-50.0,0,0
1,28,0x00D5,7,1,1,0,14.944793701171875,16.26161766052246,38.25189208984375,1.0,0.0,-1.0,0.0,-50.0,0,0
