label,line,instructions
start,16,58
label0001,80,1
label0004,83,22
label0009,107,5
label0096,114,6
label012C,122,3
label012D,127,2
label0131,131,4
label0132,137,1
label0133,140,6
label00B5,148,6
label00B6,156,9
label00B7,167,9
label00B8,178,9
label00B9,189,9
label00B4,200,9
label0066,211,10
label0003,223,4
label0006,229,4
label0008,235,4
label0067,241,10
label0002,253,4
label0005,259,4
label0007,265,4
label0068,271,16
label0069,289,1
label006A,292,4
label006B,298,4
label006C,304,4
label00C8,310,7
label0105,319,3
label0106,324,3
label0107,329,3
label0108,334,3
label0109,339,3
label010A,344,3
label00FB,349,4
label012F,355,8
label0130,365,6
label0136,373,5
label0097,380,16
label0098,398,13
label0099,413,13
label009A,428,13
label009B,443,0
label00A1,448,12
label00D2,462,8
label00D3,472,6
label00DC,480,6
label00E6,488,22
label0063,512,8
label0137,522,3
label0190,527,4
label0191,533,4
