floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0044,10,0,100.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
0,1,0x0000,10,0,-90.0,0.0,50.0,0.0,1.0,1.0,0,0,0
0,2,0x0000,10,0,-50.0,0.0,50.0,3.0,1.0,1.0,0,0,0
0,3,0x0000,10,0,-77.0,0.0,50.0,1.0,1.0,1.0,0,0,0
0,4,0x0000,10,0,-63.0,0.0,50.0,2.0,1.0,1.0,0,0,0
0,5,0x0040,10,0,-100.0,0.0,15.0,1.0,1.0,1.0,4,0,0
0,6,0x02BA,10,0,-70.0,0.0,40.0,35.0,1.0,1.0,5,1,0
0,7,0x0057,10,0,-70.0,0.0,-5.0,100.0,1.0,1.0,0,0,0
0,8,0x0057,10,0,-210.0,0.0,-30.0,75.0,1.0,1.0,0,0,0
0,9,0x0057,10,0,-160.0,0.0,-30.0,75.0,1.0,1.0,0,0,0
0,10,0x0057,10,0,80.0,0.0,-30.0,75.0,1.0,1.0,0,0,0
0,11,0x0057,10,0,20.0,0.0,-30.0,75.0,1.0,1.0,0,0,0
0,12,0x0057,10,0,-70.0,0.0,55.0,80.0,1.0,1.0,0,0,0
0,13,0x02BB,20,0,-80.0,0.0,120.0,1.0,1.0,1.0,99,0,0
0,14,0x02BB,40,0,80.0,0.0,120.0,1.0,1.0,1.0,2,0,0
0,15,0x02BB,20,0,-80.0,0.0,0.0,1.0,1.0,1.0,99,0,0
0,16,0x0041,30,0,170.0,-30.0,-150.0,1.0,1.0,1.0,0,0,0
0,17,0x0041,30,0,200.0,-30.0,-150.0,1.0,1.0,1.0,1,0,0
0,18,0x0041,30,0,230.0,-30.0,-145.0,1.0,1.0,1.0,2,0,0
0,19,0x0041,30,0,260.0,-30.0,-115.0,1.0,1.0,1.0,3,0,0
0,20,0x02BB,40,0,65.0,0.0,-100.0,1.0,1.0,1.0,2,0,0
0,21,0x02BB,40,0,65.0,0.0,-200.0,1.0,1.0,1.0,2,0,0
0,22,0x02BA,30,0,200.0,-30.0,-130.0,100.0,1.0,1.0,5,1,0
0,23,0x02BA,30,0,-90.0,0.0,-120.0,40.0,1.0,1.0,5,1,0
0,24,0x02BB,40,0,80.0,0.0,0.0,1.0,1.0,1.0,2,0,0
0,25,0x02B1,40,0,-35.0,0.0,0.0,1.0,1.0,1.0,0,0,0
0,26,0x0045,42,0,0.0,10.0,141.0,135.0,0.0,50.0,49152,65536,1
0,27,0x0056,42,0,-105.0,-10.0,-10.0,1.0,1.0,1.0,-1,0,0
0,28,0x0056,42,0,105.0,-10.0,-10.0,1.0,1.0,1.0,-1,1,0
0,29,0x0043,42,0,230.0,-7.0,-10.0,1.0,1.0,1.0,1,1,0
0,30,0x0043,42,0,-230.0,-7.0,-10.0,1.0,1.0,1.0,1,2,0
0,31,0x0000,42,0,-20.0,0.0,30.0,0.0,1.0,1.0,1,0,0
0,32,0x0000,42,0,20.0,0.0,30.0,1.0,1.0,1.0,1,0,0
0,33,0x0000,42,0,-30.0,0.0,50.0,2.0,1.0,1.0,1,0,0
0,34,0x0000,42,0,30.0,0.0,50.0,3.0,1.0,1.0,1,0,0
0,35,0x0042,42,0,0.0,1.0,0.0,500.0,1.0,1.0,5,0,0
0,36,0x02BA,42,0,0.0,-1.7601996660232544e-07,40.0,50.0,1.0,1.0,5,1,0
0,37,0x02BA,42,0,0.0,30.0,-190.0,50.0,1.0,1.0,5,1,0
0,38,0x02B1,50,0,-35.0,0.0,30.0,1.0,1.0,1.0,0,0,0
0,39,0x02B1,50,0,-35.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
1,0,0x00C0,1,0,-113.95001220703125,31.0,-19.76910400390625,1.0,1.0,1.0,102,0,0
1,1,0x0024,1,0,-113.1199951171875,43.54999923706055,-18.76995849609375,1.0,0.0,1.0,102,0,0
1,2,0x0207,1,0,112.79998779296875,22.329999923706055,-47.57208251953125,1.0,1.0,1.0,99,0,0
1,3,0x0207,1,0,-89.33203125,22.325002670288086,64.07391357421875,1.0,1.0,1.0,99,0,0
1,4,0x0167,1,0,112.9100341796875,40.0,-49.22998046875,51.0,3.0,0.0,0,102,2
1,5,0x0167,1,0,-13.03997802734375,39.0,-41.3499755859375,80.0,3.0,0.0,0,102,2
1,6,0x0167,1,0,-86.13995361328125,39.0,61.94000244140625,100.0,3.0,0.0,0,102,2
1,7,0x0167,1,0,32.21002197265625,40.0,96.27001953125,190.0,3.0,0.0,0,102,2
1,8,0x0207,1,0,30.47271728515625,22.939998626708984,98.08001708984375,1.0,1.0,1.0,99,0,0
1,9,0x0018,1,0,0.0,32.0,0.0,171.0,1.0,1.0,81,0,105
1,10,0x0025,1,0,0.0,66.10626220703125,0.0,1.0,1.0,1.0,6881382,0,0
1,11,0x0096,1,0,225.46435546875,0.1933460235595703,304.63885498046875,1.0,6.0,25.0,110,0,1
1,12,0x00DE,1,0,248.38864135742188,0.0,332.57464599609375,1.0,1.0,1.0,110,0,1
1,13,0x0022,1,0,248.82000732421875,3.0,332.70001220703125,1.0,1.0,1.0,110,-1,0
1,14,0x0027,1,0,225.46435546875,50.03084945678711,304.63885498046875,1.0,1.0,1.0,0,65646,0
1,15,0x008B,1,0,-116.2476806640625,32.0,9.2928466796875,1.0,1.0,1.0,0,-1,0
1,16,0x0207,1,0,-16.41998291015625,21.743749618530273,-42.00799560546875,1.0,1.0,1.0,99,0,0
1,17,0x0228,3,1,-111.1300048828125,-3.725290298461914e-09,-32.1978759765625,2.5,350.0,1.0,3,1,3
1,18,0x0167,3,1,-68.6505126953125,0.0,-38.856048583984375,50.0,3.0,2.0,0,102,0
1,19,0x0228,3,1,-22.438323974609375,-5.448237061500549e-08,-64.22686767578125,2.5,350.0,1.0,6,1,3
1,20,0x0167,3,1,-108.31036376953125,-1.1175870895385742e-07,105.78793334960938,50.0,3.0,2.0,0,102,0
1,21,0x0228,3,1,19.057373046875,4.6938657760620117e-07,109.88922119140625,2.5,350.0,1.0,4,1,3
1,22,0x0167,3,1,121.21839904785156,4.0978193283081055e-07,86.4783935546875,50.0,3.0,2.0,0,102,0
1,23,0x0167,3,1,39.27001953125,-2.60770320892334e-07,36.77001953125,50.0,3.0,2.0,0,102,0
1,24,0x0228,3,1,62.761505126953125,-3.725290298461914e-09,36.00042724609375,2.5,350.0,1.0,5,1,3
1,25,0x0228,3,1,-75.88800048828125,-3.725290298461914e-09,126.80255126953125,2.5,350.0,1.0,3,1,3
1,26,0x0228,3,1,-53.529998779296875,0.0,36.4605712890625,2.5,350.0,1.0,4,1,3
1,27,0x0200,4,0,136.81768798828125,0.0,-70.43048095703125,1.0,1.0,1.0,0,0,0
1,28,0x0200,4,0,139.6173095703125,0.0,-50.1383056640625,1.0,1.0,1.0,0,0,0
1,29,0x0200,4,0,159.79135131835938,0.0,-56.54925537109375,1.0,1.0,1.0,0,0,0
1,30,0x0207,4,0,179.04229736328125,-2.0,-43.80999755859375,1.0,1.0,1.0,104,0,0
1,31,0x0213,4,0,164.871826171875,-3.0,-27.55999755859375,1.0,1.0,1.0,1,0,0
1,32,0x0023,4,0,182.39999389648438,8.369999885559082,-37.793212890625,-1.0,-1.0,104.0,5,0,0
1,33,0x0096,4,0,-49.68000030517578,0.0,-123.0570068359375,1.0,6.0,26.0,107,0,0
1,34,0x0207,4,0,-243.3800048828125,0.0,7.57000732421875,1.0,1.0,1.0,108,0,0
1,35,0x0207,4,0,-249.91867065429688,0.0,-5.75555419921875,1.0,1.0,1.0,108,0,0
1,36,0x0023,4,0,-239.29998779296875,10.389999389648438,-3.28997802734375,-1.0,-1.0,108.0,5,0,0
1,37,0x0027,4,0,-239.29998779296875,27.508750915527344,-3.28997802734375,1.0,1.0,1.0,0,65644,0
1,38,0x0027,4,0,-48.48255157470703,42.187400817871094,-124.33148193359375,1.0,1.0,1.0,0,65643,0
1,39,0x00DE,4,0,-51.567901611328125,-1.0,-85.9599609375,1.0,1.0,1.0,107,0,1
1,40,0x0022,4,0,-51.567901611328125,1.0,-85.9599609375,1.0,1.0,1.0,107,-1,0
1,41,0x0167,4,0,156.32766723632812,1.210719347000122e-08,29.73065185546875,50.0,3.0,2.0,0,125,0
1,42,0x00C0,6,0,-78.20999908447266,-1.0,-8.6199951171875,1.0,1.0,1.0,101,0,0
1,43,0x02B0,6,0,-78.20999908447266,-8.717179298400879e-07,-8.6199951171875,1.0,1.0,1.0,0,0,-2
1,44,0x0024,6,0,66.18873596191406,32.619998931884766,97.94268798828125,0.0,0.0,1.0,101,0,0
1,45,0x02B0,6,0,40.0,3.688037395477295e-07,0.0,1.0,91.0,1.0,0,0,-1
1,46,0x008B,6,0,-90.64530944824219,0.0,13.2662353515625,1.0,1.0,1.0,0,1,0
1,47,0x02B0,6,0,-20.0,0.0,70.0,1.0,1.0,1.0,0,0,-1
1,48,0x02B0,6,0,-31.610000610351562,-1.0505318641662598e-06,-54.69049072265625,1.0,-119.0,1.0,0,0,-2
1,49,0x02B0,6,0,76.94999694824219,6.631016731262207e-07,44.16510009765625,1.0,-119.0,1.0,0,0,-2
1,50,0x02B0,6,0,42.969993591308594,0.0,-114.52996826171875,1.0,1.0,1.0,0,0,-2
1,51,0x02B0,6,0,-52.40878677368164,-7.227063179016113e-07,12.22772216796875,1.0,1.0,1.0,0,0,-1
1,52,0x0200,6,0,76.94999694824219,0.0,44.16510009765625,1.0,1.0,1.0,0,0,0
1,53,0x0200,6,0,-31.610000610351562,0.0,-54.69049072265625,1.0,1.0,1.0,0,0,0
1,54,0x0200,6,0,42.969993591308594,0.0,-114.5301513671875,1.0,1.0,1.0,0,0,0
1,55,0x02B0,6,0,78.90812683105469,6.631016731262207e-07,-59.41552734375,1.0,-119.0,1.0,0,0,-1
