source,opcode,target,line
start,set_floor_handler,label0096,47
start,set_floor_handler,label0097,50
start,set_floor_handler,label0098,53
start,set_floor_handler,label0099,56
start,set_floor_handler,label009A,59
start,set_floor_handler,label009B,62
start,set_floor_handler,label00A1,65
start,set_qt_success,label00B4,66
start,set_qt_failure,label00FB,67
start,call,label0096,77
start,call,label0004,78
label0009,jmpi_eq,label0009,110
label0009,jmpi_eq,label0063,111
label0096,call,label00C8,117
label0096,jmpi_eq,label012C,118
label0096,jmpi_eq,label012D,119
label012C,call,label00B5,123
label012C,thread_stg,label0131,124
label012D,call,label00B5,128
label0131,switch_jmp,label0131,134
label0131,switch_jmp,label0132,134
label0131,switch_jmp,label0133,134
label00B5,switch_jmp,label00B6,153
label00B5,switch_jmp,label00B7,153
label00B5,switch_jmp,label00B8,153
label00B5,switch_jmp,label00B9,153
label00B4,jmpi_le,label0137,206
label00B4,switch_jmp,label0066,208
label00B4,switch_jmp,label0067,208
label00B4,switch_jmp,label0068,208
label00B4,switch_jmp,label0069,208
label00B4,switch_jmp,label006A,208
label00B4,switch_jmp,label006B,208
label00B4,switch_jmp,label006C,208
label0066,call,label0190,215
label0066,switch_call,label0003,219
label0066,switch_call,label0006,219
label0066,switch_call,label0008,219
label0067,call,label0191,245
label0067,switch_call,label0002,249
label0067,switch_call,label0005,249
label0067,switch_call,label0007,249
label0068,jmpi_eq,label0068,282
label00C8,call,label0105,311
label00C8,call,label0106,312
label00C8,call,label0107,313
label00C8,call,label0108,314
label00C8,call,label0109,315
label00C8,call,label010A,316
label0105,jmpi_eq,label0001,320
label0106,jmpi_eq,label0001,325
label0107,jmpi_eq,label0001,330
label0108,jmpi_eq,label0001,335
label0109,jmpi_eq,label0001,340
label010A,jmpi_eq,label0001,345
label012F,jmpi_eq,label0001,356
label012F,jmpi_eq,label012F,361
label012F,jmp,label0130,362
label0130,jmpi_ge,label00D3,369
label0136,jmpi_le,label0136,376
label0097,thread_stg,label0009,383
label0097,thread_stg,label00D2,388
label0097,thread_stg,label00DC,389
label0097,thread_stg,label00E6,390
label0098,thread_stg,label0009,399
label0098,thread_stg,label00D2,403
label0098,thread_stg,label00DC,404
label0098,thread_stg,label00E6,405
label0099,thread_stg,label0009,414
label0099,thread_stg,label00D2,418
label0099,thread_stg,label00DC,419
label0099,thread_stg,label00E6,420
label009A,thread_stg,label0009,429
label009A,thread_stg,label00D2,433
label009A,thread_stg,label00DC,434
label009A,thread_stg,label00E6,435
label00A1,thread_stg,label0009,449
label00A1,thread_stg,label00D2,453
label00A1,thread_stg,label00DC,454
label00A1,thread_stg,label00E6,455
label00A1,thread_stg,label012F,456
label00D2,jmpi_eq,label0001,463
label00D2,jmpi_ge,label0001,467
label00D2,jmpi_eq,label00D2,469
label00D3,jmp,label0136,477
label00DC,jmpi_eq,label0001,481
label00DC,jmpi_ge,label0001,484
label00DC,jmpi_eq,label00DC,485
label00E6,jmpi_eq,label0001,489
label00E6,jmpi_gt,label00E6,494
label00E6,jmpi_lt,label00E6,498
label00E6,jmp,label0063,509
label0137,switch_jmp,label0066,524
label0137,switch_jmp,label0067,524
label0137,switch_jmp,label0068,524
label0137,switch_jmp,label0069,524
label0137,switch_jmp,label006A,524
label0137,switch_jmp,label006B,524
label0137,switch_jmp,label006C,524
