floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x00FE,10,0,0,0,-113.0,0.0,19.0,0.0,0.0,0.0,1068.0,950.0,0,0
0,1,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0x00FB,30,0,0,0,-76.31710052490234,0.0,-50.9056396484375,30.0,0.0,0.0,1058.0,660.0,1,0
0,3,0x00FA,30,0,0,0,95.0,-30.0,-120.0,0.0,0.0,0.0,1056.0,620.0,0,0
0,4,0x00F9,30,0,0,0,140.0,-30.0,-25.0,20.0,0.0,0.0,1057.0,640.0,1,0
0,5,0x00F0,30,0,0,0,-35.0,0.0,85.0,0.0,0.0,0.0,1060.0,700.0,0,0
0,6,0x00F8,42,1,1,0,58.0,31.0,-174.0,0.0,0.0,0.0,1055.0,600.0,0,0
0,7,0x00D1,42,0,0,0,0.0,31.000015258789062,-215.0,0.0,0.0,0.0,1050.0,501.0,0,0
0,8,0x00D2,42,0,0,0,-49.0,31.0,-191.0,0.0,0.0,0.0,1051.0,520.0,0,0
0,9,0x00FF,42,0,0,0,80.0,-10.0,-30.0,0.0,0.0,0.0,1053.0,560.0,0,0
0,10,0x00D0,42,0,0,0,-80.0,-10.0,-30.0,0.0,0.0,0.0,1052.0,540.0,0,0
0,11,0x00D3,42,0,0,0,70.0,-5.0,155.0,0.0,0.0,0.0,1054.0,580.0,0,0
1,0,0x00DF,20,2,2,11,88.6199951171875,0.0,59.29998779296875,-20.0,0.0,0.0,1.0,0.0,0,0
1,1,0x00DF,20,2,2,11,-76.7940673828125,3.341119736433029e-08,75.58172607421875,0.0,0.0,0.0,1.0,0.0,0,0
1,2,0x00DF,20,2,2,0,69.64678955078125,3.7816971776294395e-16,78.630615234375,0.0,0.0,0.0,0.0,0.0,0,0
1,3,0x00DB,20,1,1,0,-11.265716552734375,-3.000000238418579,17.8521728515625,0.0,0.0,0.0,0.0,0.0,0,0
1,4,0x00DB,20,1,1,0,10.002105712890625,-3.0,-24.335418701171875,0.0,0.0,0.0,0.0,0.0,0,0
1,5,0x00DB,21,2,2,0,17.26123046875,-3.0,-20.232666015625,0.0,0.0,0.0,0.0,0.0,0,0
1,6,0x00DD,21,1,1,0,70.0,-0.75,30.0,0.0,0.0,1.0,-1.0,0.0,0,0
1,7,0x00DD,21,1,1,0,70.0,-0.75,10.0,0.0,0.0,1.0,-1.0,0.0,0,0
1,8,0x00DD,21,1,1,0,70.0,-0.75,-10.0,0.0,0.0,1.0,-1.0,0.0,0,0
1,9,0x00DD,21,1,1,0,70.0,-0.75,-30.0,0.0,0.0,1.0,-1.0,0.0,0,0
1,10,0x00DF,30,1,1,11,-10.569976806640625,0.0,-85.23999786376953,0.0,0.0,0.0,1.0,0.0,0,0
1,11,0x00DF,30,1,1,0,75.94979858398438,-3.000000238418579,-80.25147247314453,0.0,0.0,0.0,0.0,0.0,0,0
1,12,0x00DF,30,1,1,0,85.01773071289062,-3.000000238418579,-55.61519241333008,0.0,0.0,0.0,0.0,0.0,0,0
1,13,0x00DF,30,1,1,11,-70.3900146484375,31.0,9.84999942779541,10.0,0.0,0.0,1.0,0.0,0,0
1,14,0x00DF,30,1,1,11,-18.11334228515625,31.0,7.793188571929932,20.0,0.0,0.0,1.0,0.0,0,0
1,15,0x00DF,30,1,1,0,4.7806396484375,31.0,-6.020831108093262,0.0,0.0,0.0,0.0,0.0,0,0
1,16,0x00DF,40,2,2,0,-79.8668212890625,-3.0,-75.31816101074219,0.0,0.0,0.0,0.0,0.0,0,0
1,17,0x00DF,40,2,2,0,-50.522216796875,-3.0,-86.13945007324219,0.0,0.0,0.0,0.0,0.0,0,0
1,18,0x00DF,40,1,1,11,8.92919921875,-1.9073486328125e-06,86.18116760253906,-40.0,0.0,0.0,1.0,0.0,0,0
1,19,0x00DF,40,1,1,11,1.34088134765625,-1.9073486328125e-06,-86.56288146972656,-40.0,0.0,0.0,1.0,0.0,0,0
1,20,0x00DF,40,1,1,11,-9.91754150390625,0.0,70.77484130859375,-20.0,0.0,0.0,1.0,0.0,0,0
1,21,0x00DD,60,1,1,0,16.24456787109375,30.0,16.802303314208984,0.0,0.0,-1.0,1.0,0.0,1,0
1,22,0x00DD,60,1,1,0,18.3424072265625,30.0,-19.74100685119629,0.0,0.0,-1.0,1.0,0.0,1,0
1,23,0x00DD,60,1,1,0,-66.26446533203125,-2.60770320892334e-07,-28.909870147705078,0.0,0.0,-1.0,1.0,0.0,1,0
1,24,0x00DD,60,1,1,0,-56.6175537109375,-3.0,78.0741958618164,0.0,0.0,-1.0,1.0,0.0,1,0
1,25,0x00E0,61,1,1,0,-67.37445068359375,79.37468719482422,-65.99829864501953,3.0,-0.09999999403953552,-0.09999999403953552,-0.09999999403953552,0.09999999403953552,0,0
1,26,0x00E0,61,1,1,0,65.4261474609375,79.37468719482422,-69.38574981689453,3.0,-0.09999999403953552,-0.09999999403953552,-0.09999999403953552,0.09999999403953552,0,0
1,27,0x00DD,62,1,1,0,-15.3917236328125,0.0,63.06787109375,0.0,20.0,1.0,-1.0,0.0,0,0
1,28,0x00DD,62,1,1,0,-70.26559448242188,0.0,-31.3609619140625,0.0,20.0,1.0,-1.0,0.0,0,0
1,29,0x00DD,62,1,1,0,56.38752746582031,30.0,-54.7908935546875,0.0,20.0,-1.0,1.0,0.0,1,0
1,30,0x00DD,62,1,1,0,19.46478271484375,30.0,13.261474609375,0.0,20.0,-1.0,1.0,0.0,1,0
