source,opcode,target,line
start,set_floor_handler,label0096,43
start,set_floor_handler,label0097,46
start,set_floor_handler,label0098,49
start,set_qt_success,label00B4,50
start,set_qt_failure,label00FB,51
start,call,label0096,57
start,call,label0004,58
label0009,jmpi_eq,label0009,90
label0009,jmpi_eq,label0063,91
label0096,call,label00C8,97
label0096,jmpi_eq,label012C,98
label0096,jmpi_eq,label012D,99
label012C,call,label00B5,103
label012C,thread_stg,label0131,104
label012D,call,label00B5,108
label0131,switch_jmp,label0131,114
label0131,switch_jmp,label0132,114
label0131,switch_jmp,label0133,114
label00B5,switch_jmp,label00B6,133
label00B5,switch_jmp,label00B7,133
label00B5,switch_jmp,label00B8,133
label00B5,switch_jmp,label00B9,133
label00B4,jmpi_le,label0137,186
label00B4,switch_jmp,label0066,188
label00B4,switch_jmp,label0067,188
label00B4,switch_jmp,label0068,188
label00B4,switch_jmp,label0069,188
label00B4,switch_jmp,label006A,188
label00B4,switch_jmp,label006B,188
label00B4,switch_jmp,label006C,188
label0066,call,label0190,195
label0066,switch_call,label0003,199
label0066,switch_call,label0006,199
label0066,switch_call,label0008,199
label0067,call,label0191,225
label0067,switch_call,label0002,229
label0067,switch_call,label0005,229
label0067,switch_call,label0007,229
label0068,jmpi_eq,label0068,262
label00C8,call,label0105,291
label00C8,call,label0106,292
label0105,jmpi_eq,label0001,296
label0106,jmpi_eq,label0001,301
label012E,jmpi_eq,label0001,312
label012E,jmpi_eq,label0130,314
label012E,jmp,label012E,315
label012F,jmpi_eq,label0001,319
label012F,jmpi_eq,label012F,324
label012F,jmp,label0130,328
label0130,jmpi_ge,label00D3,335
label0136,jmpi_le,label0136,342
label0097,thread_stg,label0009,349
label0097,thread_stg,label00D2,351
label0097,thread_stg,label00DC,352
label0097,thread_stg,label00E6,353
label0097,thread_stg,label012E,354
label0098,thread_stg,label012E,364
label0098,thread_stg,label0009,365
label0098,thread_stg,label00D2,369
label0098,thread_stg,label00DC,370
label0098,thread_stg,label00E6,371
label0098,thread_stg,label012F,372
label00D2,jmpi_eq,label0001,378
label00D2,jmpi_ge,label0001,382
label00D2,jmpi_eq,label00D2,384
label00D3,jmp,label0136,392
label00DC,jmpi_eq,label0001,396
label00DC,jmpi_ge,label0001,399
label00DC,jmpi_eq,label00DC,400
label00E6,jmpi_eq,label0001,404
label00E6,jmpi_gt,label00E6,409
label00E6,jmpi_lt,label00E6,413
label00E6,jmp,label0063,424
label0137,switch_jmp,label0066,439
label0137,switch_jmp,label0067,439
label0137,switch_jmp,label0068,439
label0137,switch_jmp,label0069,439
label0137,switch_jmp,label006A,439
label0137,switch_jmp,label006B,439
label0137,switch_jmp,label006C,439
