label,line,opcode,args
start,43,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,46,set_floor_handler,"... 0x1 /* 1 */, label0097"
start,49,set_floor_handler,"... 0x2 /* 2 */, label0098"
start,50,set_qt_success,label00B4
start,51,set_qt_failure,label00FB
label0096,98,jmpi_eq,"r253, 0x00000001, label012C"
label0131,114,switch_jmp,"r11, [label0131, label0132, label0133]"
label00B5,133,switch_jmp,"r30, [label00B6, label00B7, label00B8, label00B9]"
label00B4,187,check_rank_time,"r201, r101"
label00B4,188,switch_jmp,"r101, [label0066, label0067, label0068, label0069, label006A, label006B, label006C]"
label0066,199,switch_call,"r150, [label0003, label0006, label0008]"
label0066,200,item_create_cmode,"r100-r105, r106"
label0067,229,switch_call,"r150, [label0002, label0005, label0007]"
label0067,230,item_create_cmode,"r100-r105, r106"
label0068,259,award_item_select,
label0068,260,award_item_name,
label0068,261,award_item_ok,r50
label0068,263,award_item_give,r100
label012F,319,jmpi_eq,"r255, 0x00000001, label0001"
label012F,327,sync_register2,"... r240, 0x1 /* 1 */"
label0130,333,set,r255
label0130,336,chl_set_timerecord,"r201, r200"
label0136,341,chl_get_timerecord,r201
label0136,343,disp_time_cmode,r201
label0097,350,gettime,r202
label00D2,380,gettime,r201
label00D2,383,disp_time_cmode,r201
label00D2,384,jmpi_eq,"r255, 0x00000000, label00D2"
label00D3,390,chl_set_timerecord,"r201, r200"
label00DC,400,jmpi_eq,"r255, 0x00000000, label00DC"
label00E6,407,gettime,r10
label0063,428,set,r253
label0137,438,check_rank_time,"r203, r101"
label0137,439,switch_jmp,"r101, [label0066, label0067, label0068, label0069, label006A, label006B, label006C]"
