floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
1,111,11,1,50,1,trigger_event(1111); stop,12,"{""0x0041"": 12}"
1,1111,11,2,50,1,trigger_event(1112); stop,12,"{""0x0044"": 12}"
1,1112,11,3,50,1,set_switch(4); set_switch(5); set_switch(6); stop,16,"{""0x0044"": 16}"
1,101,10,1,60,1,trigger_event(1011); stop,6,"{""0x0044"": 1, ""0x0041"": 5}"
1,1011,10,2,60,1,trigger_event(1012); stop,8,"{""0x0044"": 8}"
1,1012,10,3,60,1,set_switch(5); set_switch(6); set_switch(7); set_switch(8); stop,8,"{""0x0044"": 8}"
1,1013,10,4,60,1,stop,20,"{""0x0041"": 20}"
1,51,5,1,60,1,trigger_event(511); stop,10,"{""0x0044"": 4, ""0x0041"": 6}"
1,511,5,2,60,1,trigger_event(512); stop,10,"{""0x0044"": 10}"
1,512,5,3,60,1,set_switch(1); set_switch(7); set_switch(8); stop,10,"{""0x0044"": 9, ""0x0041"": 1}"
1,513,5,4,60,1,stop,18,"{""0x0044"": 18}"
1,21,2,1,60,1,trigger_event(211); stop,6,"{""0x0041"": 6}"
1,211,2,2,60,1,trigger_event(212); stop,9,"{""0x0043"": 3, ""0x0044"": 6}"
1,212,2,3,60,1,trigger_event(213); stop,7,"{""0x0042"": 1, ""0x0044"": 6}"
1,213,2,4,60,1,set_switch(1); set_switch(2); stop,19,"{""0x0044"": 11, ""0x0043"": 8}"
1,71,7,1,60,1,trigger_event(711); stop,12,"{""0x0043"": 4, ""0x0041"": 8}"
1,711,7,2,60,1,trigger_event(712); stop,12,"{""0x0044"": 12}"
1,712,7,3,60,1,set_switch(2); set_switch(3); set_switch(4); stop,12,"{""0x0044"": 12}"
1,41,4,1,60,1,trigger_event(411); stop,10,"{""0x0044"": 4, ""0x0041"": 6}"
1,411,4,2,60,1,set_switch(9); stop,10,"{""0x0044"": 10}"
1,81,8,1,60,1,stop,7,"{""0x0044"": 4, ""0x0041"": 3}"
1,81,8,2,60,1,stop,6,"{""0x0044"": 6}"
1,82,8,3,60,1,stop,6,"{""0x0044"": 6}"
1,83,8,4,60,1,stop,0,{}
2,21,2,1,1,1,trigger_event(211); stop,2,"{""0x0044"": 2}"
2,211,2,3,30,1,stop,4,"{""0x0043"": 2, ""0x0040"": 2}"
2,22,2,2,50,1,trigger_event(221); stop,5,"{""0x0044"": 2, ""0x0040"": 3}"
2,221,2,4,30,1,trigger_event(222); stop,4,"{""0x0043"": 1, ""0x0040"": 3}"
2,222,2,5,30,1,set_switch(1); set_switch(3); stop,6,"{""0x0041"": 3, ""0x0040"": 3}"
2,31,3,1,120,1,stop,12,"{""0x0044"": 6, ""0x0040"": 6}"
2,51,5,1,120,1,stop,7,"{""0x0044"": 3, ""0x0040"": 4}"
2,61,6,1,1,1,trigger_event(611); stop,4,"{""0x0044"": 2, ""0x0040"": 2}"
2,611,6,2,30,1,trigger_event(612); stop,4,"{""0x0044"": 3, ""0x0040"": 1}"
2,612,6,3,30,1,set_switch(9); stop,5,"{""0x0044"": 2, ""0x0043"": 1, ""0x0040"": 2}"
2,101,10,1,1,1,stop,12,"{""0x0041"": 3, ""0x0040"": 9}"
2,111,11,1,1,1,trigger_event(1111); stop,1,"{""0x0041"": 1}"
2,1111,11,2,120,1,stop,3,"{""0x0043"": 3}"
2,112,11,3,1,1,trigger_event(1121); stop,1,"{""0x0040"": 1}"
2,1121,11,4,30,1,set_switch(4); set_switch(5); set_switch(6); set_switch(7); set_switch(11); stop,3,"{""0x0044"": 3}"
2,113,11,5,180,1,stop,3,"{""0x0040"": 3}"
2,121,12,1,1,1,trigger_event(1211); stop,6,"{""0x0042"": 1, ""0x0040"": 5}"
2,1211,12,2,1,1,trigger_event(1212); stop,8,"{""0x0043"": 4, ""0x0040"": 4}"
2,1212,12,3,30,1,trigger_event(1213); stop,10,"{""0x0044"": 4, ""0x0040"": 6}"
2,1213,12,4,30,1,trigger_event(1214); stop,10,"{""0x0043"": 3, ""0x0040"": 7}"
