floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
4,141,14,1,60,1,trigger_event(1411); stop,7,"{""0x0060"": 4, ""0x0061"": 3}"
4,1411,14,2,60,1,set_switch(33); stop,3,"{""0x0063"": 3}"
4,231,23,1,60,1,trigger_event(2311); stop,5,"{""0x0064"": 3, ""0x0061"": 2}"
4,2311,23,2,60,1,set_switch(32); set_switch(31); stop,10,"{""0x0064"": 2, ""0x0063"": 8}"
4,302,30,1,60,1,set_switch(25); set_switch(30); set_switch(27); set_switch(24); stop,7,"{""0x0061"": 3, ""0x0062"": 3, ""0x0060"": 1}"
4,303,30,2,60,1,stop,10,"{""0x0063"": 10}"
4,351,35,1,60,1,set_switch(26); set_switch(28); stop,5,"{""0x0061"": 1, ""0x0063"": 4}"
4,352,35,2,60,1,stop,0,{}
4,402,40,1,60,1,set_switch(22); set_switch(23); set_switch(17); set_switch(18); set_switch(21); set_switch(35); set_switch(20); set_switch(19); set_switch(15); stop,0,{}
4,121,12,1,60,1,stop,14,"{""0x0063"": 14}"
4,122,12,2,60,1,trigger_event(1221); stop,1,"{""0x0064"": 1}"
4,1221,12,3,60,1,set_switch(29); stop,8,"{""0x0061"": 8}"
4,131,13,1,60,1,set_switch(20); set_switch(19); set_switch(15); stop,15,"{""0x0063"": 15}"
4,132,13,2,60,1,stop,6,"{""0x0060"": 6}"
4,601,60,1,60,1,trigger_event(6011); stop,6,"{""0x0061"": 6}"
4,6011,60,2,60,1,trigger_event(6012); stop,2,"{""0x0062"": 2}"
4,6012,60,3,60,1,set_switch(13); set_switch(14); stop,17,"{""0x0063"": 17}"
4,111,11,1,60,1,trigger_event(1111); stop,4,"{""0x0060"": 4}"
4,1111,11,2,60,1,set_switch(12); stop,13,"{""0x0063"": 11, ""0x0064"": 2}"
4,211,21,1,60,1,trigger_event(2111); stop,6,"{""0x0061"": 6}"
4,2111,21,2,60,1,trigger_event(2112); stop,13,"{""0x0063"": 13}"
4,2112,21,3,60,1,set_switch(6); set_switch(5); set_switch(9); set_switch(4); set_switch(7); set_switch(3); stop,3,"{""0x0064"": 3}"
4,161,16,1,60,1,trigger_event(1611); stop,22,"{""0x0064"": 1, ""0x0061"": 21}"
4,1611,16,2,60,1,set_switch(10); stop,6,"{""0x0061"": 6}"
4,221,22,1,60,1,set_switch(8); stop,8,"{""0x0062"": 8}"
4,201,20,1,60,1,trigger_event(2011); stop,13,"{""0x0060"": 5, ""0x0063"": 6, ""0x0061"": 2}"
4,2011,20,2,60,1,trigger_event(2012); stop,1,"{""0x0063"": 1}"
