label,line,opcode,args
start,31,set_floor_handler,"... 0x0 /* 0 */, label0064"
start,34,set_floor_handler,"... 0x2 /* 2 */, label00C8"
start,37,set_floor_handler,"... 0x4 /* 4 */, label0190"
start,40,set_floor_handler,"... 0x7 /* 7 */, label02BC"
start,43,set_floor_handler,"... 0xA /* 10 */, label04B0"
start,46,set_floor_handler,"... 0xC /* 12 */, label06A4"
start,49,set_floor_handler,"... 0x10 /* 16 */, label03E8"
start,52,set_floor_handler,"... 0x11 /* 17 */, label0640"
start,53,set_qt_failure,label001E
start,54,set_qt_success,label001F
label0028,83,find_inventory_item,"r220-r222, r225"
label0028,86,get_item_info,"... r225, r230-r241"
label003C,346,switch_jmp,"r96, [label002F, label002F, label002F, label004D, label002F, label004D, label002F, label002F, label002F]"
label003E,357,switch_jmp,"r96, [label002F, label002F, label002F, label004D, label002F, label004D, label002F, label002F, label002F]"
label0040,368,switch_jmp,"r96, [label004D, label002F, label002F, label004D, label002F, label004E, label002F, label004E, label002F]"
label0042,381,switch_jmp,"r96, [label002F, label002F, label004E, label004D, label002F, label004E, label004F, label004E, label004E]"
label0044,392,switch_jmp,"r96, [label002F, label004E, label002F, label004E, label002F, label004D, label002F, label004D, label0050]"
label0046,406,switch_jmp,"r96, [label002F, label002F, label004D, label0050, label004E, label004E, label0051, label0050, label0050]"
label004D,421,item_create2,"r60-r71, r64"
label004E,437,item_create2,"r60-r71, r64"
label004E,438,item_create2,"r60-r71, r64"
label004F,453,item_create2,"r60-r71, r64"
label0050,470,item_create2,"r60-r71, r64"
label0050,471,item_create2,"r60-r71, r64"
label0050,472,item_create2,"r60-r71, r64"
label0051,487,item_create2,"r60-r71, r64"
label0052,503,item_create2,"r60-r71, r64"
label0052,504,item_create2,"r60-r71, r64"
label0052,505,item_create2,"r60-r71, r64"
label0052,506,item_create2,"r60-r71, r64"
label0052,507,item_create2,"r60-r71, r64"
label0064,519,switch_jmp,"r0, [label0065, label0066]"
label008C,611,jmpi_eq,"r255, 0x00000001, label0091"
label008C,613,jmpi_eq,"r253, 0x00000001, label0090"
label008E,676,set,r253
label008F,688,set,r255
label00CA,736,sync_register2,"... r2, 0x1 /* 1 */"
label00FA,770,read_switch_flag_on_floor,r150-r152
label00FB,791,switch_call,"r250, [label00FC, label00FD, label00FE, label00FF]"
label00FC,798,sync_register2,"... r115, 0x1 /* 1 */"
label00FD,804,sync_register2,"... r116, 0x1 /* 1 */"
label00FE,810,sync_register2,"... r117, 0x1 /* 1 */"
label00FF,816,sync_register2,"... r118, 0x1 /* 1 */"
label0104,853,set_switch_flag_sync,"... 0x2 /* 2 */, 0x63 /* 99 */"
label0192,907,sync_register2,"... r4, 0x1 /* 1 */"
label02BE,957,sync_register2,"... r7, 0x1 /* 1 */"
label03EA,1019,sync_register2,"... r15, 0x1 /* 1 */"
label04B2,1062,sync_register2,"... r10, 0x1 /* 1 */"
label0642,1126,sync_register2,"... r16, 0x1 /* 1 */"
label06A6,1169,sync_register2,"... r13, 0x1 /* 1 */"
label06A7,1177,sync_register2,"... r100, 0x1 /* 1 */"
