floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0000,10,0,-10.0,0.0,50.0,0.0,1.0,1.0,0,0,0
0,1,0x0043,10,0,132.00314331054688,1.000000238418579,-265.002197265625,1.000000238418579,1.0,1.0,1,0,0
0,2,0x0047,10,0,-43.00239562988281,0.0,-118.00120544433594,3.0000007152557373,1.0,1.0,1,0,0
0,3,0x0040,10,0,-41.000030517578125,0.0,42.37322998046875,1.0,1.0,1.0,4,0,0
0,4,0x0048,10,0,26.000823974609375,0.0,-265.99810791015625,3.0000007152557373,1.0,1.0,1,0,0
0,5,0x0049,10,0,-34.49853515625,0.0,-384.4951171875,3.0000007152557373,1.0,1.0,1,0,0
0,6,0x0040,10,0,-16.313568115234375,3.0,-579.5118408203125,1.0,1.0,1.0,1,0,0
0,7,0x0046,10,0,-393.0031433105469,0.0,-143.49981689453125,3.0000007152557373,1.0,24.000009536743164,1,0,0
0,8,0x0000,10,0,5.0,0.0,50.0,1.0,1.0,1.0,0,0,0
0,9,0x0041,10,0,-561.88232421875,0.0,-406.8829345703125,1.0,1.0,1.0,0,0,0
0,10,0x0041,10,0,-547.8557739257812,0.0,-444.8822326660156,1.0,1.0,1.0,1,0,0
0,11,0x0041,10,0,-522.4052734375,0.0,-474.1882629394531,1.0,1.0,1.0,2,65536,10
0,12,0x0041,10,0,-486.441650390625,0.0,-497.4501647949219,9.183549615799121e-41,1.0000011920928955,1.0,3,0,0
0,13,0x0000,10,0,57.81005859375,0.0,-268.5472412109375,0.0,1.0,1.0,1,0,0
0,14,0x0000,10,0,66.769287109375,0.0,-252.3748779296875,1.000000238418579,1.0,1.0,1,0,0
0,15,0x0000,10,0,67.36819458007812,0.0,-284.9297180175781,2.000000476837158,1.0,1.0,1,0,0
0,16,0x0000,10,0,77.10488891601562,0.0,-269.2830505371094,3.0000007152557373,1.0,1.0,1,0,0
0,17,0x0040,10,0,-430.19696044921875,10.0,-24.490447998046875,1.0,1.0,1.0,3,0,0
0,18,0x0040,10,0,-479.21673583984375,9.0,-322.465576171875,1.0,1.0,1.0,5,0,0
7,0,0x0000,90,0,-40.0,10.0,80.0,1.0,1.0,1.0,0,0,0
7,1,0x0100,20,0,0.0,0.0,120.0,1.0,0.0,1.0,-1,3,0
7,2,0x0008,20,0,0.0,0.0,100.0,20.0,0.0,0.0,11,0,0
7,3,0x0100,1,0,0.0,0.0,-70.0,1.0,0.0,1.0,-1,3,0
7,4,0x0100,20,0,119.0,0.0,0.0,1.0,0.0,1.0,1,3,0
7,5,0x0100,20,0,0.0,0.0,-119.0,1.0,0.0,1.0,1,3,0
7,6,0x0000,90,0,-40.0,10.0,100.0,0.0,1.0,1.0,0,0,0
7,7,0x0088,1,0,25.0,0.0,0.0,1.0,1.0,1.0,0,0,0
7,8,0x0088,1,0,-25.0,0.0,25.0,1.0,1.0,1.0,0,0,0
7,9,0x0100,120,0,0.0,0.0,120.0,1.0,0.0,1.0,-1,3,0
7,10,0x0008,51,0,120.0,0.0,-85.0,20.0,0.0,0.0,21,0,0
7,11,0x0100,51,0,240.0,0.0,0.0,1.0,0.0,2.0,2,3,0
7,12,0x0000,90,0,-20.0,10.0,120.0,2.0,1.0,1.0,0,0,0
7,13,0x0000,90,0,-20.0,10.0,60.0,3.0,1.0,1.0,0,0,0
7,14,0x0002,90,0,15.0,10.0,90.0,0.0,0.0,0.0,0,0,0
7,15,0x0002,90,1,-15.0,10.0,-90.0,0.0,0.0,0.0,9,0,1
7,16,0x0100,220,0,-120.14978790283203,0.0,0.0,1.0,0.0,1.0,9,3,0
7,17,0x0003,2,0,19.45262336730957,0.0,22.906354904174805,2400.0,0.0,220.0,0,0,0
7,18,0x0088,2,0,-18.860271453857422,0.0,-3.0607950687408447,1.0,1.0,1.0,0,0,0
7,19,0x0088,2,0,-35.182456970214844,0.0,31.75986671447754,1.0,1.0,1.0,0,0,0
7,20,0x0088,2,0,-33.00616455078125,0.0,12.17324447631836,1.0,1.0,1.0,0,0,0
7,21,0x0100,7,0,0.233016699552536,0.0,-69.96357727050781,1.0,0.0,1.0,-1,3,0
7,22,0x0100,21,0,120.0,0.0,0.0,1.0,0.0,1.0,3,3,0
7,23,0x0008,7,0,-0.9178564548492432,0.0,-89.75027465820312,21.0,0.0,0.0,31,0,0
7,24,0x0100,21,0,0.0,0.0,119.00374603271484,1.0,0.0,1.0,200,3,0
7,25,0x0102,53,0,-120.0,0.0,-119.71795654296875,1.0,0.0,1.0,100,3,0
7,26,0x0090,21,0,-50.0,0.0,0.0,0.0,0.0,0.0,100,0,0
7,27,0x0088,21,1,58.75885772705078,0.0,-62.206275939941406,1.0,1.0,1.0,0,0,0
7,28,0x0088,21,1,-60.4090690612793,0.0,-60.45380783081055,1.0,1.0,1.0,0,0,0
7,29,0x0088,21,1,-60.4090690612793,0.0,63.971527099609375,1.0,1.0,1.0,0,0,0
7,30,0x0088,21,1,58.75885772705078,0.0,63.971527099609375,1.0,1.0,1.0,0,0,0
7,31,0x0088,0,0,0.0,0.0,-25.0,1.0,1.0,1.0,0,0,0
7,32,0x000A,0,0,0.0,0.0,-25.0,8.0,0.0,-1.0,100,0,20
7,33,0x0100,53,0,240.0,0.0,0.0,1.0,0.0,1.0,4,3,0
7,34,0x0100,221,0,120.0,0.0,0.0,1.0,0.0,1.0,4,3,0
7,35,0x0008,53,0,-120.08580780029297,0.0,-98.1894760131836,21.0,0.0,0.0,41,0,0
7,36,0x0013,6,0,0.0,0.0,30.0,0.0,0.0,0.0,0,0,0
7,37,0x0088,6,0,-37.24941635131836,0.0,3.582313060760498,1.0,1.0,1.0,0,0,0
7,38,0x0088,6,0,36.96211624145508,0.0,-13.175130844116211,1.0,1.0,1.0,0,0,0
7,39,0x0088,6,0,-34.85549545288086,0.0,34.703277587890625,1.0,1.0,1.0,0,0,0
7,40,0x0100,80,0,360.0,0.0,0.0,1.0,0.0,1.0,-1,3,0
7,41,0x0100,221,0,-120.0,0.0,0.0,1.0,0.0,1.0,4,3,0
7,42,0x0100,80,0,120.0,0.0,-240.0,1.0,0.0,1.0,200,3,0
7,43,0x0088,5,0,-26.043331146240234,0.0,0.5388175845146179,1.0,1.0,1.0,0,0,0
7,44,0x0088,5,0,29.0168399810791,0.0,0.5388175845146179,1.0,1.0,1.0,0,0,0
7,45,0x0088,5,0,29.0168399810791,0.0,30.46282386779785,1.0,1.0,1.0,0,0,0
7,46,0x0088,5,0,-26.043331146240234,0.0,28.06890296936035,1.0,1.0,1.0,0,0,0
7,47,0x000A,5,0,1.4867544174194336,0.0,11.3114595413208,10.0,0.0,-1.0,100,2,20
7,48,0x0008,221,0,-153.9077911376953,0.0,0.9010931253433228,21.0,0.0,0.0,51,0,0
7,49,0x0008,80,0,-100.16679382324219,0.0,-5.719561576843262,21.0,0.0,0.0,52,0,0
7,50,0x0008,80,0,127.66602325439453,0.0,33.58378982543945,41.0,0.0,0.0,53,0,0
7,51,0x0102,80,0,-240.0,0.0,120.0,1.0,0.0,1.0,101,3,0
7,52,0x0100,80,0,-120.0,0.0,240.0,1.0,0.0,1.0,5,3,0
7,53,0x0090,52,0,144.0045928955078,0.0,75.01184844970703,0.0,0.0,0.0,101,0,0
7,54,0x0100,52,0,-119.9884033203125,0.0,120.0115966796875,1.0,0.0,1.0,-1,3,0
7,55,0x0100,52,0,-120.011474609375,0.0,-119.9884033203125,1.0,0.0,1.0,-1,3,0
7,56,0x0088,52,0,77.90750122070312,0.0,-77.43826293945312,1.0,1.0,1.0,0,0,0
7,57,0x0088,52,0,39.738712310791016,0.0,-73.19728088378906,1.0,1.0,1.0,0,0,0
7,58,0x0088,52,0,18.533830642700195,0.0,-77.43826293945312,1.0,1.0,1.0,0,0,0
7,59,0x0088,52,0,-17.51446533203125,0.0,-75.3177719116211,1.0,1.0,1.0,0,0,0
7,60,0x0088,52,0,-42.960323333740234,0.0,-75.3177719116211,1.0,1.0,1.0,0,0,0
7,61,0x0088,52,0,80.02798461914062,0.0,75.23688507080078,1.0,1.0,1.0,0,0,0
7,62,0x0088,52,0,41.85919952392578,0.0,75.23688507080078,1.0,1.0,1.0,0,0,0
7,63,0x0088,52,0,16.41334342956543,0.0,75.23688507080078,1.0,1.0,1.0,0,0,0
7,64,0x0088,52,0,-13.273489952087402,0.0,75.23688507080078,1.0,1.0,1.0,0,0,0
7,65,0x0088,52,0,-42.960323333740234,0.0,75.23688507080078,1.0,1.0,1.0,0,0,0
7,66,0x0100,30,0,0.0115966796875,0.0,120.0001220703125,1.0,0.0,1.0,-1,3,0
7,67,0x0100,30,0,-0.011474609375,0.0,-120.0,1.0,0.0,1.0,6,3,0
7,68,0x0100,52,0,240.0,0.0,-0.02294921875,1.0,0.0,1.0,-1,3,0
7,69,0x0088,8,0,21.908008575439453,0.0,26.31623649597168,1.0,1.0,1.0,0,0,0
7,70,0x0088,8,0,-31.10419273376465,0.0,24.195749282836914,1.0,1.0,1.0,0,0,0
7,71,0x0088,8,0,-20.501752853393555,0.0,-13.973037719726562,1.0,1.0,1.0,0,0,0
7,72,0x0008,122,0,0.0,0.0,-73.82408142089844,21.0,0.0,0.0,61,0,0
7,73,0x0100,60,0,240.0,0.0,120.0,1.0,0.0,1.0,-1,3,0
7,74,0x0100,50,0,-120.0,0.0,120.0,1.0,0.0,1.0,8,3,0
7,75,0x0100,50,0,120.0,0.0,120.0,1.0,0.0,1.0,7,3,0
7,76,0x0100,60,0,240.0,0.0,-120.0,1.0,0.0,1.0,7,3,0
7,77,0x0008,121,0,0.0,0.0,0.0,21.0,0.0,0.0,71,0,0
7,78,0x0100,50,0,-240.0,0.0,0.0,1.0,0.0,1.0,8,3,0
7,79,0x0100,50,0,120.00006103515625,0.0,-120.0,1.0,0.0,1.0,8,3,0
7,80,0x0100,90,0,240.00006103515625,0.0,120.00006103515625,1.0,0.0,1.0,9,3,0
7,81,0x0008,50,0,120.45613098144531,0.0,127.42823791503906,21.0,0.0,0.0,81,0,0
7,82,0x0008,220,0,105.9137954711914,0.0,0.3300068974494934,21.0,0.0,0.0,91,0,0
7,83,0x0013,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7,84,0x0088,4,0,32.85702133178711,0.0,-7.911417007446289,1.0,1.0,1.0,0,0,0
7,85,0x0088,4,0,28.90705108642578,0.0,32.90492630004883,1.0,1.0,1.0,0,0,0
7,86,0x0088,4,0,-30.34248161315918,0.0,18.421709060668945,1.0,1.0,1.0,0,0,0
7,87,0x0008,21,0,-46.906333923339844,0.0,-1.2830342054367065,21.0,0.0,0.0,36,0,0
7,88,0x0018,40,0,0.0,0.0,0.0,120.0,0.0,0.0,17,0,0
7,89,0x0088,40,0,44.013099670410156,0.0,-62.78864669799805,1.0,1.0,1.0,0,0,0
7,90,0x0088,40,0,45.32975387573242,0.0,-39.088836669921875,1.0,1.0,1.0,0,0,0
7,91,0x0088,40,0,65.07959747314453,0.0,-40.40549087524414,1.0,1.0,1.0,0,0,0
7,92,0x0088,40,0,49.27972412109375,0.0,42.543853759765625,1.0,1.0,1.0,0,0,0
7,93,0x0088,40,0,67.7129135131836,0.0,42.543853759765625,1.0,1.0,1.0,0,0,0
7,94,0x0088,40,0,49.27972412109375,0.0,64.92700958251953,1.0,1.0,1.0,0,0,0
7,95,0x0167,52,0,152.22308349609375,0.0,0.0,100.0,0.0,0.0,0,-1,0
7,96,0x000A,122,0,12.288960456848145,0.0,-32.42321014404297,0.0,0.0,-1.0,100,0,20
7,97,0x000A,122,0,-7.460883617401123,0.0,-50.85639572143555,0.0,0.0,-1.0,100,0,20
7,98,0x000A,122,0,-7.460883617401123,0.0,-4.773426532745361,0.0,0.0,-1.0,100,0,20
7,99,0x000A,122,0,13.605616569519043,0.0,20.2430419921875,0.0,0.0,-1.0,100,0,20
7,100,0x000A,122,0,-3.5109148025512695,0.0,39.99288558959961,0.0,0.0,-1.0,100,0,20
7,101,0x000A,122,0,10.972304344177246,0.0,63.69269943237305,0.0,0.0,-1.0,100,0,20
8,0,0x0000,5,0,15.0,0.0,-15.0,0.0,1.0,1.0,1,0,0
8,1,0x0000,5,0,15.0,0.0,15.0,1.0,1.0,1.0,1,0,0
8,2,0x0000,5,0,0.0,0.0,-30.0,2.0,1.0,1.0,1,0,0
8,3,0x0000,5,0,0.0,0.0,30.0,3.0,1.0,1.0,1,0,0
8,4,0x0140,5,1,-30.0,0.0,0.0,0.0,0.0,0.0,0,0,0
8,5,0x0018,0,0,0.0,0.0,0.0,2000.0,1.0,0.0,17,0,0
8,6,0x015C,30,0,-5.314934253692627,0.0,-87.72457885742188,0.0,0.0,0.0,0,0,0
8,7,0x015C,30,0,-70.15630340576172,0.0,57.73038864135742,0.0,0.0,0.0,0,0,0
8,8,0x015C,30,0,33.23939514160156,0.0,73.50261688232422,0.0,0.0,0.0,0,0,0
8,9,0x015C,30,0,91.07088470458984,0.0,-49.170249938964844,0.0,0.0,0.0,0,0,0
8,10,0x015C,30,0,-43.8692626953125,0.0,108.55200958251953,0.0,0.0,0.0,0,0,0
8,11,0x015C,30,0,41.070655822753906,0.0,-61.21503829956055,0.0,0.0,0.0,0,0,0
8,12,0x0159,30,0,-36.78496170043945,0.0,-107.74528503417969,0.0,0.0,0.0,0,0,0
8,13,0x0159,30,0,-106.95816802978516,0.0,-12.368389129638672,0.0,0.0,0.0,0,0,0
8,14,0x0159,30,0,-117.47298431396484,0.0,71.7501449584961,0.0,0.0,0.0,0,0,0
8,15,0x0159,306,0,-47.215572357177734,0.0,-119.22544860839844,0.0,0.0,0.0,0,0,0
8,16,0x0008,353,0,0.0,0.0,30.676349639892578,21.0,0.0,0.0,11,0,0
8,17,0x0144,307,0,0.0,0.0,-23.399999618530273,1.0,0.0,0.0,11,0,0
8,18,0x0141,6,0,30.0,0.0,0.0,175.0,0.0,300.0,16384,0,0
8,19,0x0012,350,0,0.0,0.0,20.70613670349121,21.0,0.0,0.0,901,0,0
8,20,0x015B,300,0,0.4927498996257782,0.0,-29.87776756286621,0.0,0.0,0.0,0,0,0
