label,line,opcode,args
label0061,48,read_switch_flag_on_floor,r1-r3
label0061,52,set_switch_flag_sync,"... r1, r2"
label005E,58,read_switch_flag_on_floor,r1-r3
label005E,62,clear_switch_flag_sync,"... r1, r2"
label0020,247,read_switch_flag_on_floor,r60-r62
start,403,set_qt_success,label00F1
start,404,set_qt_failure,label00C9
start,411,set_floor_handler,"... 0x0 /* 0 */, label00DA"
start,414,set_floor_handler,"... 0x1 /* 1 */, label003E"
start,417,set_floor_handler,"... 0x8 /* 8 */, label00DC"
label00B5,427,set_quest_board_handler,"... 0x0 /* 0 */, label0116, ""デバッグ用"""
label0478,672,switch_jmp,"r101, [label0100, label0105]"
label006C,708,switch_jmp,"r108, [label0048, label010D]"
label00BC,935,switch_jmp,"r108, [label0041, label0053, label0066, label0049]"
label00BD,1106,switch_jmp,"r108, [label00E9, label00B7]"
label00E9,1146,get_stackable_item_count,"r11-r14, r15"
label00E9,1152,get_stackable_item_count,"r11-r14, r15"
label0076,1338,item_create2,"r11-r22, r60"
label004A,1370,item_create2,"r11-r22, r60"
label00F4,1387,switch_jmp,"r105, [label0107, label0087, label0059, label00BE, label0097]"
label0107,1401,item_create2,"r11-r22, r60"
label0087,1420,item_create2,"r11-r22, r60"
label0059,1439,item_create2,"r11-r22, r60"
label00BE,1458,item_create2,"r11-r22, r60"
label0097,1477,item_create2,"r11-r22, r60"
label0028,1502,item_create2,"r11-r22, r60"
label00DD,1646,switch_jmp,"r108, [label00DE, label00A1, label0098, label006D]"
label0098,1738,get_stackable_item_count,"r11-r14, r15"
label0098,1744,get_stackable_item_count,"r11-r14, r15"
label008F,1798,switch_jmp,"r108, [label0009, label0054, label00A6, label00F9, label000C, label005A, label00AB, label00FC, label0010]"
label0093,1858,switch_jmp,"r108, [label000D, label005B, label00AC, label00FD, label0011, label005F, label00B2, label0101, label0018, label008F]"
label0099,1927,switch_jmp,"r108, [label0012, label0060, label00B3, label0102, label0019, label0064, label00B9, label0108, label001E, label0093]"
label00C6,2058,switch_jmp,"r126, [label00AE, label0003, label0042, label00EA]"
label00AE,2061,switch_jmp,"r127, [label0013, label00A2, label00A7, label00AF]"
label00EA,2229,switch_jmp,"r128, [label010F, label010F, label0033, label0070, label00B0, label009E]"
label0090,2295,switch_jmp,"r60, [label0024, label00D6, label00FF]"
label0024,2312,switch_jmp,"r61, [label0078, label00A8, label0068, label00FF]"
label0078,2318,switch_jmp,"r60, [label0113, label00E5, label00B4, label000E, label00FE]"
label00A8,2324,switch_jmp,"r60, [label0113, label00E5, label00B4, label010A, label00FE]"
label0068,2330,switch_jmp,"r60, [label0113, label00E5, label00B4, label0079, label00FE]"
label00D6,2334,switch_jmp,"r61, [label011E, label001F, label0117, label00FF]"
label011E,2340,switch_jmp,"r60, [label0014, label0038, label00A9, label00DF, label00FE]"
label001F,2346,switch_jmp,"r60, [label0014, label0038, label00A9, label007D, label00FE]"
label0117,2352,switch_jmp,"r60, [label0014, label0038, label00A9, label005C, label00FE]"
label007C,2355,item_create2,"r11-r22, r60"
label00A3,2478,item_create2,"r11-r22, r60"
label0091,2511,item_create2,"r11-r22, r60"
label00FF,2546,item_create2,"r11-r22, r60"
label00FF,2547,item_create2,"r11-r22, r60"
label00FF,2548,item_create2,"r11-r22, r60"
label0033,2570,item_create2,"r11-r22, r60"
label0070,2598,item_create2,"r11-r22, r60"
label00B0,2611,switch_jmp,"r105, [label0120, label003F, label0083, label008A, label004F]"
label0120,2623,item_create2,"r11-r22, r60"
label0120,2624,item_create2,"r11-r22, r60"
label0120,2625,item_create2,"r11-r22, r60"
label003F,2642,item_create2,"r11-r22, r60"
label003F,2643,item_create2,"r11-r22, r60"
label003F,2644,item_create2,"r11-r22, r60"
label0083,2661,item_create2,"r11-r22, r60"
label0083,2662,item_create2,"r11-r22, r60"
label0083,2663,item_create2,"r11-r22, r60"
label008A,2680,item_create2,"r11-r22, r60"
label008A,2681,item_create2,"r11-r22, r60"
label008A,2682,item_create2,"r11-r22, r60"
label004F,2699,item_create2,"r11-r22, r60"
label004F,2700,item_create2,"r11-r22, r60"
label004F,2701,item_create2,"r11-r22, r60"
label009E,2720,item_create2,"r11-r22, r60"
label00C0,2892,switch_jmp,"r108, [label00C7, label0110, label0029, label007A, label00CC, label0114, label002C, label007F, label00D1, label00F0]"
label0015,2957,switch_jmp,"r108, [label00CD, label0115, label002D, label0080, label00D2, label0118, label0034, label0084, label00D7, label000F, label00F0]"
label001B,3026,switch_jmp,"r108, [label00D3, label0119, label0035, label0085, label00D8, label011C, label0039, label008B, label00E0, label0015, label00F0]"
label0116,3122,switch_jmp,"r108, [label005D, label0040, label003C, label0056, label00BA, label0095, label002F, label00E6, label00CE, label0104, label00C2]"
label002F,3196,switch_jmp,"r108, [label010B, label0043, label0103, label0072, label011F, label00C1]"
label0104,3267,get_stackable_item_count,"r11-r14, r15"
