floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
8,321,32,1,3,1,trigger_event(322); stop,3,"{""0x00A6"": 1, ""0x00A0"": 2}"
8,322,32,2,3,1,trigger_event(323); stop,4,"{""0x00A5"": 1, ""0x00A7"": 3}"
8,323,32,3,3,1,set_switch(32); stop,4,"{""0x00A6"": 1, ""0x00A1"": 3}"
8,501,50,1,3,1,trigger_event(502); stop,2,"{""0x00A0"": 2}"
8,502,50,2,3,1,trigger_event(503); stop,3,"{""0x00A6"": 3}"
8,503,50,3,3,1,set_switch(50); stop,3,"{""0x00A5"": 1, ""0x00A0"": 2}"
8,504,50,4,3,1,trigger_event(505); stop,2,"{""0x00A5"": 1, ""0x00A6"": 1}"
8,505,50,5,3,1,set_switch(52); stop,2,"{""0x00A5"": 1, ""0x00A6"": 1}"
8,221,22,1,3,1,trigger_event(222); stop,4,"{""0x00A8"": 4}"
8,222,22,2,3,1,trigger_event(223); stop,3,"{""0x00A7"": 1, ""0x00A1"": 2}"
8,223,22,3,3,1,"construct_objects(room=22,group_or_wave=1); stop",4,"{""0x00A0"": 2, ""0x00A6"": 2}"
8,401,40,1,3,1,trigger_event(402); stop,3,"{""0x00A8"": 2, ""0x00A7"": 1}"
8,402,40,2,3,1,trigger_event(403); stop,4,"{""0x00A8"": 4}"
8,403,40,3,3,1,set_switch(40); stop,5,"{""0x00A8"": 3, ""0x00A5"": 2}"
8,311,31,1,3,1,trigger_event(312); stop,4,"{""0x00A8"": 4}"
8,312,31,2,3,1,trigger_event(313); stop,3,"{""0x00A7"": 2, ""0x00A5"": 1}"
8,313,31,3,3,1,"construct_objects(room=31,group_or_wave=1); stop",4,"{""0x00A5"": 1, ""0x00A6"": 3}"
8,241,24,1,3,1,trigger_event(242); stop,3,"{""0x00A5"": 1, ""0x00A0"": 2}"
8,242,24,2,3,1,trigger_event(243); stop,4,"{""0x00A1"": 1, ""0x00A7"": 3}"
8,243,24,3,3,1,set_switch(24); stop,4,"{""0x00A7"": 2, ""0x00A6"": 2}"
8,611,61,1,3,1,trigger_event(612); stop,4,"{""0x00A5"": 2, ""0x00A6"": 2}"
8,612,61,2,3,1,set_switch(61); stop,6,"{""0x00A1"": 2, ""0x00A7"": 4}"
8,651,65,1,3,1,trigger_event(652); stop,3,"{""0x00A8"": 3}"
8,652,65,2,3,1,trigger_event(653); stop,3,"{""0x00A7"": 1, ""0x00A0"": 2}"
8,653,65,3,3,1,trigger_event(654); stop,3,"{""0x00A8"": 3}"
8,654,65,4,3,1,set_switch(65); stop,3,"{""0x00A7"": 2, ""0x00A1"": 1}"
8,211,21,1,3,1,trigger_event(212); stop,3,"{""0x00A1"": 1, ""0x00A6"": 2}"
8,212,21,2,3,1,trigger_event(213); stop,4,"{""0x00A5"": 2, ""0x00A7"": 2}"
8,213,21,3,3,1,set_switch(21); stop,4,"{""0x00A6"": 1, ""0x00A0"": 2, ""0x00A1"": 1}"
8,101,10,1,3,1,trigger_event(102); stop,3,"{""0x00A0"": 3}"
8,102,10,2,3,1,set_switch(10); stop,4,"{""0x00A7"": 1, ""0x00A8"": 3}"
8,111,11,1,3,1,trigger_event(112); stop,3,"{""0x00A8"": 2, ""0x00A6"": 1}"
8,112,11,2,3,1,set_switch(11); stop,3,"{""0x00A7"": 1, ""0x00A0"": 2}"
8,231,23,1,3,1,trigger_event(232); stop,2,"{""0x00A5"": 2}"
8,232,23,2,3,1,trigger_event(233); stop,3,"{""0x00A0"": 1, ""0x00A6"": 2}"
8,233,23,3,3,1,set_switch(23); stop,4,"{""0x00A7"": 1, ""0x00A1"": 3}"
8,331,33,1,3,1,trigger_event(332); stop,3,"{""0x00A0"": 2, ""0x00A6"": 1}"
8,332,33,2,3,1,trigger_event(333); stop,4,"{""0x00A6"": 4}"
8,333,33,3,3,1,set_switch(33); stop,4,"{""0x00A5"": 1, ""0x00A1"": 3}"
8,701,70,1,3,1,trigger_event(702); stop,3,"{""0x00A0"": 3}"
8,702,70,2,3,1,trigger_event(703); stop,3,"{""0x00A6"": 2, ""0x00A1"": 1}"
8,703,70,3,3,1,trigger_event(704); stop,4,"{""0x00A7"": 2, ""0x00A5"": 2}"
8,704,70,4,3,1,trigger_event(705); stop,5,"{""0x00A1"": 2, ""0x00A6"": 3}"
8,705,70,5,3,1,set_switch(70); stop,5,"{""0x00A6"": 3, ""0x00A5"": 2}"
8,301,30,1,3,1,trigger_event(302); stop,4,"{""0x00A6"": 1, ""0x00A8"": 3}"
8,302,30,2,3,1,trigger_event(303); stop,2,"{""0x00A5"": 2}"
8,303,30,3,3,1,set_switch(30); stop,4,"{""0x00A5"": 1, ""0x00A1"": 3}"
8,201,20,1,3,1,trigger_event(202); stop,3,"{""0x00A0"": 2, ""0x00A6"": 1}"
