floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x001D,10,0,0,0,-49.0010986328125,0.0,50.996429443359375,0.0,0.0,0.0,1011.0010986328125,0.0,0,0
0,1,0x001C,30,0,0,0,-43.70983123779297,2.5999999046325684,-52.78248596191406,0.0,0.0,0.0,1009.0010986328125,0.0,0,0
0,2,0x000C,30,0,0,0,0.3424072265625,2.5999996662139893,-84.7215576171875,0.0,0.0,0.0,1006.0010986328125,0.0,0,0
0,3,0x0005,30,0,0,0,43.87113952636719,2.5999996662139893,-74.80303955078125,0.0,0.0,0.0,1008.0010986328125,0.0,0,0
0,4,0x000B,30,0,0,0,75.87998962402344,2.5999999046325684,-42.68998718261719,0.0,0.0,0.0,1007.0,0.0,0,0
0,5,0x0007,30,0,0,0,16.003997802734375,0.0,5.99566650390625,22.000009536743164,0.0,0.0,1021.0010986328125,140.00006103515625,1,0
0,6,0x001F,40,0,0,0,0.30999755859375,3.0,-105.38998413085938,0.0,0.0,0.0,1017.0,0.0,0,0
0,7,0x001D,20,0,0,0,-262.51129150390625,0.0,-24.541954040527344,0.0,0.0,0.0,1010.0010986328125,0.0,0,0
0,8,0x0022,10,0,0,0,-10.572265625,0.0,69.57058715820312,0.0,0.0,0.0,150.0,13.0,0,0
6,0,0x0083,60,2,2,0,-30.0,0.0,-120.0,0.0,0.0,0.0,0.0,0.0,0,0
6,1,0x0083,60,2,2,0,30.0,0.0,-120.0,0.0,0.0,0.0,0.0,0.0,0,0
6,2,0x0080,60,2,2,0,-120.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1,0
6,3,0x0080,60,2,2,0,-120.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,1,0
6,4,0x0080,60,1,1,0,115.17762756347656,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1,0
6,5,0x0080,60,1,1,0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,6,0x0080,60,1,1,0,115.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,1,0
6,7,0x0080,50,2,2,0,-45.0,7.3526704724713454e-09,-70.0,0.0,0.0,0.0,0.0,0.0,1,0
6,8,0x0083,50,2,2,0,0.0,1.4901161193847656e-08,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,9,0x0080,50,2,2,0,45.0,-3.775878720801984e-09,70.0,0.0,0.0,0.0,0.0,0.0,1,0
6,10,0x0080,50,3,3,0,-50.0,-4.939888054167341e-09,-120.0,0.0,0.0,0.0,0.0,0.0,1,0
6,11,0x0080,50,3,3,0,50.0,-4.8258197438144634e-09,-120.0,0.0,0.0,0.0,0.0,0.0,1,0
6,12,0x0083,50,3,3,0,0.0,1.4623617872189243e-09,-75.0,0.0,0.0,0.0,0.0,0.0,0,0
6,13,0x0080,60,3,3,0,-34.78594970703125,0.0,123.0,0.0,0.0,0.0,0.0,0.0,1,0
6,14,0x0080,60,3,3,0,46.6864013671875,0.0,123.0,0.0,0.0,0.0,0.0,0.0,1,0
6,15,0x0083,60,4,4,0,-50.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0
6,16,0x0083,60,4,4,0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0
6,17,0x0083,60,4,4,0,50.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0
6,18,0x0083,51,1,1,0,90.0,-2.11806439054385e-09,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
6,19,0x0083,51,1,1,0,40.0,1.22789345358143e-09,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
6,20,0x0083,51,1,1,0,-40.0,7.19576753738238e-09,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
6,21,0x0083,51,1,1,0,-90.0,8.048208322009032e-09,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
6,22,0x0080,51,2,2,0,0.0,1.4901161193847656e-08,-60.0,0.0,0.0,0.0,0.0,0.0,1,0
6,23,0x0080,51,2,2,0,55.0,-5.175868178497467e-09,-120.0,0.0,0.0,0.0,0.0,0.0,1,0
6,24,0x0080,51,2,2,0,-55.0,-5.227718258282721e-09,-120.0,0.0,0.0,0.0,0.0,0.0,1,0
6,25,0x0082,51,3,3,0,60.0,85.0,-185.0,0.0,1.0,0.0,0.0,0.0,0,0
6,26,0x0082,51,3,3,0,-60.0,85.0,-185.0,0.0,1.0,0.0,0.0,0.0,0,0
6,27,0x0083,51,3,3,0,10.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
6,28,0x0083,51,3,3,0,-10.0,1.4901161193847656e-08,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
6,29,0x0083,40,1,1,0,-47.0386962890625,4.212715953855195e-09,-43.26519775390625,0.0,0.0,0.0,0.0,0.0,0,0
6,30,0x0083,40,1,1,0,44.9713134765625,0.0,47.81024169921875,0.0,0.0,0.0,0.0,0.0,0,0
6,31,0x0084,40,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,32,0x0080,40,3,3,0,0.0,4.388328367355143e-09,-45.0,0.0,0.0,0.0,0.0,0.0,1,0
6,33,0x0080,40,3,3,0,-45.0,8.166919585050891e-09,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,34,0x0080,40,3,3,0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,35,0x0080,40,3,3,0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1,0
6,36,0x0082,40,3,3,0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
6,37,0x0080,40,4,4,0,-55.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1,0
6,38,0x0080,40,4,4,0,-30.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,1,0
6,39,0x0080,40,4,4,0,30.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,1,0
6,40,0x0080,40,4,4,0,55.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1,0
6,41,0x0082,22,1,1,0,-30.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
6,42,0x0082,22,1,1,0,30.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
6,43,0x0083,22,2,2,0,55.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,0,0
6,44,0x0083,22,2,2,0,-55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0,0
6,45,0x0084,22,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,46,0x0083,22,4,4,0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,47,0x0083,22,4,4,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,48,0x0080,22,4,4,0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,1,0
6,49,0x0080,22,4,4,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1,0
6,50,0x0083,75,1,1,0,-84.9896240234375,5.435810089111328,119.45191955566406,1.0,0.0,0.0,0.0,0.0,0,0
6,51,0x0083,75,1,1,0,-120.3983154296875,0.0,148.695556640625,1.0,0.0,0.0,0.0,0.0,0,0
6,52,0x0082,75,2,2,0,-85.04817962646484,100.0,118.815185546875,0.0,0.0,0.0,0.0,0.0,0,0
6,53,0x0082,75,3,3,0,-100.0,130.0,-60.0,0.0,1.0,0.0,0.0,0.0,0,0
6,54,0x0082,75,3,3,0,-100.0,130.0,-140.0,0.0,1.0,0.0,0.0,0.0,0,0
6,55,0x0082,75,3,3,0,75.0,130.0,-160.0,0.0,0.0,0.0,0.0,0.0,0,0
6,56,0x0082,75,3,3,0,75.0,130.0,-35.0,0.0,0.0,0.0,0.0,0.0,0,0
6,57,0x0083,75,4,4,0,167.504150390625,0.0,-69.9638671875,0.0,0.0,0.0,0.0,0.0,0,0
6,58,0x0083,75,4,4,0,118.46190643310547,0.0,-29.632469177246094,0.0,0.0,0.0,0.0,0.0,0,0
6,59,0x0082,75,4,4,0,0.0,80.0,-170.0,0.0,1.0,0.0,0.0,0.0,0,0
6,60,0x0082,75,4,4,0,65.0,80.0,-170.0,0.0,1.0,0.0,0.0,0.0,0,0
6,61,0x0081,75,5,5,0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0,0
6,62,0x0080,75,6,6,0,-32.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,1,0
6,63,0x0080,75,6,6,0,32.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,1,0
6,64,0x0083,75,6,6,0,150.0,0.0,-125.0,1.0,0.0,0.0,0.0,0.0,0,0
6,65,0x0082,75,6,6,0,27.2745361328125,80.0,-27.48779296875,0.0,1.0,0.0,0.0,0.0,0,0
6,66,0x0083,30,1,1,0,55.0,-2.3999998569488525,-25.0,0.0,0.0,0.0,0.0,0.0,0,0
6,67,0x0083,30,1,1,0,-55.0,-2.40000057220459,25.0,0.0,0.0,0.0,0.0,0.0,0,0
6,68,0x0082,30,1,1,0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
6,69,0x0082,30,2,2,0,0.0,75.0,40.0,0.0,0.0,0.0,0.0,0.0,0,0
6,70,0x0082,30,2,2,0,0.0,75.0,-40.0,0.0,0.0,0.0,0.0,0.0,0,0
6,71,0x0080,30,3,3,0,55.0,-2.4000000953674316,25.0,0.0,0.0,0.0,0.0,0.0,1,0
6,72,0x0080,30,3,3,0,-55.0,-2.40000057220459,-25.0,0.0,0.0,0.0,0.0,0.0,1,0
6,73,0x0082,30,3,3,0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
6,74,0x0080,30,4,4,0,20.0,-2.4000000953674316,40.0,0.0,0.0,0.0,0.0,0.0,1,0
6,75,0x0080,30,4,4,0,-20.0,-2.40000057220459,40.0,0.0,0.0,0.0,0.0,0.0,1,0
