label,line,instructions
start,16,0
label0001,21,4
label0002,27,10
label0003,39,16
label0004,57,4
label0005,63,2
label0006,67,2
label0007,71,2
label0008,75,2
label0009,79,3
label000B,84,1
label000C,87,6
label014A,95,1
label0154,98,1
label0168,101,8
label015E,111,9
label015F,122,4
label0160,128,4
label0161,134,4
label0162,140,4
label0163,146,10
label0096,158,1
label0097,161,33
label0136,196,23
label0098,221,8
label0137,231,5
label0138,238,8
label0139,248,8
label00FA,258,9
label0103,269,7
label00FB,278,4
label0102,284,7
label0105,293,1
label00FC,296,11
label0106,309,26
label010E,337,5
label010F,344,4
label0110,350,4
label0111,356,4
label0112,362,10
label0118,374,7
label0119,383,11
label011A,396,11
label0104,409,22
label03F3,433,9
label03F4,444,7
label03F5,453,11
label00FD,466,7
label0438,475,20
label0455,497,4
label04B1,503,7
label05DC,512,4
