label,line,opcode,args
start,30,set_qt_success,label01F4
start,35,set_floor_handler,"... 0x0 /* 0 */, label0064"
start,38,set_floor_handler,"... 0x5 /* 5 */, label0065"
label01F5,63,pl_add_meseta2,... 0x9C4 /* 2500 */
label01F6,73,pl_add_meseta2,... 0x1194 /* 4500 */
label01F7,83,pl_add_meseta2,... 0x1B58 /* 7000 */
label01F8,93,pl_add_meseta2,... 0x6D60 /* 28000 */
label0004,115,switch_call,"r250, [label0006, label0007, label0008, label0009]"
label0006,136,sync_register2,"... r30, 0x1 /* 1 */"
label0007,142,sync_register2,"... r31, 0x1 /* 1 */"
label0008,148,sync_register2,"... r32, 0x1 /* 1 */"
label0009,154,sync_register2,"... r33, 0x1 /* 1 */"
label000E,190,set_switch_flag_sync,"... 0x5 /* 5 */, 0x1 /* 1 */"
label000E,192,switch_on,... 0x82 /* 130 */
label000E,196,switch_call,"r250, [label0050, label0051, label0052, label0053]"
label000F,200,gettime,r51
label0010,206,jmpi_eq,"r254, 0x00000001, label0011"
label0010,207,gettime,r52
label0011,211,winset_time,r52
label0011,212,show_timer,
label001E,254,read_switch_flag_on_floor,r60-r62
label001E,258,read_switch_flag_on_floor,r60-r62
label001E,262,set_switch_flag_sync,"... 0x5 /* 5 */, 0xB /* 11 */"
label001E,265,clear_switch_flag_sync,"... 0x5 /* 5 */, 0x1 /* 1 */"
label001E,267,switch_on,... 0x83 /* 131 */
label001E,269,switch_on,... 0x3F /* 63 */
label001E,280,switch_on,... 0x84 /* 132 */
label003C,290,read_switch_flag_on_floor,r60-r62
label0046,312,sync_register2,"... r20, 0x1 /* 1 */"
label003D,320,read_switch_flag_on_floor,r60-r62
label0047,342,sync_register2,"... r21, 0x1 /* 1 */"
label003E,350,read_switch_flag_on_floor,r60-r62
label0048,372,sync_register2,"... r22, 0x1 /* 1 */"
label003F,380,read_switch_flag_on_floor,r60-r62
label0049,402,sync_register2,"... r23, 0x1 /* 1 */"
label0040,410,read_switch_flag_on_floor,r60-r62
label004A,432,sync_register2,"... r24, 0x1 /* 1 */"
label004B,440,read_switch_flag_on_floor,r60-r62
label004B,444,sync_register2,"... r35, 0x1 /* 1 */"
label0041,469,read_switch_flag_on_floor,r25-r27
label0041,473,read_switch_flag_on_floor,r25-r27
label0042,484,read_switch_flag_on_floor,r6-r8
label0042,488,read_switch_flag_on_floor,r6-r8
label012C,496,switch_jmp,"r250, [label012D, label012E, label012F, label0130]"
