label,line,opcode,args
label0025,24,read_switch_flag_on_floor,r1-r3
label0025,28,set_switch_flag_sync,"... r1, r2"
label0024,34,read_switch_flag_on_floor,r1-r3
label0024,38,clear_switch_flag_sync,"... r1, r2"
label000F,223,read_switch_flag_on_floor,r60-r62
start,353,set_qt_exit,label0020
start,354,set_qt_cancel,label0014
start,355,set_qt_success,label003F
start,356,set_qt_failure,label0034
start,363,set_floor_handler,"... 0x0 /* 0 */, label0038"
start,366,set_floor_handler,"... 0x1 /* 1 */, label0040"
label0047,389,pl_add_meseta2,... 0xDAC /* 3500 */
label002B,397,pl_add_meseta2,... 0x1B58 /* 7000 */
label0042,405,pl_add_meseta2,... 0x2904 /* 10500 */
label0033,413,pl_add_meseta2,... 0x36B0 /* 14000 */
label0038,423,jmpi_eq,"r255, 0x00000001, label0001"
label0038,424,jmpi_eq,"r254, 0x00000001, label0001"
label0478,510,jmpi_eq,"r254, 0x00000001, label000A"
label000A,542,set,r255
label0457,575,jmpi_eq,"r254, 0x00000001, label0001"
label0003,594,jmpi_eq,"r254, 0x00000001, label0001"
label0006,607,set,r254
label0006,614,set,r254
label0008,631,set_switch_flag_sync,"... 0x1 /* 1 */, 0x16 /* 22 */"
label000B,639,read_switch_flag_on_floor,r60-r62
label000B,642,read_switch_flag,r140-r141
label000B,644,read_switch_flag,r142-r143
label0046,651,set_switch_flag_sync,"... 0x1 /* 1 */, 0x1F /* 31 */"
label000C,672,set_switch_flag_sync,"... 0x1 /* 1 */, 0x35 /* 53 */"
label0043,680,read_switch_flag_on_floor,r60-r62
label0043,683,read_switch_flag,r140-r141
label0043,685,read_switch_flag,r142-r143
label0043,687,read_switch_flag,r144-r145
