floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
1,101,10,1,30,1,trigger_event(102); stop,6,"{""0x0111"": 3, ""0x0115"": 3}"
1,102,10,2,30,1,trigger_event(103); stop,6,"{""0x0041"": 3, ""0x0115"": 3}"
1,103,10,3,30,1,trigger_event(104); stop,6,"{""0x0041"": 3, ""0x0110"": 3}"
1,104,10,4,30,1,trigger_event(105); stop,7,"{""0x0111"": 6, ""0x0115"": 1}"
1,105,10,5,30,1,trigger_event(106); stop,8,"{""0x0114"": 1, ""0x0041"": 2, ""0x0110"": 1, ""0x0111"": 2, ""0x0115"": 2}"
1,106,10,6,30,1,trigger_event(107); stop,7,"{""0x0115"": 1, ""0x0110"": 1, ""0x0111"": 3, ""0x0041"": 2}"
1,107,10,7,30,1,set_switch(10); stop,4,"{""0x0116"": 1, ""0x0114"": 1, ""0x0110"": 2}"
1,111,11,1,30,1,trigger_event(112); stop,4,"{""0x0110"": 1, ""0x0115"": 3}"
1,112,11,2,30,1,trigger_event(113); stop,5,"{""0x0111"": 5}"
1,113,11,3,30,1,set_switch(11); stop,4,"{""0x0116"": 1, ""0x0041"": 3}"
1,201,20,1,30,1,trigger_event(202); stop,3,"{""0x0115"": 3}"
1,202,20,2,30,1,trigger_event(203); stop,4,"{""0x0111"": 3, ""0x0110"": 1}"
1,203,20,3,30,1,"set_switch(21); construct_objects(room=20,group_or_wave=1); stop",6,"{""0x0115"": 3, ""0x0041"": 2, ""0x0110"": 1}"
1,204,20,4,30,1,trigger_event(205); stop,5,"{""0x0110"": 2, ""0x0111"": 3}"
1,205,20,5,30,1,trigger_event(206); stop,6,"{""0x0111"": 3, ""0x0115"": 2, ""0x0114"": 1}"
1,206,20,6,30,1,trigger_event(207); stop,6,"{""0x0041"": 1, ""0x0115"": 3, ""0x0110"": 2}"
1,207,20,7,30,1,trigger_event(208); stop,6,"{""0x0110"": 3, ""0x0111"": 3}"
1,208,20,8,30,1,trigger_event(209); trigger_event(2010); stop,1,"{""0x0115"": 1}"
1,209,20,9,30,1,trigger_event(2011); stop,1,"{""0x0041"": 1}"
1,2010,20,10,30,1,trigger_event(2012); stop,1,"{""0x0110"": 1}"
1,2011,20,11,30,1,trigger_event(2013); stop,1,"{""0x0110"": 1}"
1,2012,20,12,30,1,trigger_event(2014); stop,2,"{""0x0111"": 2}"
1,2013,20,13,30,1,set_switch(23); stop,1,"{""0x0115"": 1}"
1,2014,20,14,30,1,set_switch(24); stop,1,"{""0x0114"": 1}"
1,211,21,1,30,1,trigger_event(212); stop,4,"{""0x0111"": 2, ""0x0115"": 1, ""0x0041"": 1}"
1,212,21,2,30,1,trigger_event(213); stop,5,"{""0x0111"": 3, ""0x0110"": 2}"
1,213,21,3,30,1,"set_switch(211); construct_objects(room=21,group_or_wave=1); stop",5,"{""0x0110"": 2, ""0x0116"": 1, ""0x0041"": 2}"
1,214,21,4,30,1,trigger_event(215); stop,1,"{""0x0114"": 1}"
1,215,21,5,30,1,trigger_event(216); stop,5,"{""0x0041"": 2, ""0x0110"": 2, ""0x0111"": 1}"
1,216,21,6,30,1,set_switch(212); stop,6,"{""0x0111"": 3, ""0x0115"": 2, ""0x0110"": 1}"
1,301,30,1,30,1,trigger_event(302); trigger_event(303); stop,1,"{""0x0115"": 1}"
1,302,30,2,30,1,trigger_event(304); stop,1,"{""0x0115"": 1}"
1,303,30,3,30,1,trigger_event(305); stop,1,"{""0x0115"": 1}"
1,304,30,4,30,1,trigger_event(306); stop,1,"{""0x0111"": 1}"
1,305,30,5,30,1,trigger_event(317); stop,2,"{""0x0041"": 2}"
1,306,30,6,30,1,trigger_event(308); stop,2,"{""0x0111"": 1, ""0x0115"": 1}"
1,317,30,7,30,1,trigger_event(309); stop,1,"{""0x0110"": 1}"
1,308,30,8,30,1,trigger_event(310); stop,1,"{""0x0041"": 1}"
1,309,30,9,30,1,trigger_event(311); stop,2,"{""0x0110"": 2}"
1,310,30,10,30,1,trigger_event(312); stop,2,"{""0x0111"": 2}"
