floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
7,101,10,1,3,1,trigger_event(102); stop,5,"{""0x0041"": 2, ""0x0111"": 3}"
7,102,10,2,3,1,set_switch(102); trigger_event(103); stop,7,"{""0x0117"": 7}"
7,103,10,3,3,1,trigger_event(104); stop,5,"{""0x0117"": 3, ""0x0111"": 2}"
7,104,10,4,3,1,trigger_event(105); stop,6,"{""0x0111"": 2, ""0x0117"": 4}"
7,105,10,5,3,1,trigger_event(106); stop,5,"{""0x0112"": 2, ""0x0111"": 3}"
7,106,10,6,3,1,set_switch(103); trigger_event(107); stop,6,"{""0x0041"": 6}"
7,107,10,7,3,1,trigger_event(108); stop,6,"{""0x0117"": 4, ""0x0112"": 2}"
7,108,10,8,3,1,set_switch(106); stop,1,"{""0x0113"": 1}"
7,109,10,9,3,1,trigger_event(1010); stop,4,"{""0x0113"": 1, ""0x0117"": 3}"
7,1010,10,10,3,1,stop,10,"{""0x0113"": 1, ""0x0114"": 1, ""0x0117"": 8}"
7,201,20,1,3,1,trigger_event(202); stop,3,"{""0x0112"": 3}"
7,202,20,2,3,1,set_switch(201); stop,6,"{""0x0117"": 2, ""0x0111"": 2, ""0x0041"": 2}"
7,211,21,1,3,1,trigger_event(212); stop,4,"{""0x0117"": 4}"
7,212,21,2,3,1,trigger_event(213); stop,4,"{""0x0117"": 4}"
7,213,21,3,3,1,set_switch(211); stop,4,"{""0x0041"": 2, ""0x0111"": 2}"
7,221,22,1,3,1,trigger_event(222); stop,4,"{""0x0111"": 3, ""0x0117"": 1}"
7,222,22,2,3,1,set_switch(221); stop,4,"{""0x0111"": 3, ""0x0117"": 1}"
7,231,23,1,3,1,trigger_event(232); stop,3,"{""0x0112"": 3}"
7,232,23,2,3,1,set_switch(231); stop,5,"{""0x0117"": 3, ""0x0112"": 2}"
7,241,24,1,3,1,trigger_event(242); stop,5,"{""0x0117"": 3, ""0x0111"": 2}"
7,242,24,2,3,1,set_switch(241); stop,4,"{""0x0117"": 2, ""0x0111"": 2}"
7,251,25,1,3,1,trigger_event(252); stop,5,"{""0x0112"": 1, ""0x0111"": 4}"
7,252,25,2,3,1,trigger_event(253); stop,4,"{""0x0117"": 4}"
7,253,25,3,3,1,set_switch(251); stop,3,"{""0x0041"": 3}"
7,261,26,1,3,1,trigger_event(262); stop,4,"{""0x0111"": 2, ""0x0112"": 2}"
7,262,26,2,3,1,trigger_event(263); stop,6,"{""0x0111"": 3, ""0x0117"": 3}"
7,263,26,3,3,1,set_switch(26); stop,9,"{""0x0117"": 9}"
7,271,27,1,3,1,trigger_event(272); stop,4,"{""0x0111"": 2, ""0x0112"": 2}"
7,272,27,2,3,1,trigger_event(273); stop,5,"{""0x0111"": 2, ""0x0117"": 3}"
7,273,27,3,3,1,trigger_event(274); stop,5,"{""0x0117"": 2, ""0x0112"": 2, ""0x0111"": 1}"
7,274,27,4,3,1,set_switch(27); stop,9,"{""0x0111"": 3, ""0x0041"": 3, ""0x0117"": 3}"
7,401,40,1,3,1,trigger_event(402); stop,6,"{""0x0117"": 6}"
7,402,40,2,3,1,trigger_event(403); stop,4,"{""0x0112"": 2, ""0x0111"": 2}"
7,403,40,3,3,1,set_switch(40); stop,5,"{""0x0117"": 2, ""0x0111"": 1, ""0x0112"": 2}"
7,411,41,1,3,1,trigger_event(412); stop,6,"{""0x0117"": 3, ""0x0111"": 3}"
7,412,41,2,3,1,set_switch(41); stop,7,"{""0x0041"": 3, ""0x0117"": 4}"
7,421,42,1,3,1,trigger_event(422); stop,4,"{""0x0117"": 1, ""0x0111"": 3}"
7,422,42,2,3,1,trigger_event(423); stop,5,"{""0x0041"": 3, ""0x0112"": 2}"
7,423,42,3,3,1,set_switch(42); stop,4,"{""0x0111"": 4}"
7,501,50,1,3,1,trigger_event(502); stop,3,"{""0x0112"": 3}"
7,502,50,2,3,1,set_switch(50); stop,4,"{""0x0111"": 2, ""0x0041"": 2}"
