floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x001D,10,0,0,0,-49.0010986328125,0.0,51.0,0.0,0.0,0.0,1011.0,850.0,0,0
0,1,0x0019,10,0,0,0,2.0,0.0,67.0,0.0,0.0,0.0,100.0,310.0,0,0
0,2,0x0019,20,0,0,0,167.99769592285156,0.0,84.0,24.0,0.0,0.0,138.0,1138.0,1,0
0,3,0x0005,20,0,0,0,156.0028839111328,0.0,-49.99967575073242,30.000009536743164,0.0,0.0,135.0,1135.0,1,0
0,4,0x001A,20,0,0,0,237.9988250732422,0.0,-14.0001220703125,0.0,0.0,0.0,136.0,1136.0,0,0
0,5,0x0019,20,0,0,0,238.00379943847656,0.0,63.00413513183594,0.0,0.0,0.0,137.0,1137.0,0,0
0,6,0x000D,20,0,0,0,-2.001882553100586,0.0,35.0036506652832,26.000009536743164,0.0,0.0,139.0,1139.0,1,0
0,7,0x001E,20,0,0,0,-147.0000457763672,0.0,-7.996537208557129,30.000009536743164,0.0,0.0,140.0,1140.0,1,0
0,8,0x0003,20,0,0,0,-212.0,0.0,-140.0,37.0,0.0,0.0,142.0,1142.0,1,0
0,9,0x001D,20,0,0,0,-262.51129150390625,0.0,-24.541954040527344,0.0,0.0,0.0,1010.0010986328125,840.0,0,0
0,10,0x001C,30,0,0,0,-43.70983123779297,2.5999999046325684,-52.78248596191406,0.0,0.0,0.0,1009.0010986328125,830.0,0,0
0,11,0x000C,30,0,0,0,0.3424072265625,2.5999996662139893,-84.7215576171875,0.0,0.0,0.0,1006.0010986328125,800.0,0,0
0,12,0x0005,30,0,0,0,43.87113952636719,2.5999996662139893,-74.80303955078125,0.0,0.0,0.0,1008.0010986328125,820.0,0,0
0,13,0x000B,30,0,0,0,75.87998962402344,2.5999999046325684,-42.68998718261719,0.0,0.0,0.0,1007.0,810.0,0,0
0,14,0x0005,30,0,0,0,16.003997802734375,0.0,5.99566650390625,22.000009536743164,0.0,0.0,141.0,1141.0,1,0
0,15,0x001F,40,0,0,0,0.30999755859375,3.0,-105.38998413085938,0.0,0.0,0.0,1017.0,860.0,0,0
0,16,0x001F,40,0,0,0,53.499176025390625,0.0,-26.496688842773438,18.0,0.0,0.0,134.0,1134.0,1,0
5,0,0x0115,10,7,7,0,201.5,-41.7274169921875,251.48001098632812,0.0,0.0,0.0,0.0,0.0,2,0
5,1,0x0115,10,7,7,0,254.5867919921875,-43.919586181640625,251.1781005859375,0.0,0.0,0.0,0.0,0.0,2,0
5,2,0x0110,10,6,6,0,175.60638427734375,-29.086273193359375,117.26934814453125,0.0,0.0,0.0,0.0,0.0,0,0
5,3,0x0041,10,6,6,0,141.21142578125,-37.406097412109375,189.95126342773438,0.0,0.0,0.0,0.0,0.0,0,0
5,4,0x0041,10,6,6,0,232.0931396484375,-40.194305419921875,179.76058959960938,0.0,0.0,0.0,0.0,0.0,0,0
5,5,0x0115,10,9,9,0,295.519775390625,-28.8599853515625,105.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,0x0116,10,9,9,0,44.05828857421875,-36.16998291015625,251.71002197265625,0.0,0.0,0.0,0.0,0.0,0,0
5,7,0x0115,10,9,9,0,355.274658203125,-44.029998779296875,175.8209228515625,0.0,0.0,0.0,0.0,0.0,1,0
5,8,0x0115,10,9,9,0,362.57598876953125,-43.759979248046875,276.40594482421875,0.0,0.0,0.0,0.0,0.0,1,0
5,9,0x0115,10,9,9,0,351.31988525390625,-46.6199951171875,319.97552490234375,0.0,0.0,0.0,0.0,0.0,1,0
5,10,0x0115,10,8,8,0,258.1004943847656,-41.72998046875,326.8232421875,0.0,0.0,0.0,0.0,0.0,1,0
5,11,0x0041,10,8,8,0,272.5992431640625,-41.72998046875,193.80838012695312,0.0,0.0,0.0,0.0,0.0,0,0
5,12,0x0041,10,8,8,0,175.00820922851562,-40.220001220703125,284.9039611816406,0.0,0.0,0.0,0.0,0.0,0,0
5,13,0x0111,10,5,5,0,193.5838623046875,-24.399993896484375,14.80999755859375,0.0,1.0,0.0,0.0,0.0,0,0
5,14,0x0111,10,5,5,0,121.07867431640625,-24.47998046875,31.16839599609375,0.0,1.0,0.0,0.0,0.0,0,0
5,15,0x0115,10,5,5,0,158.05783081054688,-26.77593994140625,66.171142578125,0.0,0.0,0.0,0.0,0.0,1,0
5,16,0x0111,10,2,2,0,-254.79437255859375,-15.8699951171875,108.42999267578125,0.0,1.0,0.0,0.0,0.0,0,0
5,17,0x0111,10,2,2,0,-154.821044921875,-21.79998779296875,148.24578857421875,0.0,1.0,0.0,0.0,0.0,0,0
5,18,0x0115,10,1,1,0,-229.83282470703125,-10.069976806640625,34.67718505859375,0.0,0.0,0.0,0.0,0.0,1,0
5,19,0x0115,10,1,1,0,-161.36163330078125,-16.0,60.72686767578125,0.0,0.0,0.0,0.0,0.0,1,0
5,20,0x0115,10,1,1,0,-270.986328125,-19.029998779296875,173.0677490234375,0.0,0.0,0.0,0.0,0.0,1,0
5,21,0x0111,10,4,4,0,24.8441162109375,-34.67340087890625,235.510009765625,0.0,0.0,0.0,0.0,0.0,0,0
5,22,0x0111,10,4,4,0,98.8935546875,-36.719970703125,213.23428344726562,1.0,0.0,0.0,0.0,0.0,0,0
5,23,0x0111,10,4,4,0,106.31683349609375,-34.660003662109375,307.5400085449219,0.0,0.0,0.0,0.0,0.0,0,0
5,24,0x0111,10,4,4,0,13.988037109375,-32.28997802734375,178.85000610351562,0.0,1.0,0.0,0.0,0.0,0,0
5,25,0x0111,10,4,4,0,25.1187744140625,-30.910003662109375,315.3600158691406,1.0,1.0,0.0,0.0,0.0,0,0
5,26,0x0115,10,3,3,0,41.9852294921875,-22.985443115234375,46.19891357421875,0.0,0.0,0.0,0.0,0.0,0,0
5,27,0x0115,10,3,3,0,37.72967529296875,-24.583984375,101.9364013671875,0.0,0.0,0.0,0.0,0.0,0,0
5,28,0x0111,10,3,3,0,7.04278564453125,-17.133941650390625,0.3861083984375,0.0,0.0,0.0,0.0,0.0,0,0
5,29,0x0111,10,3,3,0,-53.577392578125,-15.459991455078125,40.10003662109375,0.0,0.0,0.0,0.0,0.0,0,0
5,30,0x0111,10,3,3,0,-107.79473876953125,-17.989990234375,94.26251220703125,0.0,0.0,0.0,0.0,0.0,0,0
5,31,0x0111,20,7,7,0,83.36370849609375,-32.019989013671875,-180.29888916015625,0.0,0.0,0.0,0.0,0.0,2,0
5,32,0x0111,20,7,7,0,26.6986083984375,-28.649993896484375,-239.86351013183594,0.0,0.0,0.0,0.0,0.0,2,0
5,33,0x0115,20,7,7,0,51.07958984375,-30.780120849609375,-144.49508666992188,0.0,0.0,0.0,0.0,0.0,0,0
5,34,0x0115,20,7,7,0,-33.45001220703125,-25.53997802734375,-237.36300659179688,0.0,0.0,0.0,0.0,0.0,0,0
5,35,0x0111,20,7,7,0,2.915283203125,-27.04998779296875,-175.2960205078125,0.0,0.0,0.0,0.0,0.0,2,0
5,36,0x0110,20,6,6,0,34.88409423828125,-30.30487060546875,-88.22171020507812,0.0,0.0,0.0,0.0,0.0,0,0
5,37,0x0041,20,6,6,0,-44.60528564453125,-26.1300048828125,-90.55288696289062,0.0,0.0,0.0,0.0,0.0,0,0
5,38,0x0115,20,9,9,0,-49.47113037109375,-27.0,-290.96746826171875,2.0,0.0,0.0,0.0,0.0,2,0
5,39,0x0110,20,9,9,0,-149.5799560546875,-24.529571533203125,-337.4700012207031,2.0,0.0,0.0,0.0,0.0,0,0
5,40,0x0110,20,9,9,0,-46.552734375,-25.779937744140625,-351.8318786621094,2.0,0.0,0.0,0.0,0.0,0,0
5,41,0x0114,20,9,9,0,-188.949951171875,-14.069976806640625,-127.70999908447266,2.0,0.0,0.0,0.0,0.0,0,0
5,42,0x0115,20,9,9,0,-117.66607666015625,-24.509979248046875,-285.07757568359375,2.0,0.0,0.0,0.0,0.0,2,0
5,43,0x0111,20,8,8,0,-151.1043701171875,-21.4677734375,-248.4960174560547,2.0,1.0,0.0,0.0,0.0,0,0
5,44,0x0111,20,8,8,0,-118.71209716796875,-17.993743896484375,-185.5618896484375,1.0,1.0,0.0,0.0,0.0,0,0
5,45,0x0111,20,8,8,0,-83.3919677734375,-22.46173095703125,-128.3300018310547,1.0,1.0,0.0,0.0,0.0,0,0
5,46,0x0111,20,8,8,0,-164.52996826171875,-15.141265869140625,-158.5800018310547,1.0,0.0,0.0,0.0,0.0,0,0
5,47,0x0111,20,8,8,0,-255.720703125,-8.89990234375,-192.7191162109375,2.0,0.0,0.0,0.0,0.0,0,0
5,48,0x0041,20,5,5,0,48.971435546875,-31.012908935546875,-93.6371078491211,0.0,0.0,0.0,0.0,0.0,0,0
5,49,0x0115,20,5,5,0,64.78704833984375,-31.568817138671875,-48.93265914916992,0.0,0.0,0.0,0.0,0.0,2,0
5,50,0x0115,20,5,5,0,33.6962890625,-29.989990234375,-126.8699951171875,0.0,0.0,0.0,0.0,0.0,2,0
5,51,0x0041,20,2,2,0,245.66998291015625,-43.1300048828125,22.863388061523438,0.0,0.0,0.0,0.0,0.0,0,0
5,52,0x0041,20,2,2,0,175.46942138671875,-39.660003662109375,17.40509033203125,0.0,0.0,0.0,0.0,0.0,0,0
5,53,0x0115,20,1,1,0,204.11175537109375,-42.1092529296875,62.89051818847656,0.0,0.0,0.0,0.0,0.0,1,0
5,54,0x0115,20,1,1,0,224.2900390625,-42.40960693359375,-20.824600219726562,0.0,0.0,0.0,0.0,0.0,1,0
5,55,0x0111,20,4,4,0,-1.424560546875,-28.22998046875,-63.015594482421875,0.0,0.0,0.0,0.0,0.0,0,0
5,56,0x0111,20,4,4,0,62.04095458984375,-30.8499755859375,37.426109313964844,0.0,0.0,0.0,0.0,0.0,0,0
