floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
7,101,10,1,3,1,trigger_event(102); stop,6,"{""0x0111"": 3, ""0x0041"": 3}"
7,102,10,2,3,1,trigger_event(103); stop,9,"{""0x0117"": 6, ""0x0111"": 3}"
7,103,10,3,3,1,trigger_event(104); stop,8,"{""0x0117"": 7, ""0x0112"": 1}"
7,104,10,4,3,1,set_switch(10); stop,9,"{""0x0113"": 1, ""0x0041"": 4, ""0x0117"": 2, ""0x0111"": 2}"
7,201,20,1,3,1,trigger_event(202); stop,2,"{""0x0112"": 2}"
7,202,20,2,3,1,trigger_event(203); stop,5,"{""0x0117"": 5}"
7,203,20,3,3,1,set_switch(20); stop,7,"{""0x0117"": 2, ""0x0041"": 3, ""0x0111"": 2}"
7,211,21,1,3,1,trigger_event(212); stop,3,"{""0x0112"": 3}"
7,212,21,2,3,1,trigger_event(213); stop,4,"{""0x0041"": 2, ""0x0111"": 2}"
7,213,21,3,3,1,set_switch(21); stop,5,"{""0x0117"": 5}"
7,221,22,1,3,1,trigger_event(222); stop,5,"{""0x0117"": 2, ""0x0111"": 3}"
7,222,22,2,3,1,trigger_event(223); stop,7,"{""0x0041"": 3, ""0x0117"": 4}"
7,223,22,3,3,1,set_switch(22); stop,5,"{""0x0112"": 3, ""0x0111"": 2}"
7,231,23,1,3,1,trigger_event(232); stop,4,"{""0x0117"": 4}"
7,232,23,2,3,1,trigger_event(233); stop,4,"{""0x0117"": 4}"
7,233,23,3,3,1,set_switch(23); stop,3,"{""0x0111"": 3}"
7,241,24,1,3,1,trigger_event(242); stop,5,"{""0x0111"": 3, ""0x0117"": 2}"
7,242,24,2,3,1,trigger_event(243); stop,4,"{""0x0111"": 2, ""0x0117"": 2}"
7,243,24,3,3,1,set_switch(24); stop,4,"{""0x0041"": 4}"
7,251,25,1,3,1,trigger_event(252); stop,5,"{""0x0111"": 2, ""0x0117"": 3}"
7,252,25,2,3,1,trigger_event(253); stop,4,"{""0x0117"": 2, ""0x0111"": 2}"
7,253,25,3,3,1,set_switch(25); stop,6,"{""0x0117"": 2, ""0x0111"": 2, ""0x0112"": 2}"
7,261,26,1,3,1,trigger_event(262); stop,4,"{""0x0111"": 2, ""0x0112"": 2}"
7,262,26,2,3,1,trigger_event(263); stop,6,"{""0x0111"": 3, ""0x0117"": 3}"
7,263,26,3,3,1,set_switch(26); stop,6,"{""0x0117"": 6}"
7,271,27,1,3,1,trigger_event(272); stop,4,"{""0x0117"": 2, ""0x0111"": 2}"
7,272,27,2,3,1,trigger_event(273); stop,3,"{""0x0111"": 3}"
7,273,27,3,3,1,set_switch(27); stop,5,"{""0x0041"": 3, ""0x0112"": 2}"
7,401,40,1,3,1,trigger_event(402); stop,5,"{""0x0117"": 5}"
7,402,40,2,3,1,trigger_event(403); stop,4,"{""0x0111"": 3, ""0x0112"": 1}"
7,403,40,3,3,1,set_switch(40); stop,5,"{""0x0041"": 3, ""0x0117"": 2}"
7,411,41,1,3,1,trigger_event(412); stop,4,"{""0x0111"": 2, ""0x0112"": 2}"
7,412,41,2,3,1,trigger_event(413); stop,5,"{""0x0117"": 3, ""0x0111"": 2}"
7,413,41,3,3,1,trigger_event(414); stop,5,"{""0x0117"": 2, ""0x0112"": 1, ""0x0111"": 2}"
7,414,41,4,3,1,set_switch(41); stop,9,"{""0x0117"": 2, ""0x0111"": 3, ""0x0041"": 4}"
7,421,42,1,3,1,trigger_event(422); stop,4,"{""0x0112"": 2, ""0x0111"": 2}"
7,422,42,2,3,1,trigger_event(423); stop,4,"{""0x0117"": 4}"
7,423,42,3,3,1,set_switch(42); stop,4,"{""0x0111"": 4}"
7,501,50,1,3,1,trigger_event(502); stop,3,"{""0x0112"": 3}"
7,502,50,2,3,1,trigger_event(503); stop,5,"{""0x0117"": 3, ""0x0111"": 2}"
7,503,50,3,3,1,set_switch(50); stop,7,"{""0x0111"": 2, ""0x0117"": 5}"
