floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0040,10,0,-16.313568115234375,3.0,-579.5118408203125,1.0,1.0,1.0,1,0,0
0,1,0x0040,10,0,-393.07318115234375,10.0,-12.964752197265625,9.183549615799121e-41,1.0000011920928955,1.0,0,0,0
0,2,0x0040,10,0,-458.60699462890625,10.0,-51.270660400390625,1.0,1.0,1.0,2,65536,10
0,3,0x0040,10,0,-430.19696044921875,10.0,-24.490447998046875,1.0,1.0,1.0,3,0,0
0,4,0x0000,10,0,0.995330810546875,0.0,-37.0010986328125,0.0,1.0,1.0,0,0,0
0,5,0x0000,10,0,3.0009307861328125,0.0,-23.99688720703125,1.000000238418579,1.0,1.0,0,0,0
0,6,0x0000,10,0,2.0015106201171875,0.0,-50.00386047363281,2.000002384185791,1.0,1.0,0,0,0
0,7,0x0000,10,0,4.9973907470703125,0.0,-61.99664306640625,3.0000007152557373,1.0,1.0,65536,10,0
0,8,0x0043,10,0,132.00314331054688,1.000000238418579,-265.002197265625,1.000000238418579,1.0,1.0,1,0,0
0,9,0x0045,10,0,-228.0,0.0,-2020.99951171875,-10.000004768371582,0.0,-30.000030517578125,0,65536,65536
0,10,0x0040,10,0,-41.000030517578125,0.0,42.37322998046875,1.0,1.0,1.0,4,0,0
0,11,0x0040,10,0,-479.21673583984375,8.781256675720215,-322.465576171875,1.0,1.0,1.0,5,0,0
0,12,0x0045,10,0,-228.0,0.0,-351.0015869140625,10.000006675720215,0.0,-1760.0010986328125,32768,0,0
0,13,0x0041,10,0,-561.88232421875,0.0,-406.8829345703125,1.0,1.0,1.0,0,0,0
0,14,0x0041,10,0,-547.8557739257812,0.0,-444.8822326660156,1.0,1.0,1.0,1,0,0
0,15,0x0041,10,0,-486.441650390625,0.0,-497.4501647949219,9.183549615799121e-41,1.0000011920928955,1.0,3,0,0
0,16,0x0041,10,0,-522.4052734375,0.0,-474.1882629394531,1.0,1.0,1.0,2,65536,10
0,17,0x0049,10,0,-34.49853515625,0.0,-384.4951171875,3.0000007152557373,1.0,1.0,1,0,0
0,18,0x0046,10,0,-393.0031433105469,0.0,-143.49981689453125,3.0000007152557373,1.0,1.0,1,0,0
0,19,0x0040,10,0,-355.17462158203125,0.0,-43.15193176269531,1.000000238418579,1.0,1.0,6,0,0
0,20,0x0047,10,0,-43.00239562988281,0.0,-118.00120544433594,3.0000007152557373,1.0,1.0,1,0,0
0,21,0x0048,10,0,26.000823974609375,0.0,-265.99810791015625,3.0000007152557373,1.0,1.0,1,0,0
0,22,0x0000,10,0,57.81005859375,0.0,-268.5472412109375,0.0,1.0,1.0,1,0,0
0,23,0x0000,10,0,66.769287109375,0.0,-252.3748779296875,1.000000238418579,1.0,1.0,1,0,0
0,24,0x0000,10,0,67.36819458007812,0.0,-284.9297180175781,2.000000476837158,1.0,1.0,1,0,0
0,25,0x0000,10,0,77.10488891601562,0.0,-269.2830505371094,3.0000007152557373,1.0,1.0,1,0,0
7,0,0x000A,10,0,153.94000244140625,0.0,-171.48880004882812,1.0,1.0,1.0,256,1,32
7,1,0x000A,10,0,82.0040283203125,0.0,86.75235748291016,1.0,1.0,2.0,256,2,32
7,2,0x000A,10,0,326.76666259765625,0.0,414.7939453125,1.0,1.0,3.0,256,2,32
7,3,0x000A,10,0,-158.5164337158203,0.0,203.60508728027344,1.0,1.0,4.0,256,2,32
7,4,0x000A,10,0,-353.47344970703125,0.0,57.68421173095703,1.0,1.0,5.0,256,3,32
7,5,0x000A,10,0,-143.55250549316406,0.0,-342.7693786621094,1.0,1.0,6.0,256,3,32
7,6,0x0008,10,0,661.97998046875,1.0,-200.25999450683594,27.0,1.0,1.0,231,0,0
7,7,0x0008,10,0,919.1499633789062,1.0,102.00999450683594,27.0,1.0,1.0,241,0,0
7,8,0x0008,10,0,198.739990234375,1.0,662.0,27.0,1.0,1.0,501,0,0
7,9,0x0008,10,0,661.9099731445312,1.0,919.989990234375,27.0,1.0,1.0,251,0,0
7,10,0x0008,10,0,-904.24365234375,1.0,164.6182403564453,57.0,1.0,1.0,271,0,0
7,11,0x0008,10,0,-359.8699951171875,0.0,-662.1799926757812,27.0,1.0,1.0,401,0,0
7,12,0x0008,10,0,-661.4299926757812,0.0,-920.3399658203125,27.0,1.0,1.0,201,0,0
7,13,0x0008,10,0,-921.0999755859375,0.0,-458.69000244140625,27.0,1.0,1.0,421,0,0
7,14,0x0008,10,0,360.72998046875,0.0,-661.22998046875,27.0,1.0,1.0,211,0,0
7,15,0x0008,10,0,661.7899780273438,0.0,-919.3684692382812,27.0,1.0,1.0,221,0,0
7,16,0x0008,10,0,-902.0999755859375,0.0,717.3299560546875,57.0,1.0,1.0,261,0,0
7,17,0x0008,10,0,-458.989990234375,0.0,919.6399536132812,27.0,1.0,1.0,411,0,0
7,18,0x0008,10,0,-199.51998901367188,0.0,459.0299987792969,27.0,1.0,1.0,101,0,0
7,19,0x00D3,10,0,380.0099792480469,-9.499490261077881e-07,-275.9967956542969,1.0,1.0,1.0,0,0,0
7,20,0x00D3,10,0,249.1199951171875,0.0,-103.97993469238281,1.0,1.0,1.0,0,0,0
7,21,0x00D3,10,0,256.8299865722656,0.0,-146.27967834472656,1.0,1.0,1.0,0,0,0
7,22,0x00D3,10,0,411.7699890136719,0.0,-40.94718933105469,1.0,1.0,1.0,0,0,0
7,23,0x00D3,10,0,366.6600036621094,0.0,-16.201904296875,1.0,1.0,1.0,0,0,0
7,24,0x0002,10,0,-171.9199981689453,-9.499490261077881e-07,-121.96846771240234,1.0,1.0,1.0,0,0,1
7,25,0x001B,10,0,301.88165283203125,-9.499490261077881e-07,-135.5854034423828,1.0,1.0,1.0,0,0,2
7,26,0x0000,10,0,329.7074890136719,0.0,-92.18999481201172,0.0,1.0,1.0,0,0,0
7,27,0x0000,10,0,337.1363830566406,0.0,-122.51920318603516,1.0,1.0,1.0,0,0,0
7,28,0x0000,10,0,336.8046569824219,0.0,-151.9499969482422,2.0,1.0,1.0,0,0,0
7,29,0x0000,10,0,326.3139953613281,0.0,-182.5514678955078,3.0,1.0,1.0,0,0,0
7,30,0x014F,10,0,120.83999633789062,-9.499490261077881e-07,-247.88368225097656,1.0,1.0,1.0,0,0,0
7,31,0x014F,10,0,3.5399999618530273,0.0,-132.66000366210938,1.0,1.0,1.0,1,2,0
7,32,0x014F,10,0,-0.6800000071525574,0.0,138.36000061035156,1.0,1.0,1.0,1,2,0
7,33,0x014F,10,0,-1.6899999380111694,0.0,-377.22998046875,1.0,1.0,1.0,3,1,0
7,34,0x014E,10,0,265.7777404785156,0.0,376.94580078125,1.0,1.0,1.0,2,3,0
7,35,0x00D3,10,0,365.5436706542969,-9.499490261077881e-07,253.82174682617188,1.0,1.0,1.0,0,0,0
7,36,0x00D3,10,0,157.38999938964844,-9.499490261077881e-07,273.1491394042969,1.0,1.0,1.0,0,0,0
7,37,0x00D3,10,0,113.05999755859375,-9.499490261077881e-07,262.37939453125,1.0,1.0,1.0,0,0,0
7,38,0x00D3,10,0,-24.029998779296875,0.0,369.41998291015625,1.0,1.0,1.0,0,0,0
7,39,0x00D3,10,0,-378.9100036621094,0.0,277.2200012207031,1.0,1.0,1.0,0,0,0
7,40,0x00D3,10,0,-246.5,-9.499490261077881e-07,162.63589477539062,1.0,1.0,1.0,0,0,0
7,41,0x00D3,10,0,-255.84999084472656,-9.499490261077881e-07,123.51199340820312,1.0,1.0,1.0,0,0,0
7,42,0x00D3,10,0,-253.9399871826172,-9.499490261077881e-07,-98.49789428710938,1.0,1.0,1.0,0,0,0
