floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0040,10,0,-16.313568115234375,3.0,-579.5118408203125,1.0,1.0,1.0,1,0,0
0,1,0x0040,10,0,-393.07318115234375,10.0,-12.964752197265625,9.183549615799121e-41,1.0000011920928955,1.0,0,0,0
0,2,0x0040,10,0,-458.60699462890625,10.0,-51.270660400390625,1.0,1.0,1.0,2,65536,10
0,3,0x0040,10,0,-430.19696044921875,10.0,-24.490447998046875,1.0,1.0,1.0,3,0,0
0,4,0x0000,10,0,0.995330810546875,0.0,-37.0010986328125,0.0,1.0,1.0,0,0,0
0,5,0x0000,10,0,3.0009307861328125,0.0,-23.99688720703125,1.000000238418579,1.0,1.0,0,0,0
0,6,0x0000,10,0,2.0015106201171875,0.0,-50.00386047363281,2.000002384185791,1.0,1.0,0,0,0
0,7,0x0000,10,0,4.9973907470703125,0.0,-61.99664306640625,3.0000007152557373,1.0,1.0,0,10,0
0,8,0x0043,10,0,132.00314331054688,1.000000238418579,-265.002197265625,1.000000238418579,1.0,1.0,1,0,0
0,9,0x0045,10,0,-228.0,0.0,-2021.0,-10.0,0.0,-30.0,0,65536,1
0,10,0x0040,10,0,-479.21673583984375,8.781256675720215,-322.465576171875,1.0,1.0,1.0,5,0,0
0,11,0x0045,10,0,-228.0,0.0,-351.0015869140625,10.000006675720215,0.0,-1760.0010986328125,32768,0,0
0,12,0x0041,10,0,-561.88232421875,0.0,-406.8829345703125,1.0,1.0,1.0,0,0,0
0,13,0x0041,10,0,-547.8557739257812,0.0,-444.8822326660156,1.0,1.0,1.0,1,0,0
0,14,0x0041,10,0,-486.441650390625,0.0,-497.4501647949219,9.183549615799121e-41,1.0000011920928955,1.0,3,0,0
0,15,0x0041,10,0,-522.4052734375,0.0,-474.1882629394531,1.0,1.0,1.0,2,65536,10
0,16,0x0049,10,0,-34.49853515625,0.0,-384.4951171875,3.0000007152557373,1.0,1.0,1,0,0
0,17,0x0046,10,0,-393.0031433105469,0.0,-143.49981689453125,3.0000007152557373,1.0,1.0,1,0,0
0,18,0x0040,10,0,-355.17462158203125,0.0,-43.15193176269531,1.000000238418579,1.0,1.0,6,0,0
0,19,0x0047,10,0,-43.00239562988281,0.0,-118.00120544433594,3.0000007152557373,1.0,1.0,1,0,0
0,20,0x0048,10,0,26.000823974609375,0.0,-265.99810791015625,3.0000007152557373,1.0,1.0,1,0,0
0,21,0x0000,10,0,57.81005859375,0.0,-268.5472412109375,0.0,1.0,1.0,1,0,0
0,22,0x0000,10,0,66.769287109375,0.0,-252.3748779296875,1.000000238418579,1.0,1.0,1,0,0
0,23,0x0000,10,0,67.36819458007812,0.0,-284.9297180175781,2.000000476837158,1.0,1.0,1,0,0
0,24,0x0000,10,0,77.10488891601562,0.0,-269.2830505371094,3.0000007152557373,1.0,1.0,1,0,0
0,25,0x0057,10,0,0.0,0.09999999403953552,0.0,150.0,1.0,1.0,0,0,0
0,26,0x0040,10,0,-270.1199951171875,0.0,-2286.89990234375,1.0,1.0,1.0,7,0,0
7,0,0x0088,1,0,13.4814453125,0.0,-1.4443358182907104,1.0,1.0,1.0,3,3,0
7,1,0x0088,1,0,-25.0382080078125,0.0,18.63134765625,1.0,1.0,1.0,3,3,0
7,2,0x0092,1,0,0.0,0.0,20.0,0.0,1.0,1.0,50331648,0,0
7,3,0x000A,1,0,0.0,-0.10000000894069672,20.0,-35.00001525878906,-60.00002670288086,0.0,250,0,450
7,4,0x0008,2,0,-1.11773681640625,0.4639994502067566,-39.53450012207031,21.000011444091797,1.0,1.0,401,0,0
7,5,0x0008,2,0,53.26708984375,0.0,-189.27996826171875,31.000015258789062,1.0,1.0,701,0,0
7,6,0x0008,2,0,239.77285766601562,0.0,-547.580322265625,31.000015258789062,1.0,1.0,702,0,0
7,7,0x0008,2,0,395.97491455078125,0.0,-670.357177734375,31.000015258789062,1.0,1.0,501,0,0
7,8,0x0008,2,0,34.76678466796875,0.0,-878.804931640625,71.00003051757812,1.0,1.0,601,0,0
7,9,0x0008,2,0,-143.78033447265625,0.0,-1066.072265625,91.00004577636719,1.0,1.0,602,0,0
7,10,0x0008,2,0,-0.256103515625,0.0,-1329.008544921875,31.000015258789062,1.0,1.0,603,0,0
7,11,0x0008,2,0,-466.203857421875,0.0,-1152.3974609375,31.000015258789062,1.0,1.0,301,0,0
7,12,0x0008,2,0,-957.4232177734375,0.0,-1151.938232421875,31.000015258789062,1.0,1.0,211,0,0
7,13,0x0008,2,0,-1204.0653076171875,0.0,-1024.3828125,31.000015258789062,1.0,1.0,521,0,0
7,14,0x0008,2,0,-1200.1668701171875,0.0,-759.2785034179688,101.00005340576172,1.0,1.0,522,0,0
7,15,0x0008,2,0,-1660.3289794921875,0.0,-668.5435791015625,21.000017166137695,1.0,1.0,531,0,0
7,16,0x0008,2,0,-2041.0137939453125,0.0,-766.830810546875,21.000017166137695,1.0,1.0,611,0,0
7,17,0x0008,2,0,-2137.1279296875,0.0,-994.2076416015625,81.00004577636719,1.0,1.0,612,0,0
7,18,0x0008,2,0,-2283.9150390625,0.0,-1267.31201171875,31.000022888183594,1.0,1.0,411,0,0
7,19,0x0000,2,0,-10.00048828125,0.0,-5.00006103515625,0.0,1.0,1.0,0,0,0
7,20,0x0000,2,0,9.99951171875,0.0,-5.0000457763671875,1.000000238418579,1.0,1.0,0,0,0
7,21,0x0000,2,0,-30.00006103515625,0.0,9.999908447265625,2.000000476837158,1.0,1.0,0,0,0
7,22,0x0000,2,0,29.99993896484375,0.0,9.999984741210938,3.0000007152557373,1.0,1.0,0,0,0
7,23,0x0002,2,0,0.0,0.0,40.0,1.0,1.0,1.0,0,0,0
7,24,0x0156,3,0,0.0,0.0,15.0,1.000000238418579,1.0,1.0,0,0,0
7,25,0x0092,3,0,-25.0,0.0,-10.0,0.0,1.0,0.0,0,0,0
7,26,0x0092,3,0,25.0,0.0,-10.0,0.0,1.0,0.0,16777216,0,0
7,27,0x0092,4,0,20.0,0.0,0.0,0.0,1.0,0.0,0,0,0
7,28,0x0092,4,0,-10.0,0.0,30.000015258789062,0.0,1.0,0.0,50331648,0,0
7,29,0x0088,4,0,-25.431060791015625,0.0,6.318789005279541,1.0,1.0,1.0,3,3,0
7,30,0x0088,4,0,-21.256500244140625,0.0,-17.263992309570312,1.0,1.0,1.0,3,3,0
7,31,0x0088,4,0,20.0,0.0,20.00000762939453,1.0,1.0,1.0,3,3,0
7,32,0x0088,4,0,0.0,0.0,5.000003814697266,1.0,1.0,1.0,3,3,0
7,33,0x0088,5,0,13.48150634765625,0.0,-1.444580078125,1.0,1.0,1.0,3,3,0
7,34,0x0088,5,0,-25.0382080078125,0.0,18.631103515625,1.0,1.0,1.0,3,3,0
7,35,0x0088,6,0,20.0,0.0,0.0,1.0,1.0,1.0,3,3,0
7,36,0x0088,6,0,-10.0,0.0,30.0,1.0,1.0,1.0,3,3,0
7,37,0x0088,6,0,-25.43115234375,0.0,6.31884765625,1.0,1.0,1.0,3,3,0
7,38,0x0088,6,0,-21.256591796875,0.0,-17.2640380859375,1.0,1.0,1.0,3,3,0
7,39,0x0088,6,0,20.0,0.0,20.0,1.0,1.0,1.0,3,3,0
7,40,0x0013,6,0,-3.0,0.0,14.0,1.0,1.0,1.0,0,0,0
7,41,0x0088,7,0,-10.0,0.0,30.0,1.0,1.0,1.0,3,3,0
7,42,0x0088,7,0,-21.2564697265625,0.0,-17.2640380859375,1.0,1.0,1.0,3,3,0
7,43,0x0088,7,0,20.0,0.0,20.0,1.0,1.0,1.0,3,3,0
