label,line,instructions
start,27,44
label002D,73,2
label0001,77,1
label000A,80,1
label0014,83,7
label001E,92,1
label0064,95,3
label0024,100,50
label0065,152,9
label0066,163,9
label0067,174,2
label0096,178,2
label001F,182,10
label00C8,194,2
label012C,198,1
label0190,201,2
label000F,205,1
label0004,208,5
label0043,215,2
label0037,219,11
label003C,232,11
label0020,245,4
label0007,251,9
label0016,262,1
label0029,265,13
label0578,280,6
label0579,288,7
label057A,297,9
label057B,308,31
label057C,341,9
label05DC,352,4
label003D,358,6
label05DD,366,34
label05DE,402,9
label05DF,413,9
label05E0,424,11
label05E1,437,11
label0640,450,6
label0641,459,11
label0642,472,9
label0643,483,13
label06A4,498,2
label06A5,503,5
label06A6,510,26
label06A7,538,2
label003A,542,41
label06A8,585,1
label003B,588,12
label06A9,602,7
label06AE,611,3
label06AF,616,12
label06B0,630,17
label0583,649,23
label0584,674,9
label05E6,685,3
label05E7,690,26
label05E8,718,9
label064A,729,3
label064B,734,11
label064C,747,9
label0033,758,21
label000E,781,21
label0038,804,21
label0022,827,21
label003F,850,21
label0019,873,21
label0041,896,21
label002B,919,21
label002F,942,21
label0008,965,21
label0034,988,21
label001D,1011,21
label000B,1034,8
label0006,1044,13
label0003,1059,8
label000C,1069,11
label0708,1082,9
label0645,1093,7
label0010,1102,6
label000D,1110,11
label001B,1123,3
label0011,1128,3
label0017,1133,4
label002A,1139,5
label0023,1146,3
label0030,1151,3
label0027,1156,8
label0044,1166,8
label0009,1176,7
label002C,1185,7
label0021,1194,3
label0025,1199,10
label001C,1211,6
label0040,1219,13
label0039,1234,6
label0005,1242,13
label0026,1257,6
label0035,1265,7
label0036,1274,7
label0047,1283,4
label0012,1289,3
label0013,1294,3
label0015,1299,3
label0018,1304,3
label0002,1309,3
label0042,1314,4
label0045,1320,4
label0046,1326,4
label0048,1332,4
label0028,1338,5
label0031,1345,2
label003E,1349,2
label002E,1353,2
label0032,1357,1
label001A,1360,2
