floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
10,201,20,1,30,1,trigger_event(2011); stop,3,"{""0x00DD"": 3}"
10,2011,20,2,60,1,set_switch(3); set_switch(4); set_switch(5); set_switch(8); stop,3,"{""0x00DD"": 3}"
10,212,21,1,30,1,trigger_event(21201); stop,4,"{""0x00DD"": 4}"
10,21201,21,2,1,1,trigger_event(21202); stop,4,"{""0x00DD"": 4}"
10,21202,21,3,60,1,set_switch(40); set_switch(41); set_switch(42); stop,4,"{""0x00DD"": 3, ""0x00E0"": 1}"
10,301,30,1,1,1,set_switch(11); set_switch(12); stop,3,"{""0x00DF"": 3}"
10,601,60,1,60,1,set_switch(6); set_switch(7); set_switch(9); set_switch(10); stop,3,"{""0x00DD"": 2, ""0x00E0"": 1}"
10,603,60,2,150,1,stop,3,"{""0x00DD"": 3}"
10,621,62,1,1,1,set_switch(32); stop,3,"{""0x00DF"": 3}"
10,622,62,2,1,1,trigger_event(6221); stop,2,"{""0x00DF"": 2}"
10,6221,62,3,1,1,stop,0,{}
10,623,62,4,1,1,trigger_event(6231); stop,0,{}
10,6231,62,5,1,1,stop,0,{}
10,624,62,6,1,1,stop,0,{}
10,631,63,1,1,1,set_switch(45); set_switch(46); stop,5,"{""0x00DF"": 5}"
10,644,64,1,1,1,stop,3,"{""0x00DF"": 3}"
10,645,64,2,150,1,stop,1,"{""0x00E0"": 1}"
10,701,70,1,150,1,trigger_event(7011); stop,3,"{""0x00DB"": 3}"
10,7011,70,2,1,1,set_switch(23); set_switch(24); set_switch(25); set_switch(26); stop,4,"{""0x00E0"": 2, ""0x00DB"": 2}"
10,703,70,3,200,1,stop,1,"{""0x00DC"": 1}"
10,712,71,1,1,1,trigger_event(7121); stop,2,"{""0x00DB"": 2}"
10,7121,71,2,100,1,trigger_event(7122); stop,4,"{""0x00DD"": 4}"
10,7122,71,3,1,1,trigger_event(7123); stop,3,"{""0x00E0"": 1, ""0x00DD"": 2}"
10,7123,71,4,1,1,trigger_event(7124); stop,4,"{""0x00DD"": 3, ""0x00DB"": 1}"
10,7124,71,5,200,1,set_switch(34); set_switch(35); set_switch(36); set_switch(37); set_switch(47); set_switch(48); stop,3,"{""0x00E0"": 2, ""0x00DB"": 1}"
10,711,71,6,1,1,stop,4,"{""0x00DF"": 4}"
10,801,80,1,1,1,trigger_event(8011); stop,2,"{""0x00E0"": 2}"
10,8011,80,2,100,1,set_switch(15); set_switch(16); stop,1,"{""0x00DC"": 1}"
10,804,80,3,200,1,stop,1,"{""0x00E0"": 1}"
10,811,81,1,1,1,set_switch(38); set_switch(39); stop,1,"{""0x00DC"": 1}"
10,902,90,1,30,1,trigger_event(9021); stop,4,"{""0x00DD"": 4}"
10,9021,90,2,100,1,set_switch(13); set_switch(14); set_switch(17); set_switch(18); set_switch(19); set_switch(20); set_switch(21); set_switch(22); set_switch(27); set_switch(28); set_switch(29); stop,4,"{""0x00E0"": 2, ""0x00DD"": 2}"
10,901,90,3,1,1,stop,3,"{""0x00DF"": 3}"
10,2123,212,1,200,1,stop,1,"{""0x00E0"": 1}"
10,2131,213,1,30,1,trigger_event(21311); stop,3,"{""0x00DD"": 3}"
10,21311,213,2,1,1,set_switch(33); stop,2,"{""0x00E0"": 2}"
10,2211,221,1,200,1,stop,3,"{""0x00DD"": 3}"
10,2812,281,1,10,1,stop,3,"{""0x00DD"": 3}"
11,611,61,1,1,1,set_switch(3); set_switch(4); set_switch(5); stop,3,"{""0x00DF"": 3}"
11,801,80,1,120,1,trigger_event(8011); stop,4,"{""0x00DD"": 4}"
11,8011,80,2,30,1,trigger_event(8012); stop,3,"{""0x00E0"": 1, ""0x00DD"": 2}"
11,8012,80,3,30,1,trigger_event(8013); stop,2,"{""0x00E0"": 2}"
11,8013,80,4,60,1,trigger_event(8014); stop,2,"{""0x00E0"": 2}"
11,8014,80,5,60,1,trigger_event(8015); stop,2,"{""0x00E0"": 2}"
11,8015,80,6,180,1,stop,3,"{""0x00E0"": 3}"
