label,line,opcode,args
label003F,26,read_switch_flag_on_floor,r1-r3
label003F,30,set_switch_flag_sync,"... r1, r2"
label003C,36,read_switch_flag_on_floor,r1-r3
label003C,40,clear_switch_flag_sync,"... r1, r2"
label000B,245,set,r254
label0042,249,set,r255
label0018,264,read_switch_flag_on_floor,r60-r62
start,393,set_qt_exit,label0035
start,394,set_qt_cancel,label001E
start,395,set_qt_success,label0074
start,396,set_qt_failure,label005D
start,403,set_floor_handler,"... 0x0 /* 0 */, label0063"
start,406,set_floor_handler,"... 0x1 /* 1 */, label0076"
label046A,465,arg_pushr,r254
label046A,468,switch_jmp,"r0, [label0075, label0075, label003D, label003D, label007E, label0015]"
label046B,518,arg_pushr,r254
label046B,521,switch_jmp,"r0, [label0046, label0049, label0073, label0073, label008A, label008C]"
label044C,731,switch_jmp,"r0, [label003E, label003E, label0020, label0023]"
label006C,785,read_switch_flag_on_floor,r60-r62
label006C,794,switch_call,"r104, [label0024, label0087]"
label0070,806,read_switch_flag_on_floor,r60-r62
label0070,815,switch_call,"r105, [label0033, label0028]"
label0006,827,read_switch_flag_on_floor,r60-r62
label044F,866,switch_jmp,"r0, [label007F, label0085, label0079, label007C, label0030, label0030]"
label0450,962,switch_jmp,"r0, [label0011, label0014, label0057, label0059]"
label0451,1028,switch_jmp,"r0, [label005A, label005C]"
label0452,1069,switch_jmp,"r0, [label002E, label004F]"
label0457,1097,switch_jmp,"r0, [label0007, label0031]"
label0458,1125,switch_jmp,"r0, [label000C, label0036]"
label008E,1170,switch_jmp,"r192, [label008F, label0086]"
label0086,1184,switch_jmp,"r243, [label0090, label0061]"
