floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
1,101,10,1,10,1,trigger_event(102); stop,3,"{""0x0115"": 3}"
1,102,10,2,10,1,trigger_event(103); stop,4,"{""0x0115"": 4}"
1,103,10,3,10,1,set_switch(10); stop,4,"{""0x0115"": 4}"
1,111,11,1,10,1,trigger_event(112); stop,4,"{""0x0041"": 4}"
1,112,11,2,10,1,trigger_event(113); stop,4,"{""0x0115"": 1, ""0x0111"": 3}"
1,113,11,3,10,1,set_switch(11); stop,4,"{""0x0111"": 3, ""0x0110"": 1}"
1,801,80,1,10,1,"construct_objects(room=80,group_or_wave=1); stop",6,"{""0x0115"": 6}"
1,802,80,2,120,1,trigger_event(803); stop,6,"{""0x0111"": 4, ""0x0115"": 2}"
1,803,80,3,10,1,set_switch(80); stop,2,"{""0x0110"": 2}"
1,201,20,1,10,1,trigger_event(202); stop,3,"{""0x0115"": 3}"
1,202,20,2,10,1,trigger_event(203); stop,4,"{""0x0115"": 4}"
1,203,20,3,60,1,trigger_event(204); stop,3,"{""0x0041"": 1, ""0x0115"": 2}"
1,204,20,4,10,1,trigger_event(205); stop,4,"{""0x0115"": 2, ""0x0111"": 2}"
1,205,20,5,10,1,trigger_event(206); stop,5,"{""0x0115"": 5}"
1,206,20,6,90,1,set_switch(20); stop,9,"{""0x0111"": 9}"
1,211,21,1,10,1,trigger_event(212); stop,5,"{""0x0111"": 5}"
1,212,21,2,10,1,trigger_event(213); stop,6,"{""0x0041"": 4, ""0x0115"": 2}"
1,213,21,3,10,1,trigger_event(214); stop,10,"{""0x0115"": 7, ""0x0041"": 3}"
1,214,21,4,10,1,set_switch(21); stop,9,"{""0x0110"": 2, ""0x0115"": 5, ""0x0111"": 2}"
1,301,10,1,10,1,trigger_event(302); stop,3,"{""0x0115"": 3}"
1,302,30,2,10,1,"construct_objects(room=30,group_or_wave=2); stop",6,"{""0x0115"": 6}"
1,303,30,3,10,1,trigger_event(304); stop,6,"{""0x0111"": 4, ""0x0115"": 2}"
1,304,30,4,10,1,trigger_event(305); stop,4,"{""0x0041"": 4}"
1,305,30,5,10,1,trigger_event(306); stop,6,"{""0x0115"": 6}"
1,306,30,6,10,1,set_switch(30); stop,7,"{""0x0115"": 6, ""0x0110"": 1}"
1,401,40,1,30,1,trigger_event(402); stop,4,"{""0x0115"": 3, ""0x0111"": 1}"
1,402,40,2,10,1,trigger_event(403); stop,5,"{""0x0115"": 5}"
1,403,40,3,10,1,"set_switch(41); construct_objects(room=40,group_or_wave=3); stop",6,"{""0x0115"": 6}"
1,404,40,4,10,1,trigger_event(405); stop,5,"{""0x0115"": 5}"
1,405,40,5,10,1,trigger_event(406); stop,5,"{""0x0111"": 2, ""0x0115"": 3}"
1,406,40,6,10,1,set_switch(40); stop,4,"{""0x0115"": 3, ""0x0110"": 1}"
1,501,50,1,10,1,trigger_event(502); stop,1,"{""0x0115"": 1}"
1,502,50,2,10,1,trigger_event(503); stop,2,"{""0x0115"": 2}"
1,503,50,3,10,1,trigger_event(504); stop,3,"{""0x0115"": 3}"
1,504,50,4,60,1,trigger_event(505); stop,4,"{""0x0111"": 4}"
1,505,50,5,10,1,trigger_event(506); stop,5,"{""0x0115"": 3, ""0x0111"": 2}"
1,506,50,6,60,1,"set_switch(51); construct_objects(room=50,group_or_wave=6); stop",6,"{""0x0115"": 3, ""0x0111"": 2, ""0x0110"": 1}"
1,507,50,7,10,1,trigger_event(508); stop,4,"{""0x0115"": 4}"
1,508,50,8,10,1,"construct_objects(room=50,group_or_wave=8); stop",3,"{""0x0115"": 2, ""0x0111"": 1}"
1,509,50,9,90,1,trigger_event(510); stop,5,"{""0x0115"": 5}"
1,510,50,10,10,1,set_switch(50); stop,5,"{""0x0110"": 1, ""0x0115"": 4}"
1,601,60,1,10,1,"construct_objects(room=60,group_or_wave=1); stop",6,"{""0x0115"": 6}"
1,602,60,2,10,1,"construct_objects(room=60,group_or_wave=2); stop",6,"{""0x0111"": 6}"
1,603,60,3,10,1,trigger_event(604); stop,10,"{""0x0041"": 10}"
1,604,60,4,90,1,trigger_event(605); stop,5,"{""0x0115"": 2, ""0x0110"": 1, ""0x0111"": 2}"
1,605,60,5,180,1,set_switch(60); stop,9,"{""0x0115"": 8, ""0x0116"": 1}"
