floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
8,201,20,1,10,1,trigger_event(2011); stop,4,"{""0x0117"": 4}"
8,2011,20,2,10,1,trigger_event(2012); stop,6,"{""0x0117"": 6}"
8,2012,20,3,10,1,set_switch(20); stop,6,"{""0x0112"": 1, ""0x0111"": 5}"
8,211,21,1,90,1,trigger_event(2111); stop,7,"{""0x0111"": 6, ""0x0112"": 1}"
8,2111,21,2,10,1,trigger_event(2112); stop,8,"{""0x0117"": 8}"
8,2112,21,3,10,1,trigger_event(2113); stop,6,"{""0x0112"": 2, ""0x0041"": 4}"
8,2113,21,4,60,1,set_switch(21); stop,10,"{""0x0117"": 9, ""0x0114"": 1}"
8,401,40,1,10,1,trigger_event(4011); stop,5,"{""0x0117"": 1, ""0x0041"": 4}"
8,4011,40,2,10,1,set_switch(40); stop,8,"{""0x0117"": 8}"
8,411,41,1,10,1,trigger_event(4111); stop,0,{}
8,4111,41,2,10,1,set_switch(41); stop,0,{}
8,501,50,1,120,1,trigger_event(5011); stop,7,"{""0x0111"": 6, ""0x0112"": 1}"
8,5011,50,2,10,1,trigger_event(5012); stop,7,"{""0x0112"": 1, ""0x0117"": 6}"
8,5012,50,3,60,1,trigger_event(5013); stop,8,"{""0x0111"": 8}"
8,5013,50,4,10,1,set_switch(50); stop,5,"{""0x0112"": 4, ""0x0114"": 1}"
8,511,51,1,120,1,trigger_event(5111); stop,4,"{""0x0041"": 1, ""0x0112"": 1, ""0x0111"": 2}"
8,5111,51,2,10,1,set_switch(51); stop,7,"{""0x0112"": 3, ""0x0117"": 4}"
8,601,60,1,150,1,trigger_event(6011); stop,10,"{""0x0041"": 10}"
8,6011,60,2,10,1,set_switch(60); stop,4,"{""0x0117"": 4}"
8,611,61,1,30,1,trigger_event(6111); stop,3,"{""0x0111"": 3}"
8,6111,61,2,10,1,trigger_event(6112); stop,2,"{""0x0112"": 2}"
8,6112,61,3,10,1,set_switch(61); stop,1,"{""0x0117"": 1}"
8,701,70,1,10,1,trigger_event(7011); stop,3,"{""0x0041"": 3}"
8,7011,70,2,10,1,trigger_event(7012); stop,9,"{""0x0111"": 5, ""0x0117"": 4}"
8,7012,70,3,10,1,set_switch(70); stop,6,"{""0x0117"": 6}"
8,801,80,1,10,1,"construct_objects(room=10,group_or_wave=1); stop",5,"{""0x0117"": 4, ""0x0112"": 1}"
8,802,80,2,10,1,trigger_event(8021); stop,8,"{""0x0112"": 3, ""0x0117"": 5}"
8,8021,80,3,60,1,set_switch(80); stop,1,"{""0x0117"": 1}"
8,1001,100,1,10,1,trigger_event(10011); stop,4,"{""0x0112"": 1, ""0x0117"": 3}"
8,10011,100,2,10,1,trigger_event(10012); stop,5,"{""0x0111"": 5}"
8,10012,100,3,10,1,set_switch(100); stop,7,"{""0x0117"": 6, ""0x0112"": 1}"
8,1002,100,4,240,1,stop,4,"{""0x0111"": 4}"
8,1101,110,1,10,1,trigger_event(11011); stop,1,"{""0x0117"": 1}"
8,11011,110,2,10,1,trigger_event(11012); stop,3,"{""0x0117"": 3}"
8,11012,110,3,10,1,trigger_event(11013); stop,1,"{""0x0114"": 1}"
8,11013,110,4,60,1,trigger_event(11014); stop,4,"{""0x0041"": 4}"
8,11014,110,5,90,1,trigger_event(11015); stop,3,"{""0x0117"": 3}"
8,11015,110,6,120,1,set_switch(110); stop,4,"{""0x0112"": 4}"
8,1102,110,7,10,1,trigger_event(11021); stop,1,"{""0x0117"": 1}"
8,11021,110,8,10,1,trigger_event(11022); stop,3,"{""0x0111"": 3}"
8,11022,110,9,10,1,trigger_event(11023); stop,3,"{""0x0111"": 3}"
8,11023,110,10,10,1,trigger_event(11024); stop,2,"{""0x0112"": 2}"
8,11024,110,11,10,1,trigger_event(11025); stop,1,"{""0x0114"": 1}"
8,11025,110,12,10,1,set_switch(111); stop,1,"{""0x0113"": 1}"
8,1103,110,13,10,1,trigger_event(11031); stop,1,"{""0x0117"": 1}"
8,11031,110,14,10,1,trigger_event(11032); stop,3,"{""0x0041"": 2, ""0x0112"": 1}"
8,11032,110,15,10,1,trigger_event(11033); stop,3,"{""0x0117"": 3}"
8,11033,110,16,10,1,trigger_event(11034); stop,1,"{""0x0114"": 1}"
8,11034,110,17,10,1,trigger_event(11035); stop,3,"{""0x0117"": 3}"
8,11035,110,18,10,1,set_switch(112); stop,2,"{""0x0117"": 2}"
8,1811,181,1,60,1,trigger_event(18111); stop,4,"{""0x0117"": 4}"
8,18111,181,2,10,1,set_switch(181); stop,2,"{""0x0117"": 2}"
