label,line,opcode,args
label004A,27,read_switch_flag_on_floor,r1-r3
label004A,31,set_switch_flag_sync,"... r1, r2"
label0049,37,read_switch_flag_on_floor,r1-r3
label0049,41,clear_switch_flag_sync,"... r1, r2"
label000A,265,set,r254
label0051,269,set,r255
label0016,284,read_switch_flag_on_floor,r60-r62
label008A,389,jmpi_ne,"r254, 0x00000000, label008B"
label008A,392,read_switch_flag_on_floor,r60-r62
label0024,403,gettime,r12
label005E,416,jmpi_ne,"r254, 0x00000000, label008B"
label005E,419,read_switch_flag_on_floor,r60-r62
label005E,422,gettime,r12
start,591,set_qt_exit,label003D
start,592,set_qt_cancel,label001E
start,593,set_qt_success,label0092
start,594,set_qt_failure,label0077
start,601,set_floor_handler,"... 0x0 /* 0 */, label007E"
start,604,set_floor_handler,"... 0x8 /* 8 */, label007F"
label046A,684,arg_pushr,r254
label046A,687,switch_jmp,"r0, [label007B, label0080, label0098, label0013]"
label0098,733,clear_quest_board_handler,... 0x0 /* 0 */
label046B,749,arg_pushr,r254
label046B,752,switch_jmp,"r0, [label0059, label005D, label00A3, label00A5]"
label044D,951,switch_jmp,"r124, [label003E, label004D]"
label044E,999,switch_jmp,"r0, [label002B, label002E, label004E, label0053]"
label044F,1096,switch_jmp,"r0, [label0099, label009E]"
label0450,1125,switch_jmp,"r0, [label0002, label000C]"
label0451,1149,switch_jmp,"r136, [label0071, label0075]"
label0453,1195,switch_jmp,"r134, [label004F, label0054]"
label0454,1237,switch_jmp,"r135, [label0065, label006E]"
label0018,1270,read_switch_flag_on_floor,r60-r62
label0019,1304,read_switch_flag_on_floor,r60-r62
label001F,1326,read_switch_flag_on_floor,r60-r62
label0023,1341,read_switch_flag_on_floor,r60-r62
label0027,1392,read_switch_flag_on_floor,r60-r62
label0034,1408,read_switch_flag_on_floor,r60-r62
label0012,1419,read_switch_flag_on_floor,r60-r62
label0012,1423,read_switch_flag_on_floor,r60-r62
label0012,1427,read_switch_flag_on_floor,r60-r62
label008E,1438,jmpi_ne,"r254, 0x00000000, label000D"
label07D0,1468,jmpi_ne,"r254, 0x00000000, label0069"
label0076,1497,jmpi_ne,"r254, 0x00000000, label005F"
label07DA,1519,set_quest_board_handler,"... 0x0 /* 0 */, label0834, ""隕石の破片"""
label00A7,2114,switch_jmp,"r243, [label00A8, label009F]"
