floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
2,111,11,1,20,1,trigger_event(112); stop,2,"{""0x0040"": 2}"
2,112,11,2,20,1,trigger_event(113); stop,9,"{""0x0044"": 9}"
2,113,11,3,20,1,trigger_event(114); stop,6,"{""0x0040"": 2, ""0x0044"": 4}"
2,114,11,4,20,1,trigger_event(115); stop,6,"{""0x0044"": 6}"
2,115,11,5,20,1,trigger_event(116); stop,8,"{""0x0043"": 8}"
2,116,11,6,20,1,set_switch(2); stop,3,"{""0x0040"": 3}"
2,121,12,1,20,1,trigger_event(122); stop,8,"{""0x0041"": 8}"
2,122,12,2,20,1,trigger_event(123); stop,6,"{""0x0044"": 6}"
2,123,12,3,20,1,trigger_event(124); stop,6,"{""0x0044"": 6}"
2,124,12,4,20,1,trigger_event(125); stop,8,"{""0x0044"": 6, ""0x0040"": 2}"
2,125,12,5,20,1,trigger_event(126); stop,6,"{""0x0043"": 6}"
2,126,12,6,20,1,trigger_event(127); stop,3,"{""0x0040"": 3}"
2,127,12,7,20,1,trigger_event(128); stop,5,"{""0x0040"": 1, ""0x0044"": 4}"
2,128,12,8,20,1,trigger_event(129); stop,6,"{""0x0043"": 6}"
2,129,12,9,20,1,trigger_event(1210); stop,2,"{""0x0042"": 2}"
2,1210,12,10,20,1,set_switch(4); stop,4,"{""0x0040"": 4}"
2,131,13,1,0,1,trigger_event(132); stop,8,"{""0x0041"": 4, ""0x0044"": 4}"
2,132,13,2,20,1,trigger_event(133); stop,8,"{""0x0044"": 8}"
2,133,13,3,20,1,trigger_event(134); stop,8,"{""0x0044"": 8}"
2,134,13,4,20,1,trigger_event(135); stop,6,"{""0x0043"": 6}"
2,135,13,5,20,1,set_switch(1); stop,7,"{""0x0042"": 1, ""0x0044"": 6}"
4,151,15,1,20,1,trigger_event(152); stop,6,"{""0x0063"": 6}"
4,152,15,2,20,1,trigger_event(153); stop,5,"{""0x0061"": 4, ""0x0064"": 1}"
4,153,15,3,20,1,trigger_event(154); stop,6,"{""0x0063"": 6}"
4,154,15,4,20,1,trigger_event(155); stop,2,"{""0x0060"": 2}"
4,155,15,5,20,1,trigger_event(156); stop,2,"{""0x0062"": 2}"
4,156,15,6,20,1,trigger_event(157); stop,7,"{""0x0063"": 7}"
4,157,15,7,20,1,set_switch(1); stop,4,"{""0x0062"": 1, ""0x0061"": 3}"
4,201,20,1,20,1,trigger_event(202); stop,4,"{""0x0060"": 4}"
4,202,20,2,20,1,trigger_event(203); stop,8,"{""0x0063"": 8}"
4,203,20,3,20,1,trigger_event(204); stop,8,"{""0x0061"": 8}"
4,204,20,4,20,1,trigger_event(205); stop,5,"{""0x0062"": 4, ""0x0061"": 1}"
4,205,20,5,20,1,set_switch(2); stop,9,"{""0x0063"": 9}"
4,101,10,1,20,1,trigger_event(102); stop,5,"{""0x0062"": 1, ""0x0061"": 4}"
4,102,10,2,20,1,trigger_event(103); stop,5,"{""0x0062"": 2, ""0x0063"": 3}"
4,103,10,3,20,1,trigger_event(104); stop,5,"{""0x0062"": 3, ""0x0060"": 2}"
4,104,10,4,20,1,set_switch(3); stop,5,"{""0x0062"": 4, ""0x0064"": 1}"
4,211,21,1,20,1,trigger_event(212); stop,6,"{""0x0063"": 6}"
4,212,21,2,20,1,trigger_event(213); stop,8,"{""0x0060"": 2, ""0x0063"": 6}"
4,213,21,3,20,1,trigger_event(214); stop,5,"{""0x0061"": 5}"
4,214,21,4,20,1,set_switch(4); stop,8,"{""0x0062"": 2, ""0x0063"": 6}"
4,451,45,1,20,1,trigger_event(452); stop,3,"{""0x0063"": 3}"
4,452,45,2,20,1,trigger_event(453); stop,4,"{""0x0063"": 4}"
4,453,45,3,20,1,trigger_event(454); stop,6,"{""0x0063"": 5, ""0x0061"": 1}"
4,454,45,4,20,1,trigger_event(455); stop,7,"{""0x0060"": 3, ""0x0061"": 2, ""0x0063"": 2}"
4,455,45,5,20,1,trigger_event(456); stop,2,"{""0x0062"": 2}"
4,456,45,6,20,1,trigger_event(457); stop,9,"{""0x0063"": 9}"
4,457,45,7,20,1,trigger_event(458); stop,9,"{""0x0061"": 9}"
4,458,45,8,20,1,trigger_event(459); stop,7,"{""0x0062"": 1, ""0x0063"": 6}"
4,459,45,9,20,1,"set_switch(7); construct_objects(room=45,group_or_wave=1); stop",6,"{""0x0060"": 3, ""0x0061"": 2, ""0x0062"": 1}"
6,411,41,1,20,1,trigger_event(412); stop,1,"{""0x0081"": 1}"
6,412,41,2,20,1,trigger_event(413); stop,4,"{""0x0080"": 4}"
6,413,41,3,20,1,trigger_event(414); stop,4,"{""0x0083"": 4}"
