label,line,opcode,args
start,20,set_qt_success,label0190
start,23,set_floor_handler,"... 0x0 /* 0 */, label0032"
start,26,set_floor_handler,"... 0x5 /* 5 */, label004B"
label0032,92,jmpi_eq,"r255, 0x00000001, label0001"
label0032,93,jmpi_eq,"r254, 0x00000001, label012C"
label0032,95,switch_call,"r250, [label0033, label0034, label0035, label0036]"
label0050,190,sync_register2,"... r50, 0x1 /* 1 */"
label0065,212,switch_call,"r250, [label0066, label0067, label0068, label0069]"
label0066,219,sync_register2,"... r164, 0x1 /* 1 */"
label0067,225,sync_register2,"... r165, 0x1 /* 1 */"
label0068,231,sync_register2,"... r166, 0x1 /* 1 */"
label0069,237,sync_register2,"... r167, 0x1 /* 1 */"
label006E,266,gettime,r98
label006E,273,set_switch_flag_sync,"... 0x5 /* 5 */, 0x0 /* 0 */"
label0096,283,sync_register2,"... r254, 0x1 /* 1 */"
label009B,288,jmpi_eq,"r254, 0x00000000, label009B"
label00C8,299,gettime,r99
label00C8,302,winset_time,r100
label00C8,304,show_timer,
label00FA,310,jmpi_eq,"r255, 0x00000001, label00FC"
label00FA,311,jmpi_eq,"r254, 0x00000001, label012C"
label012C,333,hide_timer,
label012C,335,switch_call,"r250, [label0033, label0034, label0035, label0036]"
label012C,351,switch_jmp,"r252, [label012D, label012E, label012F, label0130]"
label0134,392,set,r255
label0190,407,switch_jmp,"r252, [label0191, label0192, label0193, label0194]"
label0191,416,pl_add_meseta2,... 0x1388 /* 5000 */
label0192,426,pl_add_meseta2,... 0x2710 /* 10000 */
label0193,436,pl_add_meseta2,... 0x3A98 /* 15000 */
label0194,446,pl_add_meseta2,... 0x4E20 /* 20000 */
label01F4,456,switch_call,"r250, [label01F5, label01F6, label01F7, label01F8]"
label01F5,463,sync_register2,"... r150, 0x1 /* 1 */"
label01F6,469,sync_register2,"... r151, 0x1 /* 1 */"
label01F7,475,sync_register2,"... r152, 0x1 /* 1 */"
label01F8,481,sync_register2,"... r153, 0x1 /* 1 */"
