floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
1,101,10,1,20,1,trigger_event(102); stop,5,"{""0x0060"": 3, ""0x0061"": 2}"
1,102,10,2,20,1,trigger_event(103); stop,5,"{""0x0060"": 3, ""0x0061"": 2}"
1,103,10,3,20,1,trigger_event(104); stop,6,"{""0x00A6"": 6}"
1,104,10,4,20,1,trigger_event(105); stop,6,"{""0x00A6"": 6}"
1,105,10,5,20,1,trigger_event(106); stop,6,"{""0x00A6"": 6}"
1,106,10,6,20,1,set_switch(1); stop,5,"{""0x0040"": 2, ""0x0041"": 3}"
1,401,40,1,20,1,trigger_event(402); stop,3,"{""0x00A5"": 3}"
1,402,40,2,20,1,trigger_event(403); stop,7,"{""0x00A5"": 2, ""0x0041"": 5}"
1,403,40,3,20,1,trigger_event(404); stop,6,"{""0x00A6"": 6}"
1,404,40,4,20,1,trigger_event(405); stop,5,"{""0x0061"": 5}"
1,405,40,5,20,1,trigger_event(406); stop,10,"{""0x00A6"": 8, ""0x00A5"": 2}"
1,406,40,6,20,1,trigger_event(407); stop,7,"{""0x0041"": 3, ""0x0061"": 4}"
1,407,40,7,20,1,set_switch(2); stop,5,"{""0x0060"": 4, ""0x0061"": 1}"
1,411,41,1,20,1,trigger_event(412); stop,4,"{""0x0060"": 4}"
1,412,41,2,20,1,trigger_event(413); stop,6,"{""0x0060"": 2, ""0x0061"": 4}"
1,413,41,3,20,1,trigger_event(414); stop,6,"{""0x00A5"": 2, ""0x00A6"": 4}"
1,414,41,4,20,1,trigger_event(415); stop,7,"{""0x0040"": 2, ""0x00A6"": 5}"
1,415,41,5,20,1,trigger_event(416); stop,10,"{""0x00A6"": 10}"
1,416,41,6,20,1,trigger_event(417); stop,10,"{""0x00A6"": 10}"
1,417,41,7,20,1,set_switch(3); stop,5,"{""0x0040"": 4, ""0x0061"": 1}"
1,601,60,1,20,1,trigger_event(602); stop,4,"{""0x00A5"": 4}"
1,602,60,2,20,1,trigger_event(603); stop,4,"{""0x0061"": 4}"
1,603,60,3,20,1,trigger_event(604); stop,6,"{""0x0040"": 2, ""0x00A6"": 4}"
1,604,60,4,20,1,trigger_event(605); stop,3,"{""0x0040"": 3}"
1,605,60,5,20,1,trigger_event(606); stop,5,"{""0x00A5"": 2, ""0x00A6"": 3}"
1,606,60,6,20,1,trigger_event(607); stop,6,"{""0x0041"": 6}"
1,607,60,7,20,1,trigger_event(608); stop,6,"{""0x0040"": 4, ""0x00A5"": 2}"
1,608,60,8,20,1,trigger_event(609); stop,8,"{""0x0061"": 8}"
1,609,60,9,20,1,trigger_event(6010); stop,4,"{""0x0060"": 4}"
1,6010,60,10,20,1,set_switch(4); stop,4,"{""0x0040"": 4}"
3,111,11,1,20,1,trigger_event(112); stop,3,"{""0x0065"": 3}"
3,112,11,2,20,1,trigger_event(113); stop,6,"{""0x0080"": 6}"
3,113,11,3,20,1,trigger_event(114); stop,4,"{""0x00A0"": 4}"
3,114,11,4,20,1,trigger_event(115); stop,5,"{""0x0081"": 1, ""0x0080"": 4}"
3,115,11,5,20,1,trigger_event(116); stop,3,"{""0x00A0"": 2, ""0x0065"": 1}"
3,116,11,6,20,1,trigger_event(117); stop,6,"{""0x0043"": 6}"
3,117,11,7,20,1,trigger_event(118); stop,9,"{""0x0080"": 8, ""0x0085"": 1}"
3,118,11,8,20,1,set_switch(3); stop,3,"{""0x0081"": 3}"
3,311,31,1,20,1,trigger_event(312); stop,5,"{""0x0080"": 5}"
3,312,31,2,20,1,trigger_event(313); stop,5,"{""0x0043"": 5}"
3,313,31,3,20,1,trigger_event(314); stop,4,"{""0x0043"": 4}"
3,314,31,4,20,1,trigger_event(315); stop,2,"{""0x00A0"": 2}"
3,315,31,5,20,1,trigger_event(316); stop,5,"{""0x0080"": 3, ""0x0043"": 2}"
3,316,31,6,20,1,trigger_event(317); stop,6,"{""0x0080"": 6}"
3,317,31,7,20,1,trigger_event(318); stop,3,"{""0x00A0"": 1, ""0x0043"": 2}"
3,318,31,8,20,1,trigger_event(319); stop,7,"{""0x0080"": 6, ""0x0085"": 1}"
3,319,31,9,20,1,set_switch(1); stop,4,"{""0x0081"": 1, ""0x0080"": 3}"
3,411,41,1,20,1,trigger_event(412); stop,2,"{""0x0081"": 2}"
3,412,41,2,20,1,trigger_event(413); stop,2,"{""0x0081"": 2}"
3,413,41,3,20,1,trigger_event(414); stop,3,"{""0x0081"": 3}"
3,414,41,4,20,1,trigger_event(415); stop,5,"{""0x00A0"": 5}"
3,415,41,5,20,1,trigger_event(416); stop,6,"{""0x0080"": 6}"
3,416,41,6,20,1,trigger_event(417); stop,5,"{""0x0065"": 1, ""0x0043"": 4}"
3,417,41,7,20,1,trigger_event(418); stop,3,"{""0x00A0"": 3}"
3,418,41,8,20,1,trigger_event(419); stop,6,"{""0x0043"": 6}"
3,419,41,9,20,1,trigger_event(4010); stop,7,"{""0x0080"": 6, ""0x0065"": 1}"
3,4010,41,10,20,1,trigger_event(4011); stop,6,"{""0x0043"": 4, ""0x00A0"": 2}"
3,4011,41,11,20,1,trigger_event(4012); stop,6,"{""0x00A0"": 2, ""0x0043"": 4}"
3,4012,41,12,20,1,trigger_event(4013); stop,10,"{""0x0080"": 10}"
3,4013,41,13,20,1,set_switch(4); stop,4,"{""0x0081"": 4}"
3,501,50,1,20,1,trigger_event(502); stop,3,"{""0x00A0"": 3}"
3,502,50,2,20,1,trigger_event(503); stop,5,"{""0x0080"": 5}"
3,503,50,3,20,1,trigger_event(504); stop,6,"{""0x0080"": 5, ""0x0085"": 1}"
3,504,50,4,20,1,trigger_event(505); stop,2,"{""0x0081"": 2}"
3,505,50,5,20,1,trigger_event(507); stop,3,"{""0x00A0"": 3}"
3,507,50,7,20,1,set_switch(2); stop,5,"{""0x0081"": 2, ""0x00A0"": 3}"
14,1,1,1,50,1,"construct_objects(room=1,group_or_wave=1); stop",1,"{""0x00CB"": 1}"
15,1,1,1,50,1,"construct_objects(room=1,group_or_wave=1); stop",1,"{""0x00CC"": 1}"
