floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
2,101,10,1,10,1,trigger_event(1011); stop,8,"{""0x00A6"": 8}"
2,1011,10,2,10,1,trigger_event(1012); stop,8,"{""0x00A6"": 8}"
2,1012,10,3,10,1,set_switch(40); stop,8,"{""0x00A6"": 8}"
2,111,11,1,10,1,trigger_event(111011); trigger_event(111021); trigger_event(111031); stop,3,"{""0x0040"": 3}"
2,111011,11,2,100,1,trigger_event(111012); stop,1,"{""0x0040"": 1}"
2,111012,11,3,100,1,trigger_event(111013); stop,1,"{""0x0040"": 1}"
2,111013,11,4,100,1,trigger_event(111014); stop,1,"{""0x0040"": 1}"
2,111014,11,5,100,1,set_switch(3); set_switch(4); stop,1,"{""0x0040"": 1}"
2,111021,11,6,30,1,trigger_event(111022); stop,1,"{""0x0040"": 1}"
2,111022,11,7,30,1,trigger_event(111023); stop,1,"{""0x0040"": 1}"
2,111023,11,8,30,1,stop,1,"{""0x0040"": 1}"
2,111031,11,9,60,1,trigger_event(111032); stop,1,"{""0x0040"": 1}"
2,111032,11,10,60,1,trigger_event(111033); stop,1,"{""0x0040"": 1}"
2,111033,11,11,60,1,stop,1,"{""0x0040"": 1}"
2,201,20,1,10,1,trigger_event(2011); stop,4,"{""0x0061"": 4}"
2,2011,20,2,10,1,trigger_event(2012); stop,4,"{""0x0061"": 4}"
2,2012,20,3,10,1,set_switch(41); stop,4,"{""0x0061"": 4}"
2,301,30,1,10,1,set_switch(34); set_switch(35); stop,4,"{""0x0061"": 4}"
2,401,40,1,10,1,trigger_event(4011); stop,5,"{""0x00A6"": 5}"
2,4011,40,2,100,1,trigger_event(4012); stop,5,"{""0x00A6"": 5}"
2,4012,40,3,200,1,set_switch(1); set_switch(2); stop,5,"{""0x00A6"": 5}"
2,501,50,1,10,1,trigger_event(5011); stop,5,"{""0x00A6"": 5}"
2,5011,50,2,10,1,trigger_event(5012); stop,5,"{""0x0061"": 2, ""0x00A6"": 3}"
2,5012,50,3,150,1,trigger_event(5013); set_switch(5); set_switch(6); set_switch(7); set_switch(8); set_switch(9); set_switch(10); set_switch(11); set_switch(14); set_switch(15); set_switch(16); set_switch(17); set_switch(18); set_switch(19); set_switch(20); set_switch(21); set_switch(22); set_switch(23); set_switch(24); set_switch(25); set_switch(26); set_switch(27); set_switch(28); set_switch(29); set_switch(30); set_switch(31); set_switch(32); set_switch(33); set_switch(48); set_switch(45); set_switch(48); set_switch(49); set_switch(50); set_switch(51); stop,5,"{""0x00A6"": 4, ""0x0060"": 1}"
2,5013,50,4,350,1,stop,5,"{""0x0040"": 2, ""0x0061"": 3}"
2,601,60,1,10,1,trigger_event(6011); stop,1,"{""0x00A6"": 1}"
2,6011,60,2,10,1,trigger_event(6012); stop,3,"{""0x0060"": 3}"
2,6012,60,3,100,1,trigger_event(6013); stop,6,"{""0x0061"": 2, ""0x00A6"": 4}"
2,6013,60,4,200,1,set_switch(36); set_switch(37); set_switch(38); set_switch(39); stop,3,"{""0x0040"": 3}"
2,701,70,1,10,1,trigger_event(7011); stop,5,"{""0x0060"": 2, ""0x00A6"": 3}"
2,7011,70,2,100,1,trigger_event(7012); stop,5,"{""0x00A6"": 5}"
2,7012,70,3,10,1,trigger_event(7013); set_switch(42); stop,2,"{""0x00A5"": 2}"
2,7013,70,4,300,1,set_switch(46); set_switch(47); stop,6,"{""0x00A5"": 2, ""0x00A6"": 4}"
2,702,70,5,10,1,trigger_event(7021); stop,2,"{""0x00A5"": 2}"
2,7021,70,6,150,1,trigger_event(7022); stop,3,"{""0x00A5"": 3}"
2,7022,70,7,300,1,set_switch(43); set_switch(44); stop,4,"{""0x00A5"": 4}"
2,911,91,1,10,1,stop,3,"{""0x0061"": 3}"
2,921,92,1,10,1,stop,3,"{""0x0061"": 3}"
2,931,93,1,10,1,stop,3,"{""0x0061"": 3}"
2,941,94,1,10,1,stop,3,"{""0x0061"": 3}"
2,1501,150,1,10,1,stop,1,"{""0x00A5"": 1}"
3,101,10,1,10,1,trigger_event(1011); stop,6,"{""0x0080"": 6}"
3,1011,10,2,150,1,trigger_event(1012); stop,6,"{""0x0080"": 6}"
3,1012,10,3,10,1,set_switch(5); set_switch(6); stop,5,"{""0x0080"": 5}"
3,102,10,4,600,1,stop,1,"{""0x0080"": 1}"
3,121,12,1,300,1,trigger_event(1211); stop,1,"{""0x0065"": 1}"
3,1211,12,2,10,1,trigger_event(1212); stop,3,"{""0x0065"": 3}"
3,1212,12,3,300,1,set_switch(19); set_switch(23); set_switch(25); stop,4,"{""0x0065"": 4}"
3,201,20,1,10,1,trigger_event(2011); stop,3,"{""0x0043"": 3}"
3,2011,20,2,150,1,trigger_event(2012); stop,5,"{""0x0043"": 5}"
3,2012,20,3,10,1,trigger_event(2013); stop,6,"{""0x0043"": 6}"
3,2013,20,4,100,1,trigger_event(2014); stop,6,"{""0x0043"": 6}"
3,2014,20,5,150,1,set_switch(3); set_switch(4); stop,8,"{""0x0043"": 8}"
3,211,21,1,10,1,trigger_event(2111); stop,3,"{""0x00A0"": 3}"
3,2111,21,2,10,1,trigger_event(2112); stop,3,"{""0x0081"": 1, ""0x00A0"": 2}"
3,2112,21,3,10,1,set_switch(20); set_switch(24); set_switch(26); stop,2,"{""0x0081"": 2}"
3,311,31,1,10,1,trigger_event(311011); trigger_event(311021); trigger_event(311031); trigger_event(311041); trigger_event(311051); stop,3,"{""0x0043"": 3}"
