label,line,opcode,args
label0062,24,read_switch_flag_on_floor,r1-r3
label0062,28,set_switch_flag_sync,"... r1, r2"
label0061,34,read_switch_flag_on_floor,r1-r3
label0061,38,clear_switch_flag_sync,"... r1, r2"
label0027,223,read_switch_flag_on_floor,r60-r62
start,353,set_qt_success,label00B5
start,354,set_qt_failure,label009D
start,363,set_floor_handler,"... 0x0 /* 0 */, label00B7"
start,366,set_floor_handler,"... 0x5 /* 5 */, label00C6"
start,369,set_floor_handler,"... 0xB /* 11 */, label006D"
start,372,set_floor_handler,"... 0x11 /* 17 */, label00D4"
label00C9,395,pl_add_meseta2,... 0x7D0 /* 2000 */
label006F,405,pl_add_meseta2,... 0x1388 /* 5000 */
label00BC,415,pl_add_meseta2,... 0x2710 /* 10000 */
label0099,425,pl_add_meseta2,... 0x4E20 /* 20000 */
label009A,436,switch_call,"r250, [label0033, label0037, label003B, label0041]"
label0070,484,jmpi_eq,"r254, 0x00000001, label00CA"
label0070,485,jmpi_eq,"r253, 0x00000001, label0016"
label047E,514,jmpi_eq,"r255, 0x00000001, label003C"
label047E,516,jmpi_eq,"r254, 0x00000001, label0066"
label047E,517,jmpi_eq,"r253, 0x00000001, label0064"
label0080,540,set_quest_board_handler,"... 0x0 /* 0 */, label0095, ""現在の倒したエネミー数"""
label0066,613,set,r255
label047F,673,jmpi_eq,"r255, 0x00000001, label00BF"
label047F,674,jmpi_eq,"r254, 0x00000001, label004F"
label047F,675,jmpi_eq,"r253, 0x00000001, label0057"
label00C2,687,switch_jmp,"r58, [label0006, label004E, label00B2]"
label0081,698,switch_jmp,"r58, [label00C2, label00B2]"
label00BF,824,switch_call,"r58, [label00A1, label0023, label00B8, label0017, label008A, label009B, label00AE, label0001]"
label0480,907,jmpi_eq,"r254, 0x00000001, label008E"
label0480,908,jmpi_eq,"r253, 0x00000001, label0052"
label047C,977,jmpi_eq,"r254, 0x00000001, label0050"
label047C,978,jmpi_eq,"r253, 0x00000001, label0058"
label0010,1106,sync_register2,"... r254, 0x1 /* 1 */"
label0011,1112,sync_register2,"... r254, 0x1 /* 1 */"
label001E,1119,sync_register2,"... r254, 0x1 /* 1 */"
label000F,1127,read_switch_flag_on_floor,r60-r62
label001B,1145,switch_call,"r250, [label003D, label0042, label0046, label0048]"
label003D,1152,sync_register2,"... r164, 0x1 /* 1 */"
label0042,1158,sync_register2,"... r165, 0x1 /* 1 */"
label0046,1164,sync_register2,"... r166, 0x1 /* 1 */"
label0048,1170,sync_register2,"... r167, 0x1 /* 1 */"
label000B,1205,gettime,r102
label000B,1214,set_switch_flag_sync,"... 0x5 /* 5 */, 0x63 /* 99 */"
label0075,1225,read_switch_flag_on_floor,r60-r62
label0075,1234,switch_jmp,"r0, [label0067, label006E]"
label0067,1239,clear_switch_flag_sync,"... 0x5 /* 5 */, 0x63 /* 99 */"
label006E,1245,set_switch_flag_sync,"... 0x5 /* 5 */, 0x63 /* 99 */"
label00C0,1252,gettime,r102
