floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x001D,10,0,0,0,-49.0010986328125,0.0,50.996429443359375,0.0,0.0,0.0,1011.0010986328125,850.0,0,0
0,1,0x00F3,10,0,0,0,6.9099884033203125,0.0,64.07794189453125,0.0,0.0,0.0,141.0,1141.0,0,0
0,2,0x0025,10,0,0,0,25.489990234375,0.0,62.41998291015625,0.0,0.0,0.0,139.0,1139.0,0,0
0,3,0x0009,20,0,0,0,167.99769592285156,0.0,84.0,24.0,0.0,0.0,1015.0,90.0,1,0
0,4,0x0006,20,0,0,0,156.0028839111328,0.0,-49.99967575073242,30.000009536743164,0.0,0.0,1014.0,80.0,1,0
0,5,0x001A,20,0,0,0,237.9988250732422,0.0,-14.0001220703125,0.0,0.0,0.0,1019.0,120.0,0,0
0,6,0x0019,20,0,0,0,238.00379943847656,0.0,63.00413513183594,0.0,0.0,0.0,1020.0,130.0,0,0
0,7,0x000D,20,0,0,0,-2.001882553100586,0.0,35.0036506652832,26.000009536743164,0.0,0.0,1012.0,60.0,1,0
0,8,0x001E,20,0,0,0,-147.0000457763672,0.0,-7.996537208557129,30.000009536743164,0.0,0.0,1013.0,70.0,1,0
0,9,0x0003,20,0,0,0,-212.0,0.0,-140.0,37.0,0.0,0.0,1016.0,100.0,1,0
0,10,0x001D,20,0,0,0,-262.51129150390625,0.0,-24.541954040527344,0.0,0.0,0.0,1010.0010986328125,840.0,0,0
0,11,0x0029,20,0,0,0,-33.448116302490234,0.0,-24.369619369506836,0.0,0.0,0.0,140.0,1140.0,0,0
0,12,0x0022,20,0,0,0,-50.63020324707031,0.0,-27.553512573242188,0.0,0.0,0.0,138.0,1138.0,0,0
0,13,0x001C,30,0,0,0,-43.70983123779297,2.5999999046325684,-52.78248596191406,0.0,0.0,0.0,1009.0010986328125,830.0,0,0
0,14,0x000C,30,0,0,0,0.3424072265625,2.5999996662139893,-84.7215576171875,0.0,0.0,0.0,1006.0010986328125,800.0,0,0
0,15,0x0005,30,0,0,0,43.87113952636719,2.5999996662139893,-74.80303955078125,0.0,0.0,0.0,1008.0010986328125,820.0,0,0
0,16,0x000B,30,0,0,0,75.87998962402344,2.5999999046325684,-42.68998718261719,0.0,0.0,0.0,1007.0,810.0,0,0
0,17,0x0005,30,0,0,0,16.003997802734375,0.0,5.99566650390625,22.000009536743164,0.0,0.0,1021.0,140.0,1,0
0,18,0x001F,40,0,0,0,0.30999755859375,3.0,-105.38998413085938,0.0,0.0,0.0,1017.0,860.0,0,0
0,19,0x001F,40,0,0,0,53.499176025390625,0.0,-26.496688842773438,18.000009536743164,0.0,0.0,1018.0,110.0,1,0
5,0,0x0111,30,6,6,0,265.0760498046875,-27.147186279296875,24.81396484375,1.0,1.0,0.0,0.0,0.0,0,0
5,1,0x0111,30,6,6,0,307.38818359375,-30.564300537109375,-63.5223388671875,1.0,1.0,0.0,0.0,0.0,0,0
5,2,0x0111,30,6,6,0,406.1412048339844,-30.41998291015625,-10.95941162109375,0.0,1.0,0.0,0.0,0.0,0,0
5,3,0x0111,30,6,6,0,404.66998291015625,-30.24932861328125,68.02197265625,0.0,1.0,0.0,0.0,0.0,0,0
5,4,0x0041,30,6,6,0,347.50567626953125,-29.2784423828125,22.63427734375,0.0,0.0,0.0,0.0,0.0,0,0
5,5,0x0041,30,6,6,0,246.49864196777344,-29.232696533203125,-18.48785400390625,0.0,0.0,0.0,0.0,0.0,0,0
5,6,0x0041,30,6,6,0,385.4621887207031,-33.296539306640625,-76.393310546875,0.0,0.0,0.0,0.0,0.0,0,0
5,7,0x0041,30,6,6,0,357.28009033203125,-36.580780029296875,-140.40167236328125,0.0,0.0,0.0,0.0,0.0,0,0
5,8,0x0111,30,5,5,0,225.01148986816406,-30.453338623046875,-48.8736572265625,0.0,0.0,0.0,0.0,0.0,0,0
5,9,0x0111,30,5,5,0,211.41543579101562,-26.843841552734375,21.37786865234375,0.0,0.0,0.0,0.0,0.0,0,0
5,10,0x0111,30,5,5,0,306.35162353515625,-28.69940185546875,1.88800048828125,0.0,0.0,0.0,0.0,0.0,0,0
5,11,0x0111,30,5,5,0,375.6173095703125,-31.210968017578125,-38.67840576171875,0.0,0.0,0.0,0.0,0.0,0,0
5,12,0x0111,30,5,5,0,310.3226013183594,-30.9857177734375,-70.86737060546875,1.0,0.0,0.0,0.0,0.0,0,0
5,13,0x0111,30,5,5,0,387.4989929199219,-30.529998779296875,21.15997314453125,1.0,0.0,0.0,0.0,0.0,0,0
5,14,0x0111,30,5,5,0,266.4973449707031,-25.470001220703125,57.9351806640625,1.0,0.0,0.0,0.0,0.0,0,0
5,15,0x0111,30,5,5,0,360.8633728027344,-26.67999267578125,92.7774658203125,1.0,0.0,0.0,0.0,0.0,0,0
5,16,0x0111,30,8,8,0,265.0760498046875,-27.147186279296875,24.81396484375,1.0,1.0,0.0,0.0,0.0,0,0
5,17,0x0111,30,8,8,0,307.38818359375,-30.564300537109375,-63.5223388671875,1.0,0.0,0.0,0.0,0.0,0,0
5,18,0x0111,30,8,8,0,406.1412048339844,-30.41998291015625,-10.95941162109375,0.0,1.0,0.0,0.0,0.0,0,0
5,19,0x0111,30,8,8,0,404.66998291015625,-30.24932861328125,68.02197265625,0.0,0.0,0.0,0.0,0.0,0,0
5,20,0x0114,30,8,8,0,395.2985534667969,-34.59124755859375,-98.96453857421875,0.0,0.0,0.0,0.0,0.0,0,0
5,21,0x0114,30,8,8,0,157.58126831054688,-30.6949462890625,-94.82781982421875,0.0,0.0,0.0,0.0,0.0,0,0
5,22,0x0111,30,7,7,0,266.4973449707031,-25.470001220703125,57.94000244140625,0.0,0.0,0.0,0.0,0.0,0,0
5,23,0x0111,30,7,7,0,310.3226013183594,-30.9857177734375,-70.86737060546875,0.0,0.0,0.0,0.0,0.0,0,0
5,24,0x0111,30,7,7,0,406.1412048339844,-30.41998291015625,-10.95941162109375,0.0,0.0,0.0,0.0,0.0,0,0
5,25,0x0111,30,7,7,0,360.8633728027344,-26.682281494140625,92.7774658203125,0.0,0.0,0.0,0.0,0.0,0,0
5,26,0x0041,30,7,7,0,347.50567626953125,-29.2784423828125,22.63427734375,0.0,0.0,0.0,0.0,0.0,0,0
5,27,0x0041,30,7,7,0,246.49864196777344,-29.232696533203125,-18.48785400390625,0.0,0.0,0.0,0.0,0.0,0,0
5,28,0x0041,30,7,7,0,385.4621887207031,-33.296539306640625,-76.393310546875,0.0,0.0,0.0,0.0,0.0,0,0
5,29,0x0041,30,7,7,0,357.28009033203125,-36.580780029296875,-140.40167236328125,0.0,0.0,0.0,0.0,0.0,0,0
5,30,0x0115,30,2,2,0,-202.19000244140625,11.49700927734375,316.6199951171875,0.0,0.0,0.0,0.0,0.0,2,0
5,31,0x0115,30,2,2,0,-160.00543212890625,5.73187255859375,282.4598388671875,0.0,0.0,0.0,0.0,0.0,2,0
5,32,0x0115,30,2,2,0,-150.88623046875,-0.315338134765625,225.56597900390625,0.0,0.0,0.0,0.0,0.0,2,0
5,33,0x0115,30,2,2,0,-178.7440185546875,-3.341278076171875,162.28619384765625,0.0,0.0,0.0,0.0,0.0,2,0
5,34,0x0114,30,2,2,0,-231.47064208984375,6.074676513671875,229.40118408203125,0.0,0.0,0.0,0.0,0.0,0,0
5,35,0x0115,30,1,1,0,-318.3299560546875,8.07000732421875,173.22265625,0.0,0.0,0.0,0.0,0.0,1,0
5,36,0x0115,30,1,1,0,-380.502685546875,25.32000732421875,304.6224365234375,0.0,0.0,0.0,0.0,0.0,1,0
5,37,0x0115,30,1,1,0,-331.51947021484375,15.94000244140625,245.692626953125,0.0,0.0,0.0,0.0,0.0,1,0
5,38,0x0115,30,1,1,0,-383.75274658203125,17.80999755859375,218.42608642578125,0.0,0.0,0.0,0.0,0.0,1,0
5,39,0x0114,30,1,1,0,-231.47064208984375,6.074676513671875,229.40118408203125,0.0,0.0,0.0,0.0,0.0,0,0
5,40,0x0114,30,4,4,0,-291.1400146484375,19.800018310546875,326.1029052734375,0.0,0.0,0.0,0.0,0.0,0,0
5,41,0x0114,30,4,4,0,-117.88592529296875,4.910003662109375,292.4718017578125,0.0,0.0,0.0,0.0,0.0,0,0
5,42,0x0114,30,4,4,0,-96.49755859375,-12.259979248046875,113.16583251953125,0.0,0.0,0.0,0.0,0.0,0,0
5,43,0x0110,30,4,4,0,-171.84088134765625,2.20001220703125,241.17926025390625,0.0,0.0,0.0,0.0,0.0,0,0
5,44,0x0110,30,4,4,0,-258.45721435546875,3.730010986328125,180.03570556640625,0.0,0.0,0.0,0.0,0.0,0,0
5,45,0x0114,30,3,3,0,-62.147003173828125,-8.220001220703125,160.47247314453125,0.0,0.0,0.0,0.0,0.0,0,0
5,46,0x0041,30,3,3,0,-114.10089111328125,-1.1099853515625,231.6402587890625,0.0,0.0,0.0,0.0,0.0,0,0
5,47,0x0041,30,3,3,0,-156.9947509765625,-4.52642822265625,163.343017578125,0.0,0.0,0.0,0.0,0.0,0,0
5,48,0x0041,30,3,3,0,-134.28173828125,-11.74560546875,97.6776123046875,0.0,0.0,0.0,0.0,0.0,0,0
5,49,0x0041,30,3,3,0,-190.65997314453125,-12.149993896484375,49.64996337890625,0.0,0.0,0.0,0.0,0.0,0,0
5,50,0x0111,30,14,14,0,203.60137939453125,-43.269073486328125,-315.8219909667969,0.0,1.0,0.0,0.0,0.0,0,0
5,51,0x0114,30,14,14,0,123.62710571289062,-44.412200927734375,-459.911865234375,0.0,0.0,0.0,0.0,0.0,0,0
5,52,0x0114,30,14,14,0,312.14080810546875,-48.249786376953125,-350.21575927734375,0.0,0.0,0.0,0.0,0.0,0,0
5,53,0x0110,30,14,14,0,137.9173583984375,-43.17999267578125,-357.95001220703125,0.0,0.0,0.0,0.0,0.0,0,0
