source,opcode,target,line
label005C,jmpi_ne,label00A8,25
label005A,jmpi_eq,label000E,36
label0050,jmpi_le,label003B,49
label0050,jmp,label0050,52
label0065,call,label00B1,58
label0065,va_call,label0084,63
label0049,jmpi_eq,label0061,140
label0049,jmpi_eq,label0061,141
label0049,jmpi_eq,label0061,142
label002F,jmpi_eq,label0061,148
label002F,jmpi_eq,label0061,149
label002F,jmpi_eq,label0061,150
label0032,jmpi_eq,label0061,156
label0032,jmpi_eq,label0061,157
label0032,jmpi_eq,label0061,158
label0036,jmpi_eq,label0061,164
label0036,jmpi_eq,label0061,165
label0036,jmpi_eq,label0061,166
label00A0,call,label0049,176
label00A0,jmpi_eq,label00A0,177
label008A,call,label002F,183
label008A,jmpi_eq,label008A,184
label0096,call,label0032,190
label0096,jmpi_eq,label0096,191
label00A4,call,label0036,197
label00A4,jmpi_eq,label00A4,198
label008D,va_call,label005C,211
label0021,thread_stg,label0024,216
label0024,call,label002E,221
label0024,jmpi_ne,label0052,222
label0024,jmpi_eq,label0024,226
label0024,call,label0058,227
label0027,va_call,label00AD,235
label0027,jmpi_ne,label00AC,238
label0027,jmpi_eq,label0025,240
label00AC,jmpi_eq,label0025,248
label00D7,jmpi_eq,label0053,253
label00D7,va_call,label0027,257
label00D7,jmpi_le,label0028,259
label0053,va_call,label0027,267
label00D1,va_call,label0075,276
label00AD,va_call,label00D1,284
label00AD,va_call,label0075,289
label006B,va_call,label00D1,298
label006B,va_call,label0075,303
label001E,jmp_eq,label00B2,343
start,set_qt_success,label00B6,355
start,set_qt_failure,label009B,356
start,set_floor_handler,label00A5,364
start,set_floor_handler,label00C0,367
start,set_floor_handler,label00A6,370
start,call,label004C,373
label00B6,jmpi_eq,label00CF,381
label00B6,jmpi_eq,label006C,382
label00B6,jmpi_eq,label00BF,383
label00B6,jmpi_eq,label0097,384
label00A5,jmpi_eq,label006D,430
label0098,switch_call,label0030,434
label0098,switch_call,label0033,434
label0098,switch_call,label0037,434
label0098,switch_call,label003C,434
label0098,call,label0475,435
label006D,jmpi_eq,label00D0,483
label006D,jmpi_eq,label0013,484
label006D,thread_stg,label0079,485
label006D,thread_stg,label008C,486
label006D,thread_stg,label0047,487
label00D0,jmp,label0098,496
label0013,jmp,label0098,505
label0475,jmpi_eq,label0038,510
label0475,jmpi_eq,label0062,511
label0475,jmpi_eq,label005F,512
label0475,jmpi_eq,label008E,513
label007E,call,label00BE,516
label007E,set_quest_board_handler,label0093,539
label007E,call,label007D,541
label0038,call,label0002,558
label0038,call,label00D9,567
label0062,call,label00BC,572
label0062,call,label00DA,573
label0062,call,label0002,574
label0062,call,label009A,589
label0062,call,label006E,590
label0062,call,label0073,591
label0062,call,label000F,596
label0062,call,label002A,601
label0062,call,label00D9,617
label005F,call,label00BC,621
label005F,call,label00DA,622
label005F,call,label0002,623
label005F,jmpi_eq,label00B7,624
label005F,call,label009A,645
label005F,call,label006E,646
label00B7,call,label00D9,655
label008B,call,label0002,660
label008B,call,label00D9,665
label0473,jmpi_eq,label00C5,677
label0473,jmpi_eq,label004B,678
label0473,jmpi_eq,label0051,679
label0473,call,label0002,680
label00CA,switch_jmp,label0006,691
label00CA,switch_jmp,label004A,691
label00CA,switch_jmp,label009E,691
label007F,switch_jmp,label00CA,702
label007F,switch_jmp,label009E,702
label009E,call,label00D9,712
label0006,jmp,label007F,740
label004A,jmp,label007F,758
label0051,jmpi_eq,label0043,762
label0051,call,label0002,763
label0051,call,label00D9,774
label0043,call,label0002,779
label0043,call,label00D9,784
label004B,jmpi_eq,label00D5,788
label004B,call,label0002,789
label004B,call,label00D9,799
label00C5,call,label00BC,812
label00C5,call,label00DA,813
label00C5,call,label0002,814
label00C5,switch_call,label009F,826
label00C5,switch_call,label001F,826
label00C5,switch_call,label00B9,826
label00C5,switch_call,label0014,826
label00C5,switch_call,label0088,826
label00C5,switch_call,label0099,826
label00C5,switch_call,label00AE,826
label00C5,switch_call,label0001,826
label00C5,call,label00D9,827
label0472,jmpi_eq,label0092,895
label0472,jmpi_eq,label005B,896
label0472,jmpi_eq,label0060,897
label0472,jmpi_eq,label00BA,898
label0472,call,label0002,899
label0472,call,label00D9,910
label00BA,call,label0002,915
label00BA,call,label00D9,934
label0060,call,label0002,938
label0060,call,label00D9,951
label005B,call,label0002,955
label005B,call,label00D9,964
label0092,call,label0002,969
label0092,call,label00D9,978
label0474,jmpi_eq,label0067,983
label0474,jmpi_eq,label0022,984
label0474,jmpi_eq,label0029,985
label0474,jmpi_eq,label0063,986
label0474,call,label0002,987
label0474,call,label00D9,995
label0063,call,label0002,999
label0063,call,label00D9,1004
label0029,call,label0002,1008
label0029,call,label00D9,1017
label0022,call,label0002,1021
label0022,call,label00D9,1036
label0067,call,label0002,1041
label0067,call,label00D9,1046
label000F,jmpi_eq,label008F,1050
label000F,jmpi_eq,label0007,1051
label000F,jmpi_eq,label0054,1052
label000F,jmpi_eq,label004D,1053
label008F,jmp,label0008,1057
label0007,jmp,label0008,1062
label0054,jmp,label0008,1067
label004D,jmp,label0008,1072
label0008,jmpi_lt,label00A1,1078
label00C0,thread_stg,label0015,1089
label00C0,thread_stg,label0094,1090
label00C0,thread_stg,label0079,1091
label00C0,thread_stg,label008C,1092
label00C0,thread_stg,label0047,1093
label00C0,thread_stg,label00CC,1094
label00C0,thread_stg,label00C2,1095
label00A6,thread_stg,label0015,1102
label00A6,thread_stg,label0094,1103
label00A6,thread_stg,label0079,1104
label00A6,thread_stg,label008C,1105
label00A6,thread_stg,label0047,1106
label00A6,thread_stg,label00CC,1107
label0042,jmpi_eq,label0001,1123
label0042,jmpi_eq,label0001,1127
label0042,call,label0002,1128
label0042,jmpi_eq,label0018,1135
label0042,call,label00D9,1136
label0018,switch_call,label0039,1144
label0018,switch_call,label003D,1144
label0018,switch_call,label0041,1144
label0018,switch_call,label0044,1144
label0018,thread_stg,label003A,1145
label003A,jmpi_eq,label0076,1176
label003A,jmpi_eq,label003A,1177
label0076,jmpi_eq,label0078,1181
label0076,jmpi_eq,label003A,1182
label0078,jmpi_eq,label0080,1187
label0078,jmpi_eq,label003A,1188
label0080,jmpi_eq,label000B,1192
label0080,jmpi_eq,label003A,1193
label000B,jmp_ne,label003A,1198
label000B,call,label0055,1203
label000B,thread_stg,label0079,1207
label000B,thread_stg,label008C,1208
label000B,call,label0073,1209
label000B,call,label00D9,1218
label0074,call,label0081,1225
label0074,call,label009A,1227
label0074,jmpi_eq,label005D,1231
label0064,call,label0055,1239
label0064,call,label00D9,1240
label0081,switch_call,label00B3,1248
label0081,switch_call,label00B8,1248
label0081,switch_call,label00BB,1248
label0081,switch_call,label00C1,1248
label0090,jmp_eq,label0020,1281
label00B0,jmpi_eq,label00C6,1294
label00B0,jmpi_eq,label00B0,1295
label00B0,call,label0090,1296
label00B0,switch_jmp,label0077,1297
label00B0,switch_jmp,label0068,1297
label0077,jmp,label00B0,1303
label0068,jmp,label00C6,1309
label00C6,jmpi_eq,label0001,1313
label0072,thread_stg,label0079,1319
label0072,thread_stg,label008C,1320
label0072,call,label0073,1321
label0072,call,label0002,1322
label0072,call,label00D9,1326
label0004,jmpi_gt,label00CB,1350
label0004,jmpi_gt,label00CB,1355
label002A,jmpi_gt,label0023,1378
label0015,jmpi_ge,label005E,1414
label0015,jmp,label0015,1415
label005E,jmpi_gt,label00C7,1421
label005E,thread_stg,label03DC,1422
label03DC,call,label0002,1428
label03DC,call,label00D9,1435
label0094,jmpi_eq,label0001,1439
label0094,jmp,label00AA,1441
label0069,thread_stg,label00B4,1447
label00AA,switch_jmp,label0082,1451
label00AA,switch_jmp,label0083,1451
label00AA,switch_jmp,label0085,1451
label00AA,switch_jmp,label0089,1451
label0082,jmpi_eq,label0094,1459
label0082,jmp,label0069,1463
label0083,jmpi_eq,label0094,1469
label0083,jmp,label0069,1473
label0085,jmpi_eq,label0094,1479
label0085,jmp,label0069,1483
label0089,jmpi_eq,label0094,1489
label0089,jmp,label0069,1493
label00B4,switch_jmp,label0010,1496
label00B4,switch_jmp,label0016,1496
label00B4,switch_jmp,label0019,1496
label00B4,switch_jmp,label001B,1496
label0010,jmpi_eq,label0094,1503
label0010,jmp,label00B4,1505
label0016,jmpi_eq,label0094,1511
label0016,jmp,label00B4,1513
label0019,jmpi_eq,label0094,1519
label0019,jmp,label00B4,1521
label001B,jmpi_eq,label0094,1527
label001B,jmp,label00B4,1529
label0079,jmpi_eq,label0001,1532
label0079,jmpi_eq,label0001,1533
label0079,jmpi_eq,label0001,1534
label0079,jmpi_eq,label0001,1535
label0079,jmpi_eq,label0001,1536
label004E,jmpi_eq,label0001,1540
label004E,jmpi_lt,label004E,1542
label004E,jmpi_lt,label003E,1553
label004E,jmpi_gt,label0005,1554
label004E,jmpi_lt,label0005,1555
label004E,jmpi_eq,label00A7,1557
label004E,jmp,label004E,1558
label00A7,thread_stg,label00D2,1562
label00A7,jmp,label004E,1563
label00D2,jmpi_eq,label0001,1567
label002B,jmpi_eq,label0031,1584
label002B,jmpi_eq,label002B,1585
label008C,jmpi_eq,label0001,1614
label008C,jmpi_eq,label008C,1615
label008C,thread_stg,label00A2,1616
label00A2,call,label007A,1637
label00C2,jmpi_eq,label0001,1643
label00C2,jmpi_eq,label0001,1644
label00C2,jmpi_eq,label00C2,1650
label00C2,thread_stg,label00C8,1655
label00C8,jmpi_eq,label0001,1659
label00C8,jmpi_eq,label0001,1660
label00C8,jmpi_eq,label00C8,1666
label00CC,jmpi_eq,label0001,1674
label00CC,jmpi_ne,label00CC,1676
label00CC,call,label0002,1678
label00CC,call,label00D9,1686
label00CC,call,label0055,1689
label00D3,call,label0002,1695
label00D3,call,label00D9,1701
label00D3,call,label0055,1704
label0073,call,label0045,1730
label0073,call,label0034,1731
label0046,call,label0034,1736
label0046,call,label0034,1737
label0055,call,label0073,1741
label0055,call,label0073,1742
label009A,call,label0055,1746
label009A,call,label0073,1747
label007A,call,label0055,1751
label007A,call,label0055,1752
label00A3,call,label009A,1756
label00A3,call,label009A,1757
label006E,jmpi_gt,label001A,1765
label006E,jmpi_le,label001A,1767
label006E,jmpi_eq,label001A,1770
label006E,jmpi_eq,label001A,1772
label006E,jmpi_eq,label001A,1773
label0035,prepare_statistic,label002D,1780
label0035,prepare_statistic,label00D8,1780
label001D,jmpi_ge,label0001,1796
label001D,jmpi_eq,label001D,1797
label002D,jmpi_ge,label0001,1801
label002D,jmpi_lt,label00B5,1806
label002D,jmpi_ge,label00B5,1807
label002D,jmpi_lt,label00B5,1816
label002D,jmpi_ge,label00B5,1817
label002D,jmpi_eq,label00AF,1822
label00D8,jmpi_ge,label0001,1841
label0047,jmpi_eq,label0001,1859
label0047,jmpi_eq,label0001,1860
label0047,jmpi_eq,label0047,1861
label00BD,jmpi_eq,label000C,1865
label00BD,jmpi_eq,label000C,1866
label00BD,jmp,label00BD,1868
label0026,jmpi_eq,label0001,1874
label0026,jmpi_gt,label0026,1879
label0026,jmpi_lt,label0026,1883
label00D4,switch_jmp,label0011,1899
label00D4,switch_jmp,label00CD,1899
label00D4,switch_jmp,label0059,1899
label00D4,switch_jmp,label003F,1899
label00D4,switch_jmp,label0056,1899
