floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
6,211,21,1,1,1,set_switch(26); set_switch(27); set_switch(28); set_switch(29); set_switch(30); stop,1,"{""0x0082"": 1}"
6,301,30,1,1,1,trigger_event(3011); stop,4,"{""0x0082"": 4}"
6,3011,30,2,60,1,trigger_event(3012); stop,4,"{""0x0082"": 4}"
6,3012,30,3,20,1,trigger_event(3013); stop,4,"{""0x0082"": 4}"
6,3013,30,4,1,1,set_switch(17); set_switch(18); stop,4,"{""0x0082"": 4}"
6,501,50,1,1,1,trigger_event(5011); stop,4,"{""0x0080"": 4}"
6,5011,50,2,15,1,set_switch(2); set_switch(3); set_switch(235); stop,4,"{""0x0080"": 4}"
6,511,51,1,1,1,trigger_event(5111); stop,8,"{""0x0082"": 4, ""0x0083"": 4}"
6,5111,51,2,1,1,trigger_event(5112); stop,6,"{""0x0080"": 6}"
6,5112,51,3,30,1,trigger_event(5113); stop,6,"{""0x0083"": 6}"
6,5113,51,4,15,1,trigger_event(5114); stop,8,"{""0x0083"": 8}"
6,5114,51,5,60,1,set_switch(9); set_switch(11); set_switch(12); set_switch(13); set_switch(38); set_switch(217); set_switch(219); stop,8,"{""0x0080"": 3, ""0x0083"": 3, ""0x0082"": 2}"
6,521,52,1,1,1,trigger_event(5211); stop,1,"{""0x0082"": 1}"
6,5211,52,2,30,1,trigger_event(5212); stop,6,"{""0x0080"": 6}"
6,5212,52,3,10,1,set_switch(21); set_switch(22); set_switch(23); stop,6,"{""0x0080"": 4, ""0x0083"": 2}"
6,531,53,1,1,1,set_switch(34); set_switch(37); stop,1,"{""0x0084"": 1}"
6,532,53,2,1,1,set_switch(37); stop,4,"{""0x0080"": 4}"
6,541,54,1,1,1,trigger_event(5411); stop,5,"{""0x0082"": 5}"
6,5411,54,2,15,1,trigger_event(5412); stop,3,"{""0x0082"": 3}"
6,5412,54,3,30,1,trigger_event(5413); stop,4,"{""0x0082"": 4}"
