label,line,opcode,args
label0030,25,read_switch_flag_on_floor,r1-r3
label0030,29,set_switch_flag_sync,"... r1, r2"
label002D,35,read_switch_flag_on_floor,r1-r3
label002D,39,clear_switch_flag_sync,"... r1, r2"
label0013,180,read_switch_flag_on_floor,r60-r62
start,298,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,301,set_floor_handler,"... 0x8 /* 8 */, label0099"
start,304,set_floor_handler,"... 0x9 /* 9 */, label009A"
start,307,set_floor_handler,"... 0xA /* 10 */, label009B"
start,310,set_floor_handler,"... 0xE /* 14 */, label00A2"
start,311,set_qt_success,label00FA
label0096,327,switch_jmp,"r112, [label00C8, label00C9]"
label0022,386,switch_call,"r250, [label000A, label000C, label000F, label0012]"
label00FB,432,pl_add_meseta2,... 0x7D0 /* 2000 */
label00FC,442,pl_add_meseta2,... 0xFA0 /* 4000 */
label00FD,452,pl_add_meseta2,... 0x1770 /* 6000 */
label00FE,462,pl_add_meseta2,... 0x1F40 /* 8000 */
label002E,489,clear_switch_flag_sync,"... 0xA /* 10 */, 0x50 /* 80 */"
label03ED,554,set,r254
label03ED,555,set,r255
label03ED,558,clear_quest_board_handler,... 0x0 /* 0 */
label0009,605,item_create2,"r60-r71, r72"
label004B,714,sync_register2,"... r111, 0x1 /* 1 */"
label004B,719,sync_register2,"... r111, 0x0 /* 0 */"
label003F,732,switch_jmp,"r0, [label0045, label0040]"
label0040,748,set_switch_flag_sync,"... 0xA /* 10 */, 0x4B /* 75 */"
label001C,796,sync_register2,"... r110, 0x1 /* 1 */"
label001C,807,switch_call,"r252, [label0008, label0048, label0042, label003C]"
label0048,895,set_quest_board_handler,"... 0x0 /* 0 */, label01F4, ""ヘルパラッシュ"""
label003C,906,set_quest_board_handler,"... 0x0 /* 0 */, label01F5, ""ヘルパラッシュ"""
label0208,948,switch_jmp,"r200, [label0209, label020A]"
label0456,973,jmpi_eq,"r255, 0x00000001, label0049"
label0456,978,switch_call,"r252, [label013A, label013A, label013A, label013B]"
label0137,985,switch_call,"r252, [label013C, label013C, label013C, label013D]"
label0140,1066,jmpi_eq,"r254, 0x00000001, label0141"
label014A,1093,jmpi_eq,"r254, 0x00000001, label014B"
label012C,1171,gettime,r243
