label,line,opcode,args
start,27,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,30,set_floor_handler,"... 0x1 /* 1 */, label0097"
start,33,set_floor_handler,"... 0x3 /* 3 */, label0099"
start,36,set_floor_handler,"... 0x5 /* 5 */, label009B"
start,39,set_floor_handler,"... 0xC /* 12 */, label00A2"
start,41,set_qt_success,label015E
start,42,set_qt_cancel,label044C
label0096,77,switch_jmp,"r1, [label00F0, label00F1]"
label0136,117,jmpi_eq,"r255, 0x00000001, label013A"
label0136,118,jmpi_eq,"r254, 0x00000001, label0139"
label0139,177,sync_register2,"... r40, 0x1 /* 1 */"
label0139,203,set,r255
label013A,216,sync_register2,"... r255, 0x1 /* 1 */"
label013B,228,sync_register2,"... r255, 0x1 /* 1 */"
label0140,233,jmpi_eq,"r255, 0x00000001, label0141"
label0154,289,jmpi_eq,"r255, 0x00000001, label0155"
label015F,331,pl_add_meseta2,... 0xFA0 /* 4000 */
label0160,350,pl_add_meseta2,... 0x1B58 /* 7000 */
label0161,369,pl_add_meseta2,... 0x2710 /* 10000 */
label0162,388,pl_add_meseta2,... 0x4E20 /* 20000 */
label012C,529,switch_jmp,"r100, [label012A, label0129]"
label012A,540,switch_jmp,"r100, [label012D, label012E]"
label012E,553,switch_jmp,"r100, [label012F, label0130]"
label0130,566,switch_jmp,"r100, [label0131, label0132]"
label0132,579,switch_jmp,"r100, [label0133, label0134]"
label0134,592,switch_jmp,"r100, [label0135, label012B]"
label012B,605,switch_jmp,"r100, [label0129, label0001]"
label0258,686,jmpi_eq,"r254, 0x00000001, label0001"
label0259,696,sync_register2,"... r254, 0x1 /* 1 */"
label0263,701,switch_jmp,"r83, [label0264, label0264, label0264, label0265]"
label026C,725,jmpi_eq,"r254, 0x00000001, label0001"
label026D,729,jmpi_eq,"r254, 0x00000000, label026D"
label02BC,747,sync_register2,"... r55, 0x1 /* 1 */"
label02BD,763,sync_register2,"... r56, 0x1 /* 1 */"
label02BE,779,sync_register2,"... r57, 0x1 /* 1 */"
label02BF,795,sync_register2,"... r58, 0x1 /* 1 */"
label02C1,811,set_quest_board_handler,"... 0x0 /* 0 */, label02C6, ""Disc 1"""
label02C2,827,set_quest_board_handler,"... 0x1 /* 1 */, label02C7, ""Disc 2"""
label02C3,843,set_quest_board_handler,"... 0x2 /* 2 */, label02C8, ""Disc 3"""
