floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0044,10,0,100.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
0,1,0x0000,10,0,-90.0,0.0,50.0,0.0,1.0,1.0,0,0,0
0,2,0x0000,10,0,-50.0,0.0,50.0,3.0,1.0,1.0,0,0,0
0,3,0x0000,10,0,-77.0,0.0,50.0,1.0,1.0,1.0,0,0,0
0,4,0x0000,10,0,-63.0,0.0,50.0,2.0,1.0,1.0,0,0,0
0,5,0x0040,10,0,-100.0,0.0,15.0,1.0,1.0,1.0,4,0,0
0,6,0x02BB,10,0,-10.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
0,7,0x02BB,10,0,-130.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
0,8,0x02BB,20,0,-80.0,0.0,0.0,1.0,1.0,1.0,-1,0,0
0,9,0x02BD,20,0,20.0,-2.0,0.0,-9990.0,1.0,60.0,32768,0,2
0,10,0x0041,30,0,170.0,-30.0,-150.0,1.0,1.0,1.0,0,0,0
0,11,0x0041,30,0,200.0,-30.0,-150.0,1.0,1.0,1.0,1,0,0
0,12,0x0041,30,0,230.0,-30.0,-145.0,1.0,1.0,1.0,2,0,0
0,13,0x0041,30,0,260.0,-30.0,-115.0,1.0,1.0,1.0,3,0,0
0,14,0x0040,30,0,-101.0,0.0,-139.0,1.0,1.0,1.0,1,0,0
0,15,0x0040,30,0,-196.0,0.0,-130.0,1.0,1.0,1.0,2,0,0
0,16,0x0040,30,0,-246.0,0.0,-119.0,1.0,1.0,1.0,3,0,0
0,17,0x0040,30,0,-257.0,0.0,-60.0,1.0,1.0,1.0,0,0,0
0,18,0x0040,30,0,-180.0,0.0,-40.0,1.0,1.0,1.0,6,0,0
0,19,0x0040,30,0,-223.0,0.0,-5.0,1.0,1.0,1.0,5,0,0
0,20,0x02BA,30,0,200.0,-30.0,-130.0,100.0,1.0,1.0,5,1,0
0,21,0x02BA,30,0,-90.0,0.0,-120.0,40.0,1.0,1.0,5,1,0
0,22,0x02BB,40,0,80.0,0.0,0.0,1.0,1.0,1.0,-1,0,0
0,23,0x0003,40,0,-35.0,0.0,0.0,-2000.0,0.0,-10.0,-16384,0,0
0,24,0x0045,42,0,0.0,10.0,140.0,135.0,0.0,50.0,49152,65536,1
0,25,0x0056,42,0,-105.0,-10.0,-10.0,1.0,1.0,1.0,-1,0,0
0,26,0x0056,42,0,105.0,-10.0,-10.0,1.0,1.0,1.0,0,1,0
0,27,0x0043,42,0,230.0,-8.5,-10.0,1.0,1.0,1.0,1,1,0
0,28,0x0000,42,0,-20.0,0.0,30.0,0.0,1.0,1.0,1,0,0
0,29,0x0000,42,0,20.0,0.0,30.0,1.0,1.0,1.0,1,0,0
0,30,0x0000,42,0,-30.0,0.0,50.0,2.0,1.0,1.0,1,0,0
0,31,0x0000,42,0,30.0,0.0,50.0,3.0,1.0,1.0,1,0,0
0,32,0x02BA,42,0,0.0,-1.7601996660232544e-07,40.0,50.0,1.0,1.0,5,1,0
0,33,0x02BA,42,0,0.0,30.0,-190.0,50.0,1.0,1.0,5,1,0
0,34,0x0003,70,0,50.0,0.0,0.0,-90.0,0.0,50.0,16384,0,0
0,35,0x02B2,70,0,-50.0,0.0,-30.0,1.0,1.0,1.0,0,0,0
0,36,0x02B2,70,0,-50.0,0.0,30.0,1.0,1.0,1.0,0,0,0
16,0,0x0000,30,0,-105.0,0.0,90.0,0.0,1.0,1.0,0,0,0
16,1,0x0000,30,0,-90.0,0.0,105.0,1.0,1.0,1.0,0,0,0
16,2,0x0000,30,0,-125.0,0.0,90.0,2.0,1.0,1.0,0,0,0
16,3,0x0000,30,0,-90.0,0.0,125.0,3.0,1.0,1.0,0,0,0
16,4,0x0000,30,0,-89.49285888671875,0.0,125.56446838378906,3.0,1.0,1.0,1,0,0
16,5,0x0000,30,0,-89.49285888671875,0.0,104.24409484863281,1.0,1.0,1.0,1,0,0
16,6,0x0000,30,0,-105.22932434082031,0.0,90.53813934326172,0.0,1.0,1.0,1,0,0
16,7,0x0000,30,0,-125.02681732177734,0.0,90.03050994873047,2.0,1.0,1.0,1,0,0
16,8,0x0003,10,1,149.36276245117188,-1.0,-246.40951538085938,-9650.0,-20.0,-170.0,0,0,0
16,9,0x0003,10,1,336.9755859375,-21.0,-211.45335388183594,-9875.0,0.0,-280.0,-24576,0,0
16,10,0x0003,30,1,120.0,0.0,-120.0,9990.0,1.0,9625.0,16384,0,0
16,11,0x0008,1,0,-70.02606201171875,0.0,-346.16156005859375,200.0,1.0,1.0,11,0,0
16,12,0x0008,2,0,23.142297744750977,0.0,-458.2710876464844,100.0,1.0,1.0,21,0,0
16,13,0x0008,2,0,20.350345611572266,0.0,-224.8637237548828,100.0,1.0,1.0,26,0,0
16,14,0x0008,3,1,-70.6352310180664,0.0,-345.8783264160156,200.0,1.0,1.0,31,0,0
16,15,0x0008,3,1,-95.4771499633789,0.0,-342.1839599609375,200.0,1.0,1.0,310,0,0
16,16,0x0008,4,0,-79.91829681396484,0.0,-346.1045227050781,150.0,1.0,1.0,41,0,0
16,17,0x0008,5,0,-59.046913146972656,0.0,-344.1867980957031,200.0,1.0,1.0,51,0,0
16,18,0x0008,20,0,-72.21977233886719,0.0,-341.71929931640625,200.0,1.0,1.0,201,0,0
16,19,0x0008,20,0,150.49342346191406,-6.946053981781006,-264.4510498046875,45.0,1.0,1.0,2010,0,0
16,20,0x0008,21,0,-80.98490142822266,0.0,-344.58642578125,150.0,1.0,1.0,211,0,0
16,21,0x0008,22,0,-71.22430419921875,0.0,-250.19789123535156,400.0,1.0,1.0,221,0,0
16,22,0x0008,30,0,-188.85678100585938,0.0,174.5902557373047,300.0,1.0,1.0,301,0,0
16,23,0x0013,3,2,385.0,-21.0,90.0,1.0,1.0,1.0,0,0,0
16,24,0x0013,3,2,385.0,-21.0,90.0,1.0,1.0,1.0,0,0,0
16,25,0x0013,3,2,385.0,-21.0,90.0,1.0,1.0,1.0,0,0,0
16,26,0x0013,3,2,385.0,-21.0,90.0,1.0,1.0,1.0,0,0,0
16,27,0x0014,22,0,383.9406433105469,-21.0,58.511966705322266,40.0,60.0,6.0,0,0,0
16,28,0x0018,4,0,361.4566955566406,0.0,-357.3926696777344,500.0,1.0,0.0,4113,0,102
16,29,0x0022,4,0,240.39295959472656,-10.199999809265137,-239.7559051513672,-2.0,1.0,1.0,102,-1,0
16,30,0x0025,20,0,-7.258346080780029,0.0,-111.5696029663086,1.0,1.0,1.0,121,0,0
16,31,0x0096,10,0,365.7643127441406,-21.0,-125.0,0.0,6.0,40.0,0,0,2
16,32,0x0096,21,0,111.74481201171875,-1.0,-272.44488525390625,2.0,6.0,35.0,100,0,1
16,33,0x0096,22,0,385.0,-21.0,58.0,1.0,6.0,36.0,0,0,-1
16,34,0x00DE,4,0,240.0,-9.699999809265137,-240.0,1.0,1.0,1.0,102,655360,1
16,35,0x0167,20,0,338.87860107421875,-20.700000762939453,-142.58206176757812,60.0,5.0,1.0,0,121,0
16,36,0x0167,20,0,188.20802307128906,-11.0,-244.60565185546875,50.0,5.0,1.0,0,121,0
16,37,0x0167,20,0,294.48822021484375,-11.0,-247.57852172851562,50.0,5.0,1.0,0,121,0
16,38,0x0167,20,0,372.6612548828125,-20.799999237060547,-156.09512329101562,60.0,5.0,1.0,0,121,0
16,39,0x0191,1,0,92.1728515625,-1.0,-260.390625,1.0,1.0,1.0,0,0,0
16,40,0x0191,1,0,153.2294921875,-3.2305684089660645,-227.416015625,1.0,1.0,1.0,0,0,0
16,41,0x0191,1,0,269.3515625,-11.300000190734863,-311.5107421875,1.0,1.0,1.0,0,0,0
16,42,0x0191,1,0,389.2373046875,-21.0,-149.25390625,1.0,1.0,1.0,0,0,0
16,43,0x0191,3,0,96.90563201904297,0.0,-329.7240905761719,1.0,1.0,1.0,0,0,0
16,44,0x0191,3,0,385.68359375,-21.0,-122.34420776367188,1.0,1.0,1.0,0,0,0
16,45,0x0191,20,0,217.6767578125,-10.0,-291.49609375,1.0,1.0,1.0,0,0,0
16,46,0x0191,20,0,342.8564453125,-11.0,-228.3798828125,1.0,1.0,1.0,0,0,0
16,47,0x0193,10,0,224.89453125,-1.0,-324.3368835449219,1.0,1.0,1.0,0,0,0
16,48,0x0193,10,0,202.69140625,-1.0,-289.7688293457031,1.0,1.0,1.0,0,0,0
16,49,0x0193,22,0,364.0,-21.0,58.0,1.0,1.0,1.0,0,0,0
16,50,0x0193,22,0,405.0,-21.0,58.0,1.0,1.0,1.0,0,0,0
16,51,0x0200,2,0,400.0,-21.0,-15.0,0.0,1.0,50331648.0,0,0,0
16,52,0x0200,2,0,380.0,-21.0,-15.0,0.0,1.0,50331648.0,0,0,0
16,53,0x0200,2,0,390.0,-21.0,5.0,0.0,1.0,0.0,0,0,0
16,54,0x0200,2,0,370.0,-21.0,5.0,0.0,1.0,0.0,0,0,0
16,55,0x0200,3,0,375.0,-21.0,42.0,0.0,1.0,1.0,0,0,0
16,56,0x0200,3,0,355.0,-21.0,42.0,0.0,1.0,1.0,0,0,0
16,57,0x0200,3,0,415.0,-20.79412078857422,42.0,0.0,1.0,1.0,0,0,0
16,58,0x0200,3,0,395.0,-21.0,42.0,0.0,1.0,1.0,0,0,0
16,59,0x0200,4,0,400.0,-21.0,100.0,0.0,1.0,1.0,0,0,0
16,60,0x0200,4,0,370.0,-21.0,100.0,0.0,1.0,1.0,0,0,0
16,61,0x0200,4,0,400.0,-21.0,80.0,0.0,1.0,1.0,0,0,0
16,62,0x0200,4,0,370.0,-21.0,80.0,0.0,1.0,1.0,0,0,0
16,63,0x0200,5,0,395.0,-21.0,70.0,0.0,1.0,0.0,0,0,0
16,64,0x0200,5,0,375.0,-21.0,70.0,0.0,1.0,0.0,0,0,0
