label,line,instructions
start,16,42
label0001,60,3
label0096,65,1
label00C8,68,34
label00C9,104,7
label00FA,113,1
label00FB,116,8
label00FC,126,8
label00FD,136,8
label00FE,146,10
label0097,158,15
label0098,175,8
label00A1,185,5
label01A0,192,10
label01A1,204,2
label01A2,208,8
label01A3,218,2
label01A4,222,16
label03E8,240,8
label00E6,250,3
label0122,255,4
label01A5,261,1
label01A6,264,19
label01A7,285,9
label01A8,296,4
label0136,302,31
label0064,336,5
label0137,343,7
label0138,352,27
label0139,381,5
label0140,388,10
label0141,400,5
label014A,407,6
label014B,415,5
label0154,422,8
label0155,432,7
label00DC,441,7
label00DD,450,7
label00CF,459,1
label00D0,462,10
label037F,474,14
label0382,490,3
label0380,495,12
label0383,509,3
label0381,514,24
label0384,540,4
label0385,546,4
label0388,552,1
label0389,555,5
label0386,562,1
label0387,565,7
