floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x001F,30,0,0,0,-108.08999633789062,0.0,-143.1699981689453,0.0,0.0,0.0,1069.0,0.0,0,0
0,1,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,1066.0,0.0,0,0
0,2,0x00FE,30,0,0,0,-230.0,0.0,5.0,0.0,0.0,0.0,1067.0,0.0,0,0
0,3,0x00F1,30,0,0,0,-268.60833740234375,0.0,-64.52952575683594,0.0,0.0,0.0,1063.0,0.0,0,0
0,4,0x00D3,30,0,0,0,-254.04969787597656,0.0,-127.16407775878906,0.0,0.0,0.0,1065.0,0.0,0,0
0,5,0x00D0,30,0,0,0,-196.22312927246094,0.0,-141.29043579101562,0.0,0.0,0.0,1064.0,0.0,0,0
0,6,0x00FE,42,0,0,0,9988.0,0.0,209.0,0.0,0.0,0.0,1068.0,0.0,0,0
0,7,0x0031,70,0,0,0,-50.0,0.0,0.0,0.0,0.0,0.0,100.0,310.0,0,0
0,8,0x00F3,70,0,0,0,38.258174896240234,0.0,-32.26958465576172,20.0,0.0,0.0,104.0,320.0,1,0
0,9,0x000B,10,0,0,0,-45.0,0.0,-60.0,0.0,0.0,0.0,1061.0,720.0,0,0
0,10,0x00F0,30,0,0,0,-35.0,0.0,85.0,0.0,0.0,0.0,1060.0,720.0,0,0
0,11,0x00FB,30,0,0,0,-76.31710052490234,0.0,-50.905601501464844,30.0,0.0,0.0,1058.0,660.0,1,0
0,12,0x00FA,30,0,0,0,95.0,-30.0,-120.0,0.0,0.0,0.0,1056.0,620.0,0,0
0,13,0x00F9,30,0,0,0,140.0,-30.0,-25.0,20.0,0.0,0.0,1057.0,640.0,1,0
0,14,0x00D0,42,0,0,0,-80.0,-10.0,-30.0,0.0,0.0,0.0,152.0,340.0,0,0
0,15,0x00F2,30,0,0,0,-77.6340103149414,0.0,29.684188842773438,17.0,0.0,0.0,151.0,330.0000915527344,1,0
0,16,0x00FF,42,0,0,0,80.0,-10.0,-30.0,0.0,0.0,0.0,153.0,350.0,0,0
5,0,0x00D5,2,1,1,0,-80.0,5.0,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,1,0x00D5,2,1,1,0,-60.0,4.999999523162842,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,2,0x00D5,2,1,1,0,-40.0,5.000000953674316,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,3,0x00D5,2,1,1,0,-20.0,4.999999523162842,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,4,0x00D5,2,1,1,0,20.0,5.0,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,5,0x00D5,2,1,1,0,40.0,5.000000953674316,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,6,0x00D5,2,1,1,0,60.0,4.999999523162842,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,7,0x00D5,2,1,1,0,0.0,5.0,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,8,0x00D5,2,2,2,0,-80.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0
5,9,0x00D5,2,2,2,0,-60.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0
5,10,0x00D5,2,2,2,0,-40.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0
5,11,0x00D5,2,2,2,0,-20.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0
5,12,0x00D5,2,2,2,0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0
5,13,0x00D5,2,2,2,0,20.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0
5,14,0x00D5,2,2,2,0,40.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0
5,15,0x00D5,2,2,2,0,60.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0
5,16,0x00D5,2,3,3,0,-80.0,5.0,-60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,17,0x00D5,2,3,3,0,-80.0,12.0,-30.0,0.0,0.0,0.0,0.0,0.0,0,0
5,18,0x00D5,2,3,3,0,-80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,19,0x00D5,2,3,3,0,-80.0,27.5,30.0,0.0,0.0,0.0,0.0,0.0,0,0
5,20,0x00D5,2,3,3,0,-80.0,35.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0
5,21,0x00D5,2,3,3,0,60.0,5.0,-60.0,0.0,0.0,0.0,0.0,0.0,1,0
5,22,0x00D5,2,3,3,0,60.0,12.0,-30.0,0.0,0.0,0.0,0.0,0.0,1,0
5,23,0x00D5,2,3,3,0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,24,0x00D5,2,3,3,0,60.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,1,0
5,25,0x00D5,2,3,3,0,60.0,35.0,60.0,0.0,0.0,0.0,0.0,0.0,1,0
5,26,0x00D6,2,4,4,0,-40.0,50.0,120.0,0.0,0.0,0.0,0.0,0.0,0,0
5,27,0x00D6,2,4,4,0,20.0,50.0,120.0,0.0,0.0,0.0,0.0,0.0,0,0
5,28,0x00D6,2,5,5,0,20.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,1,0
5,29,0x00D6,2,5,5,0,-40.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,1,0
5,30,0x00D6,2,6,6,0,60.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,2,0
5,31,0x00D6,2,6,6,0,-80.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,2,0
5,32,0x00D6,2,7,7,0,60.0,47.5,110.0,0.0,0.0,0.0,0.0,0.0,0,0
5,33,0x00D6,2,7,7,0,-10.0,47.5,110.0,0.0,0.0,0.0,0.0,0.0,2,0
5,34,0x00D6,2,7,7,0,-80.0,47.5,110.0,0.0,0.0,0.0,0.0,0.0,1,0
5,35,0x00D7,3,1,1,0,-20.0,49.999996185302734,-60.0,0.0,1.0,0.0,0.0,0.0,0,0
5,36,0x00D7,3,1,1,0,20.0,50.0,-60.0,0.0,1.0,0.0,0.0,0.0,0,0
5,37,0x00D7,3,1,1,0,60.0,50.0,-60.0,0.0,1.0,0.0,0.0,0.0,0,0
5,38,0x00D7,3,1,1,0,100.0,50.0,-60.0,0.0,1.0,0.0,0.0,0.0,0,0
