source,opcode,target,line
start,set_floor_handler,label0096,20
start,set_floor_handler,label0097,23
start,set_floor_handler,label0098,26
start,set_floor_handler,label0099,29
start,set_floor_handler,label009A,32
start,set_floor_handler,label009B,35
start,set_floor_handler,label00A1,38
start,set_qt_success,label00FA,39
label0096,switch_jmp,label00C8,84
label0096,switch_jmp,label00C9,84
label00C8,thread_stg,label01F4,118
label00C8,thread_stg,label01FE,119
label00C8,call,label0136,120
label00C9,thread_stg,label01A1,126
label00C9,thread_stg,label01A5,127
label00C9,thread_stg,label01F4,128
label00C9,thread_stg,label0226,129
label00FA,switch_jmp,label00FB,143
label00FA,switch_jmp,label00FC,143
label00FA,switch_jmp,label00FD,143
label00FA,switch_jmp,label00FE,143
label0097,thread_stg,label01A1,189
label0097,thread_stg,label01A5,190
label0097,thread_stg,label0226,191
label0097,call,label01FB,192
label0098,thread_stg,label01A1,196
label0098,thread_stg,label01A5,197
label0098,thread_stg,label0226,198
label0099,thread_stg,label01A1,202
label0099,thread_stg,label01A5,203
label0099,thread_stg,label0226,204
label009A,thread_stg,label01A1,208
label009A,thread_stg,label01A5,209
label009A,thread_stg,label0226,210
label009B,thread_stg,label01A1,214
label009B,thread_stg,label01A5,215
label009B,thread_stg,label0226,216
label00A1,thread_stg,label01A0,221
label00A1,thread_stg,label01A3,222
label00A1,thread_stg,label01A5,223
label00A1,thread_stg,label0226,224
label01A0,jmpi_eq,label00E6,228
label01A0,jmpi_eq,label01A0,233
label01A1,jmpi_eq,label0001,240
label01A1,jmpi_eq,label0001,241
label01A2,jmpi_eq,label01A2,245
label01A2,call,label00CF,246
label01A2,call,label03E8,248
label01A3,jmpi_eq,label0001,254
label01A3,jmpi_eq,label0001,255
label01A4,jmpi_eq,label01A4,259
label01A4,call,label00CF,260
label01A4,call,label00DC,261
label01A4,set_quest_board_handler,label0122,266
label01A4,call,label03E8,269
label01A4,call,label00E6,270
label01A4,call,label00DD,271
label01A5,jmpi_eq,label0001,296
label01A6,jmpi_eq,label01A6,300
label01A6,jmpi_eq,label0001,301
label01F5,jmpi_eq,label01FA,330
label01F5,jmpi_eq,label01F9,331
label01F5,jmpi_eq,label01F8,332
label01F5,call,label00DC,333
label01F5,switch_jmp,label01F6,340
label01F5,switch_jmp,label01F7,340
label01F7,call,label00DD,352
label01F8,call,label00DC,356
label01F8,call,label00DD,360
label01F9,call,label00DC,364
label01F9,call,label00DD,368
label01FA,call,label00DC,372
label01FA,call,label00DD,376
label01FB,jmpi_eq,label01FC,380
label01FB,thread_stg,label0225,381
label01FE,jmpi_eq,label01FE,392
label01FE,jmpi_eq,label01FE,393
label0225,jmpi_eq,label01FC,396
label0226,jmpi_ne,label01FC,400
label0226,jmpi_eq,label022A,401
label0227,jmpi_lt,label0227,407
label0227,jmpi_ge,label0228,408
label0228,jmpi_eq,label0226,417
label0228,jmpi_eq,label0229,418
label0228,jmp,label0228,419
label022A,jmpi_eq,label0229,429
label022A,jmp,label022A,430
label0136,jmpi_eq,label0139,435
label0136,jmpi_eq,label0138,436
label0136,jmpi_eq,label0137,437
label0136,call,label00DC,438
label0136,call,label00CF,439
label0136,call,label00DD,457
label0138,call,label00DC,470
label0138,call,label00DD,495
label0140,jmpi_eq,label0141,507
label014A,jmpi_eq,label014B,525
label0154,jmpi_eq,label0155,540
label015E,jmpi_eq,label015F,560
label00D0,jmpi_le,label00D0,598
