floor,index,type,room,wave,wave2,children,x,y,z,p1,p2,p3,p4,p5,p6,p7
0,0,0x001F,30,0,0,0,-108.08999633789062,0.0,-143.1699981689453,0.0,0.0,0.0,1069.0,0.0,0,0
0,1,0x001C,30,0,0,0,-175.0,0.0,-40.0,0.0,0.0,0.0,1066.0,0.0,0,0
0,2,0x00FE,30,0,0,0,-230.0,0.0,5.0,0.0,0.0,0.0,1067.0,0.0,0,0
0,3,0x00F1,30,0,0,0,-268.60833740234375,0.0,-64.52952575683594,0.0,0.0,0.0,1063.0,0.0,0,0
0,4,0x00D3,30,0,0,0,-254.04969787597656,0.0,-127.16407775878906,0.0,0.0,0.0,1065.0,0.0,0,0
0,5,0x00D0,30,0,0,0,-196.22312927246094,0.0,-141.29043579101562,0.0,0.0,0.0,1064.0,0.0,0,0
0,6,0x00FE,42,0,0,0,9988.0,0.0,209.0,0.0,0.0,0.0,1068.0,0.0,0,0
0,7,0x0031,70,0,0,0,-50.0,0.0,0.0,0.0,0.0,0.0,100.0,310.0,0,0
0,8,0x00F3,70,0,0,0,38.258174896240234,0.0,-32.26958465576172,20.0,0.0,0.0,104.0,320.0,1,0
0,9,0x000B,10,0,0,0,-45.0,0.0,-60.0,0.0,0.0,0.0,1061.0,720.0,0,0
0,10,0x00F0,30,0,0,0,-35.0,0.0,85.0,0.0,0.0,0.0,1060.0,720.0,0,0
0,11,0x00FB,30,0,0,0,-76.31710052490234,0.0,-50.905601501464844,30.0,0.0,0.0,1058.0,660.0,1,0
0,12,0x00FA,30,0,0,0,95.0,-30.0,-120.0,0.0,0.0,0.0,1056.0,620.0,0,0
0,13,0x00F9,30,0,0,0,140.0,-30.0,-25.0,20.0,0.0,0.0,1057.0,640.0,1,0
0,14,0x00FF,42,0,0,0,80.0,-10.0,-30.0,0.0,0.0,0.0,152.0,340.0,0,0
0,15,0x00F2,30,0,0,0,-77.6340103149414,0.0,29.684188842773438,17.0,0.0,0.0,151.0,330.0000915527344,1,0
1,0,0x00A6,10,1,1,0,-83.43416595458984,0.0,-5.840346813201904,0.0,0.0,0.0,0.0,0.0,0,0
1,1,0x00A6,10,1,1,0,31.07219123840332,-4.76837158203125e-07,-5.840346813201904,0.0,0.0,0.0,0.0,0.0,0,0
1,2,0x00A6,10,1,1,0,-7.096595287322998,0.0,-5.840346813201904,0.0,0.0,0.0,0.0,0.0,0,0
1,3,0x00A6,10,1,1,0,-47.385868072509766,-1.0,-7.960834980010986,0.0,0.0,0.0,0.0,0.0,0,0
1,4,0x00A6,10,1,1,0,75.6024398803711,-2.384185791015625e-07,-5.840346813201904,0.0,0.0,0.0,0.0,0.0,0,0
1,5,0x00A6,10,2,2,0,68.56634521484375,-2.384185791015625e-07,-65.88864135742188,0.0,0.0,0.0,0.0,0.0,1,0
1,6,0x00A6,10,2,2,0,32.51804733276367,-2.384185791015625e-07,-65.88864135742188,0.0,0.0,0.0,0.0,0.0,1,0
1,7,0x00A6,10,2,2,0,-7.771225929260254,-2.384185791015625e-07,-68.0091323852539,0.0,0.0,0.0,0.0,0.0,1,0
1,8,0x00A6,10,2,2,0,-48.06050109863281,-2.384185791015625e-07,-65.88864135742188,0.0,0.0,0.0,0.0,0.0,1,0
1,9,0x00A6,10,2,2,0,-81.98831176757812,-2.384185791015625e-07,-63.768157958984375,0.0,0.0,0.0,0.0,0.0,1,0
1,10,0x00A6,10,3,3,0,-69.265380859375,-2.384185791015625e-07,65.58161926269531,0.0,0.0,0.0,0.0,0.0,2,0
1,11,0x00A6,10,3,3,0,-43.45806121826172,-2.384185791015625e-07,61.94308090209961,0.0,0.0,0.0,0.0,0.0,2,0
1,12,0x00A6,10,3,3,0,-9.53024959564209,-2.384185791015625e-07,61.94308090209961,0.0,0.0,0.0,0.0,0.0,2,0
1,13,0x00A6,10,3,3,0,24.397560119628906,-2.384185791015625e-07,61.94308090209961,0.0,0.0,0.0,0.0,0.0,2,0
1,14,0x00A6,10,3,3,0,51.963905334472656,-2.384185791015625e-07,68.3045425415039,0.0,0.0,0.0,0.0,0.0,2,0
1,15,0x0061,10,4,4,0,79.5302505493164,-2.384185791015625e-07,-78.0091323852539,0.0,0.0,0.0,0.0,0.0,0,0
1,16,0x0061,10,4,4,0,-77.38587188720703,-2.384185791015625e-07,-80.12962341308594,0.0,0.0,0.0,0.0,0.0,0,0
1,17,0x0061,10,4,4,0,73.16878509521484,-2.384185791015625e-07,72.54552459716797,0.0,0.0,0.0,0.0,0.0,0,0
1,18,0x0061,10,4,4,0,-77.38587188720703,-2.384185791015625e-07,74.66600799560547,0.0,0.0,0.0,0.0,0.0,0,0
1,19,0x0041,10,4,4,0,-5.289273738861084,-4.76837158203125e-07,-5.912537574768066,0.0,0.0,0.0,0.0,0.0,0,0
1,20,0x0061,102,1,1,0,11.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0,0
1,21,0x0061,102,1,1,0,-1.751203179359436,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0,0
1,22,0x0061,102,1,1,0,-14.01438045501709,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0,0
1,23,0x0060,102,1,1,0,-0.09181902557611465,0.0,88.9000473022461,0.0,0.0,0.0,0.0,0.0,0,0
1,24,0x0060,60,1,1,0,-85.92483520507812,0.0,-60.18621826171875,0.0,0.0,0.0,0.0,0.0,0,0
1,25,0x0060,60,1,1,0,85.5548095703125,0.0,-65.20654296875,0.0,0.0,0.0,0.0,0.0,0,0
1,26,0x00A6,60,1,1,0,-37.19443130493164,0.0,80.1886215209961,0.0,0.0,0.0,0.0,0.0,2,0
1,27,0x00A6,60,1,1,0,-37.01509094238281,0.0,155.71749877929688,0.0,0.0,0.0,0.0,0.0,2,0
1,28,0x00A6,60,1,1,0,41.331398010253906,0.0,154.6293487548828,0.0,0.0,0.0,0.0,0.0,2,0
1,29,0x00A6,60,1,1,0,41.331398010253906,0.0,79.54730224609375,0.0,0.0,0.0,0.0,0.0,2,0
1,30,0x0061,60,2,2,0,1.4529876708984375,0.0,64.86643981933594,0.0,0.0,0.0,0.0,0.0,0,0
1,31,0x0061,60,2,2,0,-40.98469543457031,0.0,24.60504722595215,0.0,0.0,0.0,0.0,0.0,0,0
1,32,0x0061,60,2,2,0,44.97881317138672,0.0,23.51690101623535,0.0,0.0,0.0,0.0,0.0,0,0
1,33,0x00A6,60,2,2,0,26.422590255737305,0.0,193.5989532470703,0.0,0.0,0.0,0.0,0.0,1,0
