source,opcode,target,line
start,set_floor_handler,label0096,20
start,set_floor_handler,label0097,23
start,set_floor_handler,label0098,26
start,set_floor_handler,label00A1,29
start,set_qt_success,label00FA,30
label0096,switch_jmp,label00C8,43
label0096,switch_jmp,label00C9,43
label00C8,thread_stg,label01F4,77
label00C8,thread_stg,label01FE,78
label00C8,call,label0136,79
label00C9,thread_stg,label01A1,85
label00C9,thread_stg,label01A5,86
label00C9,thread_stg,label01F4,87
label00C9,thread_stg,label0226,88
label00FA,switch_jmp,label00FB,102
label00FA,switch_jmp,label00FC,102
label00FA,switch_jmp,label00FD,102
label00FA,switch_jmp,label00FE,102
label0097,thread_stg,label01A1,148
label0097,thread_stg,label00D1,149
label0097,thread_stg,label01A5,150
label0097,thread_stg,label0226,151
label0097,call,label01FB,152
label0098,thread_stg,label01A1,156
label0098,thread_stg,label00D1,157
label0098,thread_stg,label01A5,158
label0098,thread_stg,label0226,159
label00A1,thread_stg,label01A0,164
label00A1,thread_stg,label00D1,165
label00A1,thread_stg,label01A3,166
label00A1,thread_stg,label01A5,167
label00A1,thread_stg,label0226,168
label01A0,jmpi_eq,label00E6,172
label01A0,jmpi_eq,label01A0,177
label01A1,jmpi_eq,label0001,184
label01A1,jmpi_eq,label0001,185
label01A2,jmpi_eq,label01A2,189
label01A2,call,label00CF,190
label01A2,call,label03E8,192
label01A3,jmpi_eq,label0001,198
label01A3,jmpi_eq,label0001,199
label01A4,jmpi_eq,label01A4,203
label01A4,call,label00CF,204
label01A4,call,label00DC,205
label01A4,set_quest_board_handler,label0122,210
label01A4,call,label03E8,213
label01A4,call,label00E6,214
label01A4,call,label00DD,215
label01A5,jmpi_eq,label0001,240
label01A6,jmpi_eq,label01A6,244
label01A6,jmpi_eq,label0001,245
label01F5,jmpi_eq,label01FA,274
label01F5,jmpi_eq,label01F9,275
label01F5,jmpi_eq,label01F8,276
label01F5,call,label00DC,277
label01F5,switch_jmp,label01F6,284
label01F5,switch_jmp,label01F7,284
label01F7,call,label00DD,296
label01F8,call,label00DC,300
label01F8,call,label00DD,304
label01F9,call,label00DC,308
label01F9,call,label00DD,312
label01FA,call,label00DC,316
label01FA,call,label00DD,320
label01FB,jmpi_eq,label01FC,324
label01FB,thread_stg,label0225,325
label01FE,jmpi_eq,label01FE,336
label01FE,jmpi_eq,label01FE,337
label0225,jmpi_eq,label01FC,340
label0226,jmpi_ne,label01FC,344
label0226,jmpi_eq,label022A,345
label0227,jmpi_lt,label0227,351
label0227,jmpi_ge,label0228,352
label0228,jmpi_eq,label0226,361
label0228,jmpi_eq,label0229,362
label0228,jmp,label0228,363
label022A,jmpi_eq,label0229,373
label022A,jmp,label022A,374
label0136,jmpi_eq,label0139,379
label0136,jmpi_eq,label0138,380
label0136,jmpi_eq,label0137,381
label0136,call,label0002,382
label0005,call,label00CF,385
label0005,call,label00DD,403
label0138,call,label00DC,416
label0138,call,label00DD,441
label0140,jmpi_eq,label0141,453
label014A,jmpi_eq,label014B,473
label0154,jmpi_eq,label0155,489
label00D0,jmpi_le,label00D0,527
label00D1,jmpi_gt,label00D2,532
label00D1,call,label029C,534
label00D1,jmp,label00D2,536
label00D7,jmpi_lt,label00D7,549
label00D7,jmpi_eq,label019A,550
label00D7,jmpi_eq,label00D5,551
label00D7,jmpi_gt,label00D2,558
label00D7,jmp,label00D5,559
label00D5,thread_stg,label00D3,568
label00D3,call,label00CF,577
label0109,jmpi_eq,label0109,586
label0109,thread_stg,label00D1,590
label019A,jmp,label0001,595
label00D8,jmpi_le,label00D8,604
label0002,switch_jmp,label0003,619
label0002,switch_jmp,label0004,619
label0003,call,label00DD,625
label0004,call,label00DC,629
label0004,jmp,label0005,630
