floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
3,101,10,1,10,1,trigger_event(1011); stop,5,"{""0x0080"": 5}"
3,1011,10,2,10,1,set_switch(28); stop,5,"{""0x00A0"": 4, ""0x0081"": 1}"
3,111,11,1,10,1,trigger_event(1111); stop,6,"{""0x0080"": 6}"
3,1111,11,2,10,1,trigger_event(1112); stop,6,"{""0x0080"": 6}"
3,1112,11,3,10,1,set_switch(6); set_switch(7); stop,6,"{""0x0080"": 4, ""0x0065"": 2}"
3,201,20,1,10,1,trigger_event(2011); stop,6,"{""0x0065"": 4, ""0x00A0"": 2}"
3,2011,20,2,10,1,trigger_event(2012); stop,11,"{""0x0043"": 6, ""0x0080"": 5}"
3,2012,20,3,10,1,set_switch(35); stop,4,"{""0x0081"": 4}"
3,211,21,1,10,1,trigger_event(2111); stop,4,"{""0x0043"": 4}"
3,2111,21,2,10,1,trigger_event(2112); stop,4,"{""0x0043"": 4}"
3,2112,21,3,10,1,trigger_event(2113); stop,6,"{""0x0043"": 6}"
3,2113,21,4,10,1,set_switch(5); stop,0,{}
3,301,30,1,10,1,trigger_event(3011); stop,1,"{""0x0081"": 1}"
3,3011,30,2,10,1,"construct_objects(room=30,group_or_wave=1); stop",9,"{""0x0080"": 8, ""0x0065"": 1}"
3,311,31,1,0,1,stop,2,"{""0x0081"": 2}"
3,321,32,1,150,1,set_switch(31); set_switch(32); stop,7,"{""0x0065"": 1, ""0x0081"": 1, ""0x00A0"": 1, ""0x0043"": 2, ""0x0080"": 2}"
3,330,33,1,0,1,stop,1,"{""0x0081"": 1}"
3,401,40,1,10,1,trigger_event(4011); stop,3,"{""0x00A0"": 3}"
3,4011,40,2,10,1,set_switch(8); set_switch(9); stop,4,"{""0x00A0"": 2, ""0x0065"": 2}"
3,402,40,4,10,1,trigger_event(4100); stop,4,"{""0x0065"": 1, ""0x0043"": 3}"
3,4100,40,5,10,1,set_switch(10); set_switch(11); stop,2,"{""0x0081"": 2}"
3,411,41,1,10,1,trigger_event(4111); stop,8,"{""0x0080"": 3, ""0x0043"": 3, ""0x0065"": 2}"
3,4111,41,2,10,1,trigger_event(4112); stop,4,"{""0x00A0"": 4}"
3,4112,41,3,10,1,set_switch(18); set_switch(19); stop,3,"{""0x0081"": 2, ""0x0065"": 1}"
3,421,42,1,0,1,trigger_event(4211); stop,5,"{""0x0080"": 5}"
3,4211,42,2,10,1,trigger_event(4212); stop,5,"{""0x0065"": 5}"
3,4212,42,3,10,1,trigger_event(4213); stop,10,"{""0x00A0"": 4, ""0x0043"": 6}"
3,4213,42,4,10,1,set_switch(29); set_switch(30); stop,3,"{""0x0081"": 3}"
3,501,50,1,10,1,trigger_event(5011); stop,6,"{""0x0043"": 5, ""0x00A0"": 1}"
3,5011,50,2,10,1,set_switch(17); set_switch(104); stop,6,"{""0x0043"": 5, ""0x0081"": 1}"
3,511,51,1,10,1,trigger_event(5111); stop,12,"{""0x0043"": 12}"
3,5111,51,2,10,1,set_switch(22); set_switch(23); set_switch(24); set_switch(25); stop,5,"{""0x00A0"": 3, ""0x0081"": 2}"
3,521,52,1,10,1,trigger_event(5211); stop,9,"{""0x0080"": 9}"
3,5211,52,2,1,1,trigger_event(5212); stop,8,"{""0x0043"": 8}"
3,5212,52,3,1,1,trigger_event(5213); stop,8,"{""0x00A0"": 4, ""0x0065"": 3, ""0x0080"": 1}"
3,5213,52,4,60,1,trigger_event(5214); stop,5,"{""0x0080"": 4, ""0x0081"": 1}"
