label,line,opcode,args
label0032,192,gettime,r47
label00B2,212,show_timer,
label002D,216,gettime,r47
label002D,219,winset_time,r48
label0053,234,gettime,r47
label0053,235,gettime,r49
label000D,254,show_timer,
label0043,258,gettime,r48
label0043,260,winset_time,r48
label0023,277,sync_register2,"... r241, 0x1 /* 1 */"
label0028,283,sync_register2,"... r242, 0x1 /* 1 */"
label002E,289,sync_register2,"... r243, 0x1 /* 1 */"
label0034,295,sync_register2,"... r244, 0x1 /* 1 */"
label001E,301,sync_register2,"... r241, 0x0 /* 0 */"
label0024,307,sync_register2,"... r242, 0x0 /* 0 */"
label0029,313,sync_register2,"... r243, 0x0 /* 0 */"
label002F,319,sync_register2,"... r244, 0x0 /* 0 */"
label0048,325,sync_register2,"... r236, 0x1 /* 1 */"
label0058,331,sync_register2,"... r237, 0x1 /* 1 */"
label0065,337,sync_register2,"... r238, 0x1 /* 1 */"
label0076,343,sync_register2,"... r239, 0x1 /* 1 */"
label0005,349,sync_register2,"... r236, 0x0 /* 0 */"
label0039,355,sync_register2,"... r237, 0x0 /* 0 */"
label0077,361,sync_register2,"... r238, 0x0 /* 0 */"
label0098,367,sync_register2,"... r239, 0x0 /* 0 */"
label004A,373,sync_register2,"... r232, 0x1 /* 1 */"
label005D,379,sync_register2,"... r233, 0x1 /* 1 */"
label0069,385,sync_register2,"... r234, 0x1 /* 1 */"
label007B,391,sync_register2,"... r235, 0x1 /* 1 */"
label004D,397,sync_register2,"... r227, 0x1 /* 1 */"
label0060,403,sync_register2,"... r228, 0x1 /* 1 */"
label006D,409,sync_register2,"... r229, 0x1 /* 1 */"
label007F,415,sync_register2,"... r231, 0x1 /* 1 */"
label00A4,537,sync_register2,"... r230, 0x1 /* 1 */"
label00A6,543,sync_register2,"... r231, 0x1 /* 1 */"
label00A8,549,sync_register2,"... r232, 0x1 /* 1 */"
label00AB,555,sync_register2,"... r233, 0x1 /* 1 */"
label008C,561,sync_register2,"... r230, 0x0 /* 0 */"
label008E,567,sync_register2,"... r231, 0x0 /* 0 */"
label0091,573,sync_register2,"... r232, 0x0 /* 0 */"
label0094,579,sync_register2,"... r233, 0x0 /* 0 */"
label001C,585,sync_register2,"... r85, 0x1 /* 1 */"
label001F,591,sync_register2,"... r86, 0x1 /* 1 */"
label0025,597,sync_register2,"... r87, 0x1 /* 1 */"
label002A,603,sync_register2,"... r88, 0x1 /* 1 */"
label0044,643,set,r253
label009E,775,switch_call,"r1, [label004B, label004E, label0056, label005B]"
label003A,804,switch_jmp,"r250, [label0083, label0084, label0085, label0086]"
label008A,945,item_create2,"r11-r22, r1"
label008A,947,item_delete_by_type,"r11-r13, r1-r12"
label0009,972,item_delete_by_type,"r11-r13, r24-r35"
label0009,974,item_create2,"r11-r22, r24"
label00A0,985,get_stackable_item_count,"r1-r4, r0"
label000A,1003,item_create2,"r11-r22, r11"
label0030,1106,set_quest_board_handler,"... 0x4 /* 4 */, label001D, ""ID関連デバック用"""
label001D,1117,switch_jmp,"r50, [label0046, label0004, label0050, label008F]"
label006F,1140,switch_jmp,"r50, [label004C, label0001]"
label0004,1191,get_chosen_item_id,r100
label0004,1195,get_item_info,"... r100, r50-r61"
label0068,1273,item_create2,"r10-r21, r10"
label0014,1311,item_create2,"r10-r21, r10"
start,1338,set_floor_handler,"... 0x0 /* 0 */, label0096"
label013B,1389,switch_jmp,"r1, [label0137, label0138, label0139]"
label0140,1471,switch_jmp,"r100, [label0142, label0141]"
label0143,1512,switch_jmp,"r100, [label0145, label0146, label0147]"
label0150,1711,set_quest_board_handler,"... 0x0 /* 0 */, label014F, ""「手作りチョコレート」"""
label0063,1771,item_create2,"r160-r171, r171"
label0156,1802,set,r255
label0158,1812,jmpi_eq,"r255, 0x00000001, label0001"
label015E,1841,switch_jmp,"r100, [label015F, label015F, label015F]"
label015F,1861,set_quest_board_handler,"... 0x0 /* 0 */, label0160, ""「ブロックチョコレート」"""
