source,opcode,target,line
label0064,thread_stg,label009F,32
label009F,compute_bezier_curve_point,label00B3,51
label009F,jmpi_eq,label0001,58
label009F,jmpi_eq,label009F,59
label00C2,thread_stg,label002E,76
label002E,compute_bezier_curve_point,label00B5,95
label002E,jmpi_eq,label0001,102
label002E,jmpi_eq,label002E,103
label000D,jmp_le,label000D,120
label00A4,call,label0002,146
label0085,call,label00BD,155
label00A6,call,label00CA,165
label003D,thread_stg,label002F,199
label00C8,jmpi_eq,label0001,207
label00C8,jmpi_eq,label0001,208
label00C8,jmpi_lt,label00C8,210
label00C8,jmpi_eq,label003E,211
label00C8,jmpi_eq,label0036,212
label0036,jmpi_gt,label002F,221
label0036,jmp,label005F,222
label0060,thread_stg,label0055,241
label000F,jmpi_eq,label0001,249
label000F,jmpi_eq,label0001,250
label000F,jmpi_lt,label000F,252
label000F,jmpi_eq,label003E,253
label000F,jmpi_eq,label004E,254
label004E,jmp_lt,label0055,263
label004E,jmp,label0081,264
label0010,jmpi_eq,label007D,423
label0010,jmpi_eq,label007D,424
label0010,jmp,label0010,425
label007D,jmpi_eq,label00A7,428
label007D,jmpi_eq,label00A7,429
label007D,jmp,label0010,430
label00A7,jmpi_eq,label0003,433
label00A7,jmpi_eq,label0003,434
label00A7,jmp,label0010,435
label0003,jmpi_eq,label00BB,438
label0003,jmpi_eq,label00BB,439
label0003,jmp,label0010,440
label0011,jmpi_eq,label0082,452
label0011,jmpi_eq,label0082,453
label0011,jmp,label0011,454
label0082,jmpi_eq,label00A9,457
label0082,jmpi_eq,label00A9,458
label0082,jmp,label0011,459
label00A9,jmpi_eq,label0006,462
label00A9,jmpi_eq,label0006,463
label00A9,jmp,label0011,464
label0006,jmpi_eq,label00BE,467
label0006,jmpi_eq,label00BE,468
label0006,jmp,label0011,469
label0017,jmpi_eq,label0088,481
label0017,jmpi_eq,label0088,482
label0017,jmp,label0017,483
label0088,jmpi_eq,label00AC,486
label0088,jmpi_eq,label00AC,487
label0088,jmp,label0017,488
label00AC,jmpi_eq,label0008,491
label00AC,jmpi_eq,label0008,492
label00AC,jmp,label0017,493
label0008,jmpi_eq,label00C4,496
label0008,jmpi_eq,label00C4,497
label0008,jmp,label0017,498
label001A,jmpi_eq,label008C,510
label001A,jmpi_eq,label008C,511
label001A,jmp,label001A,512
