floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0040,10,0,-16.313568115234375,3.0,-579.5118408203125,1.0,1.0,1.0,1,0,0
0,1,0x0040,10,0,-393.07318115234375,10.0,-12.964752197265625,9.183549615799121e-41,1.0000011920928955,1.0,0,0,0
0,2,0x0040,10,0,-458.60699462890625,10.0,-51.270660400390625,1.0,1.0,1.0,2,65536,10
0,3,0x0040,10,0,-430.19696044921875,10.0,-24.490447998046875,1.0,1.0,1.0,3,0,0
0,4,0x0000,10,0,0.995330810546875,0.0,-37.0010986328125,0.0,1.0,1.0,0,0,0
0,5,0x0000,10,0,3.0009307861328125,0.0,-23.99688720703125,1.000000238418579,1.0,1.0,0,0,0
0,6,0x0000,10,0,2.0015106201171875,0.0,-50.00386047363281,2.000002384185791,1.0,1.0,0,0,0
0,7,0x0000,10,0,4.9973907470703125,0.0,-61.99664306640625,3.0000007152557373,1.0,1.0,65536,10,0
0,8,0x0043,10,0,132.00314331054688,1.000000238418579,-265.002197265625,1.000000238418579,1.0,1.0,1,0,0
0,9,0x0045,10,0,-228.0,0.0,-2020.99951171875,-10.000004768371582,0.0,-30.000030517578125,0,65536,65536
0,10,0x0040,10,0,-41.000030517578125,0.0,42.37322998046875,1.0,1.0,1.0,4,0,0
0,11,0x0040,10,0,-479.21673583984375,8.781256675720215,-322.465576171875,1.0,1.0,1.0,5,0,0
0,12,0x0045,10,0,-228.0,0.0,-351.0015869140625,10.000006675720215,0.0,-1760.0010986328125,32768,0,0
0,13,0x0041,10,0,-561.88232421875,0.0,-406.8829345703125,1.0,1.0,1.0,0,0,0
0,14,0x0041,10,0,-547.8557739257812,0.0,-444.8822326660156,1.0,1.0,1.0,1,0,0
0,15,0x0041,10,0,-486.441650390625,0.0,-497.4501647949219,9.183549615799121e-41,1.0000011920928955,1.0,3,0,0
0,16,0x0041,10,0,-522.4052734375,0.0,-474.1882629394531,1.0,1.0,1.0,2,65536,10
0,17,0x0049,10,0,-34.49853515625,0.0,-384.4951171875,3.0000007152557373,1.0,1.0,1,0,0
0,18,0x0046,10,0,-393.0031433105469,0.0,-143.49981689453125,3.0000007152557373,1.0,1.0,1,0,0
0,19,0x0040,10,0,-355.17462158203125,0.0,-43.15193176269531,1.000000238418579,1.0,1.0,6,0,0
0,20,0x0047,10,0,-43.00239562988281,0.0,-118.00120544433594,3.0000007152557373,1.0,1.0,1,0,0
0,21,0x0048,10,0,26.000823974609375,0.0,-265.99810791015625,3.0000007152557373,1.0,1.0,1,0,0
0,22,0x0000,10,0,57.81005859375,0.0,-268.5472412109375,0.0,1.0,1.0,1,0,0
0,23,0x0000,10,0,66.769287109375,0.0,-252.3748779296875,1.000000238418579,1.0,1.0,1,0,0
0,24,0x0000,10,0,67.36819458007812,0.0,-284.9297180175781,2.000000476837158,1.0,1.0,1,0,0
0,25,0x0000,10,0,77.10488891601562,0.0,-269.2830505371094,3.0000007152557373,1.0,1.0,1,0,0
5,0,0x0003,1,0,0.0,0.0,50.0,745.0,0.0,-2380.0,49152,0,0
5,1,0x0003,2,0,0.0,0.0,50.0,-285.0,0.0,-1320.0,49152,0,0
5,2,0x00C2,10,0,0.0,0.0,-84.99996948242188,1.000000238418579,1.0,1.0,5,3,0
5,3,0x0092,10,0,20.0,0.0,0.0,-1.0,0.0,-1.0,16777216,0,0
5,4,0x0092,10,0,-20.0,0.0,6.103515625e-05,0.0,1.0,0.0,0,0,0
5,5,0x0092,10,0,-19.999969482421875,0.0,30.00006103515625,0.0,1.0,0.0,0,0,0
5,6,0x0092,10,0,20.000030517578125,0.0,30.0,-1.0,0.0,-1.0,16777216,0,0
5,7,0x0008,11,0,-0.5212899446487427,9.5367431640625e-07,-134.3983154296875,31.0,1.0,1.0,501,0,0
5,8,0x0008,11,0,-138.12908935546875,9.5367431640625e-07,-944.3693237304688,31.0,1.0,1.0,301,0,0
5,9,0x0008,11,0,-448.5796203613281,9.5367431640625e-07,-1104.8231201171875,31.0,1.0,1.0,511,0,0
5,10,0x0008,11,0,-448.5796203613281,9.5367431640625e-07,-1104.8231201171875,31.0,1.0,1.0,512,0,0
5,11,0x0008,11,0,-448.5796203613281,9.5367431640625e-07,-1104.8231201171875,31.0,1.0,1.0,513,0,0
5,12,0x0008,11,0,-448.5796203613281,9.5367431640625e-07,-1104.8231201171875,31.0,1.0,1.0,514,0,0
5,13,0x0008,11,0,-448.5796203613281,9.5367431640625e-07,-1104.8231201171875,31.0,1.0,1.0,515,0,0
5,14,0x0008,11,0,-448.5796203613281,9.5367431640625e-07,-1104.8231201171875,31.0,1.0,1.0,516,0,0
5,15,0x0008,11,0,-1436.298583984375,9.5367431640625e-07,-2148.889892578125,31.0,1.0,1.0,521,0,0
5,16,0x0008,11,0,-1036.6495361328125,9.5367431640625e-07,-2299.52001953125,31.0,1.0,1.0,221,0,0
5,17,0x0008,11,0,-846.236328125,9.5367431640625e-07,-1647.2379150390625,31.0,1.0,1.0,601,0,0
5,18,0x0008,11,0,-846.236328125,9.5367431640625e-07,-1647.2379150390625,31.0,1.0,1.0,701,0,0
5,19,0x0008,11,0,-695.8035888671875,9.5367431640625e-07,-1645.803955078125,31.0,1.0,1.0,702,0,0
5,20,0x0008,11,0,-399.9680480957031,9.5367431640625e-07,-1957.0921630859375,31.0,1.0,1.0,531,0,0
5,21,0x0008,11,0,354.81793212890625,9.5367431640625e-07,-1835.1575927734375,41.0,1.0,1.0,611,0,0
5,22,0x0008,11,0,354.3099060058594,9.5367431640625e-07,-2018.596923828125,41.0,1.0,1.0,711,0,0
5,23,0x0002,11,0,0.0,0.0,50.00001907348633,1.0,1.0,1.0,0,0,0
5,24,0x0000,11,0,-10.000005722045898,0.0,0.0,0.0,1.0,1.0,0,0,0
5,25,0x0000,11,0,10.000004768371582,0.0,0.0,1.000000238418579,1.0,1.0,0,0,0
5,26,0x0000,11,0,-25.000015258789062,0.0,15.000009536743164,2.000000476837158,1.0,1.0,0,0,0
5,27,0x0000,11,0,25.000009536743164,0.0,15.000004768371582,3.0000007152557373,1.0,1.0,0,0,0
5,28,0x0088,12,0,10.001953125,0.0,9.999038696289062,1.0,1.0,1.0,0,0,0
5,29,0x0088,12,0,-9.998046875,0.0,10.000961303710938,1.0,1.0,1.0,0,0,0
5,30,0x0088,12,0,30.0,0.0,-10.0,1.0,1.0,1.0,0,0,0
5,31,0x0088,12,0,-30.0,0.0,-10.0,1.0,1.0,1.0,0,0,0
5,32,0x0003,13,0,0.0048828125,0.0,50.0,-1540.0,0.0,-2150.0,16384,0,0
5,33,0x0003,14,0,0.0048828125,0.0,50.0,260.0,0.0,-175.0,36864,0,0
5,34,0x00C2,20,0,3.0517578125e-05,0.0,135.0,1.000000238418579,1.0,1.0,-1,3,0
5,35,0x0081,20,0,0.0,2.5999999046325684,0.0,1.0,1.0,1.0,250,0,4
5,36,0x00DC,21,0,-115.10003662109375,0.0,0.0001220703125,1.0,1.0,1.0,0,0,0
5,37,0x00DB,21,0,-105.10003662109375,0.0,30.000106811523438,1.0,1.0,1.0,0,0,0
5,38,0x00DB,21,0,-105.10003662109375,0.0,-19.999908447265625,1.0,1.0,1.0,0,0,0
5,39,0x000A,21,0,-39.9962158203125,0.0,40.00386047363281,-10.000004768371582,-85.00003814697266,-1.000000238418579,75,2,20
5,40,0x000A,21,0,39.99615478515625,0.0,-40.003875732421875,-10.000004768371582,-85.00003814697266,-1.000000238418579,75,2,20
5,41,0x0088,21,0,-0.10015869140625,0.0,-80.0,1.0,1.0,1.0,0,0,0
