label,line,opcode,args
start,28,set_floor_handler,"... 0x0 /* 0 */, label0096"
start,31,set_floor_handler,"... 0x4 /* 4 */, label0097"
start,34,set_floor_handler,"... 0x7 /* 7 */, label0098"
start,37,set_floor_handler,"... 0xA /* 10 */, label0099"
start,40,set_qt_success,label0258
start,41,set_qt_failure,label0259
label0096,83,switch_jmp,"r5, [label009A, label01FD]"
label00C8,154,jmpi_eq,"r253, 0x00000001, label00FC"
label00C8,155,jmpi_eq,"r254, 0x00000001, label00FA"
label0006,204,set_quest_board_handler,"... 0x0 /* 0 */, label00CA, ""Enemy Kill Count"""
label012D,222,jmpi_eq,"r253, 0x00000001, label012E"
label012D,223,jmpi_eq,"r254, 0x00000001, label012E"
label0137,243,jmpi_eq,"r253, 0x00000001, label0138"
label0137,244,jmpi_eq,"r254, 0x00000001, label0138"
label0141,274,jmpi_eq,"r253, 0x00000001, label0142"
label0141,275,jmpi_eq,"r254, 0x00000001, label0142"
label014B,305,jmpi_eq,"r253, 0x00000001, label014C"
label014B,306,jmpi_eq,"r254, 0x00000001, label014C"
label0155,334,jmpi_eq,"r253, 0x00000001, label0156"
label0155,335,jmpi_eq,"r254, 0x00000001, label0156"
label015F,367,jmpi_eq,"r253, 0x00000001, label0160"
label015F,368,jmpi_eq,"r254, 0x00000001, label0160"
label00FA,405,jmpi_eq,"r255, 0x00000001, label00FB"
label00FA,416,set,r255
label00FA,419,sync_register2,"... r99, r99"
label0042,468,read_switch_flag_on_floor,r60-r62
label0019,500,switch_call,"r250, [label003D, label003E, label003F, label0040]"
label003D,507,sync_register2,"... r164, 0x1 /* 1 */"
label003E,513,sync_register2,"... r165, 0x1 /* 1 */"
label003F,519,sync_register2,"... r166, 0x1 /* 1 */"
label0040,525,sync_register2,"... r167, 0x1 /* 1 */"
label000C,563,set_switch_flag_sync,"... 0x4 /* 4 */, 0x64 /* 100 */"
label000C,567,gettime,r102
label02BC,595,jmpi_eq,"r254, 0x00000001, label0001"
label02BD,601,jmpi_eq,"r254, 0x00000001, label0001"
label02BD,605,show_timer,
label02BD,607,gettime,r104
label02BD,611,winset_time,r106
label02BF,628,jmpi_eq,"r253, 0x00000001, label0001"
label02C0,645,jmpi_eq,"r253, 0x00000001, label02C1"
label02C2,656,sync_register2,"... r108, 0x1 /* 1 */"
label02C3,662,sync_register2,"... r108, 0x1 /* 1 */"
label02EE,668,jmpi_eq,"r254, 0x00000001, label0001"
label02EE,676,set,r253
label02EF,686,hide_timer,
label01F5,707,jmpi_eq,"r253, 0x00000001, label0001"
label01F5,708,jmpi_eq,"r254, 0x00000001, label01F8"
label01F5,716,switch_jmp,"r60, [label01F6, label01F7]"
label01F6,722,sync_register2,"... r254, 0x1 /* 1 */"
label01FA,741,jmpi_eq,"r254, 0x00000000, label01FA"
label0320,778,jmpi_eq,"r254, 0x00000001, label0001"
label0259,787,sync_register2,"... r99, r99"
label0258,791,switch_jmp,"r90, [label028B, label028C, label028D, label028E]"
label028B,799,pl_add_meseta2,... 0xFA0 /* 4000 */
label028C,808,pl_add_meseta2,... 0x1F40 /* 8000 */
label028D,817,pl_add_meseta2,... 0x3E80 /* 16000 */
label028E,826,pl_add_meseta2,... 0x7D00 /* 32000 */
label0003,847,switch_jmp,"r192, [label0004, label0005]"
