floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
4,101,10,1,0,1,trigger_event(102); stop,4,"{""0x0063"": 4}"
4,102,10,2,0,1,trigger_event(103); stop,4,"{""0x0063"": 4}"
4,103,10,3,0,1,trigger_event(104); stop,4,"{""0x0063"": 4}"
4,104,10,4,0,1,trigger_event(105); stop,4,"{""0x0061"": 4}"
4,105,10,5,0,1,trigger_event(106); stop,2,"{""0x0060"": 2}"
4,106,10,6,0,1,trigger_event(107); stop,5,"{""0x0063"": 4, ""0x0062"": 1}"
4,107,10,7,0,1,trigger_event(108); stop,8,"{""0x0061"": 8}"
4,108,10,8,0,1,trigger_event(109); stop,6,"{""0x0061"": 4, ""0x0064"": 2}"
4,109,10,9,0,1,trigger_event(110); stop,4,"{""0x0062"": 4}"
4,110,10,10,0,1,trigger_event(111); stop,5,"{""0x0064"": 4, ""0x0060"": 1}"
4,111,10,11,0,1,trigger_event(112); stop,12,"{""0x0063"": 12}"
4,112,10,12,0,1,trigger_event(113); stop,4,"{""0x0060"": 4}"
4,113,10,13,0,1,trigger_event(114); stop,4,"{""0x0063"": 3, ""0x0062"": 1}"
4,114,10,14,0,1,trigger_event(115); stop,5,"{""0x0060"": 2, ""0x0062"": 2, ""0x0064"": 1}"
4,115,10,15,0,1,set_switch(1); stop,6,"{""0x0063"": 3, ""0x0061"": 3}"
4,201,11,1,0,1,trigger_event(202); stop,4,"{""0x0064"": 4}"
4,202,11,2,0,1,trigger_event(203); stop,6,"{""0x0060"": 2, ""0x0062"": 1, ""0x0061"": 3}"
4,203,11,3,0,1,trigger_event(204); stop,6,"{""0x0062"": 2, ""0x0063"": 4}"
4,204,11,4,0,1,trigger_event(205); stop,6,"{""0x0060"": 2, ""0x0063"": 4}"
4,205,11,5,0,1,trigger_event(206); stop,6,"{""0x0064"": 2, ""0x0063"": 4}"
4,206,11,6,0,1,trigger_event(207); stop,8,"{""0x0061"": 8}"
4,207,11,7,0,1,trigger_event(208); stop,6,"{""0x0060"": 3, ""0x0064"": 3}"
4,208,11,8,0,1,set_switch(2); stop,5,"{""0x0062"": 5}"
4,301,20,1,0,1,trigger_event(302); stop,6,"{""0x0063"": 6}"
4,302,20,2,0,1,trigger_event(303); stop,6,"{""0x0061"": 6}"
4,303,20,3,0,1,trigger_event(304); stop,3,"{""0x0062"": 3}"
4,304,20,4,0,1,trigger_event(305); stop,6,"{""0x0064"": 2, ""0x0060"": 1, ""0x0061"": 3}"
4,305,20,5,0,1,trigger_event(306); stop,6,"{""0x0063"": 3, ""0x0062"": 3}"
4,306,20,6,0,1,trigger_event(307); set_switch(201); stop,10,"{""0x0063"": 10}"
4,307,20,7,0,1,trigger_event(308); stop,3,"{""0x0064"": 3}"
4,308,20,8,0,1,trigger_event(309); stop,5,"{""0x0061"": 2, ""0x0063"": 3}"
4,309,20,9,0,1,trigger_event(310); stop,4,"{""0x0062"": 3, ""0x0064"": 1}"
4,310,20,10,0,1,trigger_event(311); stop,6,"{""0x0060"": 3, ""0x0061"": 3}"
4,311,20,11,0,1,trigger_event(312); stop,5,"{""0x0063"": 5}"
4,312,20,12,0,1,set_switch(3); stop,5,"{""0x0063"": 5}"
4,401,12,1,0,1,trigger_event(402); stop,3,"{""0x0063"": 3}"
4,402,12,2,0,1,trigger_event(403); set_switch(4); stop,4,"{""0x0060"": 4}"
4,403,12,3,0,1,trigger_event(404); stop,5,"{""0x0061"": 1, ""0x0062"": 4}"
4,404,12,4,0,1,trigger_event(405); set_switch(5); stop,5,"{""0x0063"": 4, ""0x0061"": 1}"
4,405,12,5,0,1,trigger_event(406); stop,6,"{""0x0060"": 6}"
4,406,12,6,0,1,trigger_event(407); set_switch(6); stop,3,"{""0x0062"": 1, ""0x0064"": 2}"
4,407,12,7,0,1,trigger_event(408); stop,8,"{""0x0061"": 8}"
4,408,12,8,0,1,set_switch(7); stop,8,"{""0x0063"": 3, ""0x0061"": 2, ""0x0060"": 1, ""0x0062"": 1, ""0x0064"": 1}"
7,101,40,1,0,1,trigger_event(102); stop,5,"{""0x0080"": 5}"
7,102,40,2,0,1,trigger_event(103); stop,6,"{""0x0080"": 5, ""0x0085"": 1}"
7,103,40,3,0,1,trigger_event(104); stop,4,"{""0x0082"": 4}"
7,104,40,4,0,1,trigger_event(105); stop,1,"{""0x0084"": 1}"
7,105,40,5,0,1,trigger_event(106); stop,4,"{""0x0083"": 4}"
7,106,40,6,0,1,trigger_event(107); stop,3,"{""0x0082"": 2, ""0x0084"": 1}"
7,107,40,7,0,1,trigger_event(108); stop,3,"{""0x0081"": 3}"
7,108,40,8,0,1,trigger_event(109); stop,8,"{""0x0080"": 8}"
7,109,40,9,0,1,trigger_event(110); stop,4,"{""0x0081"": 1, ""0x0082"": 3}"
7,110,40,10,0,1,set_switch(1); set_switch(10); stop,9,"{""0x0083"": 8, ""0x0084"": 1}"
7,201,50,1,0,1,trigger_event(202); stop,5,"{""0x0083"": 5}"
7,202,50,2,0,1,trigger_event(203); stop,2,"{""0x0081"": 2}"
7,203,50,3,0,1,trigger_event(204); stop,2,"{""0x0081"": 2}"
7,204,50,4,0,1,trigger_event(205); stop,4,"{""0x0081"": 4}"
7,205,50,5,0,1,trigger_event(206); stop,4,"{""0x0084"": 2, ""0x0082"": 2}"
7,206,50,6,0,1,trigger_event(207); stop,11,"{""0x0080"": 10, ""0x0085"": 1}"
7,207,50,7,0,1,trigger_event(208); stop,5,"{""0x0083"": 4, ""0x0084"": 1}"
7,208,50,8,0,1,trigger_event(209); stop,6,"{""0x0080"": 2, ""0x0081"": 1, ""0x0082"": 3}"
7,209,50,9,0,1,trigger_event(210); stop,7,"{""0x0083"": 4, ""0x0084"": 1, ""0x0081"": 2}"
7,210,50,10,0,1,trigger_event(211); stop,11,"{""0x0080"": 10, ""0x0085"": 1}"
7,211,50,11,0,1,trigger_event(212); stop,6,"{""0x0082"": 6}"
7,212,50,12,0,1,set_switch(2); stop,6,"{""0x0081"": 6}"
7,301,51,1,0,1,trigger_event(302); stop,3,"{""0x0081"": 3}"
7,302,51,2,0,1,trigger_event(303); stop,6,"{""0x0081"": 3, ""0x0080"": 2, ""0x0085"": 1}"
7,303,51,3,0,1,trigger_event(304); stop,5,"{""0x0082"": 4, ""0x0084"": 1}"
7,304,51,4,0,1,trigger_event(305); stop,7,"{""0x0083"": 6, ""0x0082"": 1}"
7,305,51,5,0,1,trigger_event(306); stop,5,"{""0x0082"": 4, ""0x0081"": 1}"
7,306,51,6,0,1,trigger_event(307); stop,6,"{""0x0083"": 3, ""0x0080"": 3}"
7,307,51,7,0,1,trigger_event(308); stop,14,"{""0x0080"": 6, ""0x0085"": 1, ""0x0083"": 4, ""0x0082"": 2, ""0x0081"": 1}"
7,308,51,8,0,1,set_switch(3); stop,8,"{""0x0081"": 8}"
10,101,20,1,0,1,trigger_event(102); stop,3,"{""0x00A4"": 3}"
10,102,20,2,0,1,trigger_event(103); stop,5,"{""0x00A6"": 5}"
10,103,20,3,0,1,trigger_event(104); stop,5,"{""0x00A6"": 5}"
10,104,20,4,0,1,trigger_event(105); stop,5,"{""0x00A6"": 5}"
10,105,20,5,0,1,trigger_event(106); stop,5,"{""0x00A7"": 1, ""0x00A8"": 4}"
10,106,20,6,0,1,trigger_event(107); stop,2,"{""0x00A1"": 2}"
10,107,20,7,0,1,trigger_event(108); stop,2,"{""0x00A5"": 2}"
10,108,20,8,0,1,trigger_event(109); stop,6,"{""0x00A8"": 4, ""0x00A1"": 1, ""0x00A4"": 1}"
10,109,20,9,0,1,trigger_event(110); stop,5,"{""0x00A2"": 4, ""0x00A3"": 1}"
10,110,20,10,0,1,trigger_event(111); stop,7,"{""0x00A6"": 6, ""0x00A5"": 1}"
10,111,20,11,0,1,trigger_event(112); stop,7,"{""0x00A7"": 4, ""0x00A4"": 1, ""0x00A6"": 2}"
10,112,20,12,0,1,set_switch(1); stop,7,"{""0x00A2"": 3, ""0x00A3"": 1, ""0x00A6"": 2, ""0x00A1"": 1}"
10,201,30,1,0,1,trigger_event(202); stop,6,"{""0x00A7"": 3, ""0x00A8"": 2, ""0x00A4"": 1}"
10,202,30,2,0,1,trigger_event(203); stop,6,"{""0x00A6"": 5, ""0x00A5"": 1}"
10,203,30,3,0,1,trigger_event(204); stop,5,"{""0x00A4"": 5}"
10,204,30,4,0,1,trigger_event(205); stop,5,"{""0x00A1"": 5}"
10,205,30,5,0,1,trigger_event(206); stop,5,"{""0x00A5"": 5}"
10,206,30,6,0,1,set_switch(2); stop,6,"{""0x00A2"": 5, ""0x00A3"": 1}"
10,301,40,1,0,1,trigger_event(302); stop,5,"{""0x00A6"": 5}"
10,302,40,2,0,1,trigger_event(303); stop,6,"{""0x00A1"": 4, ""0x00A4"": 2}"
10,303,40,3,0,1,trigger_event(304); stop,9,"{""0x00A6"": 6, ""0x00A5"": 2, ""0x00A1"": 1}"
10,304,40,4,0,1,trigger_event(305); stop,10,"{""0x00A7"": 3, ""0x00A8"": 6, ""0x00A4"": 1}"
10,305,40,5,0,1,trigger_event(306); stop,8,"{""0x00A5"": 8}"
10,306,40,6,0,1,trigger_event(307); stop,10,"{""0x00A1"": 4, ""0x00A4"": 3, ""0x00A6"": 3}"
10,307,40,7,0,1,trigger_event(308); stop,11,"{""0x00A7"": 5, ""0x00A6"": 6}"
10,308,40,8,0,1,trigger_event(309); stop,15,"{""0x00A6"": 15}"
10,309,40,9,0,1,trigger_event(310); stop,8,"{""0x00A4"": 8}"
10,310,40,10,0,1,trigger_event(311); stop,6,"{""0x00A6"": 3, ""0x00A8"": 3}"
10,311,40,11,0,1,trigger_event(312); stop,6,"{""0x00A5"": 2, ""0x00A4"": 2, ""0x00A1"": 2}"
