label,line,instructions
label007F,18,15
label00EB,35,25
label0120,62,15
label003B,79,25
label0121,106,6
label0076,114,1
label000F,117,4
label0131,123,8
label012B,133,8
label00F2,143,7
label00B9,152,7
label00F6,161,7
label012E,170,5
label0002,177,5
label011C,184,5
label0048,191,9
label003C,202,1
label0129,205,8
label0043,215,8
label0049,225,2
label0077,229,2
label0078,233,9
label0069,244,1
label0011,247,8
label005E,257,8
label0079,267,2
label00B6,271,2
label0038,275,4
label003D,281,4
label0044,287,4
label004A,293,4
label0033,299,4
label0039,305,4
label003E,311,4
label0045,317,4
label0065,323,4
label0080,329,4
label00A5,335,4
label00BA,341,4
label0005,347,4
label0051,353,4
label00BB,359,4
label0100,365,4
label0012,371,5
label00B3,378,3
label00F7,383,3
label0003,388,3
label011A,393,5
label0113,400,4
label0117,406,4
label011B,412,4
label011D,418,4
label00EC,424,4
label00EF,430,4
label00F3,436,4
label00F8,442,4
label002D,448,4
label0034,454,4
label003A,460,4
label003F,466,4
label0035,472,6
label0016,480,3
label001D,485,3
label0023,490,3
label012F,495,7
label005F,504,7
label00C1,513,2
label00A6,517,2
label00AD,521,16
label0017,539,3
label0101,544,2
label0029,548,3
label0111,553,2
label0040,557,3
label011E,562,2
label0059,566,3
label0130,571,2
label00AE,575,6
label007A,583,5
label0081,590,5
label0090,597,5
label004B,604,1
label0089,607,4
label0091,613,4
label0098,619,4
label00A2,625,4
label010C,631,12
label006A,645,4
label0070,651,4
label007B,657,4
label008A,663,4
label0052,669,2
label00CB,673,3
label00CF,678,3
label00D4,683,3
label00D9,688,3
label00C5,693,3
label0053,698,3
label005A,703,5
label0006,710,3
label0054,715,3
label00BC,720,3
label0018,725,1
label0055,728,5
label0036,735,3
label0019,740,4
label0102,746,2
label00C6,750,5
label00B7,757,3
label00BD,762,3
label00C2,767,3
label0071,772,2
label001F,776,11
label0103,789,3
label00E6,794,22
label0041,818,2
label0008,822,20
label0099,844,3
label010F,849,2
label0009,853,17
label0024,872,4
label004C,878,6
label0037,886,11
label00A7,899,16
label004D,917,3
label0062,922,4
label00DA,928,5
label00B8,935,7
label00ED,944,3
label1388,949,2
start,953,31
label00D0,986,6
label0001,994,1
label00EE,997,7
label002E,1006,50
label00E7,1058,12
label000A,1072,1
label0014,1075,8
label0107,1085,3
label00D5,1090,9
label0108,1101,9
label00AF,1112,9
label000B,1123,9
label001E,1134,1
label0064,1137,7
label0046,1146,7
label004E,1155,7
label0056,1164,7
label005B,1173,7
label00BE,1182,20
label0104,1204,60
label0122,1266,7
label00C7,1275,3
label00DB,1280,3
label00F9,1285,8
label00FD,1295,6
label006E,1303,12
label00B0,1318,70
label00E8,1390,29
label0072,1421,5
label00A8,1428,32
label00CC,1462,5
label00E3,1469,5
label00F4,1476,5
label0109,1483,5
label0114,1490,5
label0123,1497,5
label0132,1504,5
label000D,1511,5
label0020,1518,5
label002F,1525,5
label0092,1532,5
label00B1,1539,5
label00C3,1546,5
label00CD,1553,5
label00E4,1560,5
