floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
6,21,2,1,1,1,stop,1,"{""0x0033"": 1}"
6,31,3,1,150,1,trigger_event(311); stop,2,"{""0x00D5"": 2}"
6,311,3,2,60,1,trigger_event(312); stop,3,"{""0x00D5"": 2, ""0x00D7"": 1}"
6,312,3,3,10,1,trigger_event(313); stop,2,"{""0x00D5"": 2}"
6,313,3,4,10,1,set_switch(13); set_switch(16); stop,4,"{""0x00D5"": 3, ""0x00D7"": 1}"
6,32,3,5,220,1,trigger_event(321); stop,1,"{""0x00D7"": 1}"
6,321,3,6,10,1,trigger_event(322); stop,2,"{""0x00D7"": 2}"
6,322,3,7,100,1,stop,3,"{""0x00D7"": 3}"
6,41,4,1,10,1,trigger_event(411); stop,4,"{""0x00D5"": 4}"
6,411,4,2,100,1,set_switch(14); set_switch(15); stop,3,"{""0x00D5"": 2, ""0x00D7"": 1}"
6,42,4,3,1,1,stop,2,"{""0x00D7"": 2}"
6,43,4,4,1,1,stop,1,"{""0x00D5"": 1}"
6,61,6,1,1,1,set_switch(12); stop,5,"{""0x00D5"": 5}"
6,151,15,1,10,1,trigger_event(151011); trigger_event(151021); stop,3,"{""0x00D5"": 3}"
6,151011,15,2,60,1,trigger_event(151012); stop,3,"{""0x00D5"": 2, ""0x00D7"": 1}"
6,151012,15,3,10,1,set_switch(3); set_switch(4); set_switch(5); set_switch(7); set_switch(11); stop,3,"{""0x00D5"": 3}"
6,151021,15,4,200,1,stop,3,"{""0x00D7"": 1, ""0x00D9"": 2}"
6,81,8,1,1,1,stop,1,"{""0x0033"": 1}"
7,11,1,1,1,1,stop,1,"{""0x0033"": 1}"
7,21,2,1,1,1,trigger_event(21011); trigger_event(21021); stop,5,"{""0x00D5"": 5}"
7,21011,2,2,60,1,trigger_event(21012); stop,3,"{""0x00D5"": 3}"
7,21012,2,3,10,1,set_switch(3); set_switch(4); set_switch(5); stop,3,"{""0x00D5"": 3}"
7,21021,2,4,150,1,trigger_event(221); stop,2,"{""0x00D9"": 2}"
7,23,2,5,1,1,stop,1,"{""0x00D7"": 1}"
7,31,3,1,1,1,stop,2,"{""0x00D5"": 2}"
7,32,3,2,1,1,stop,2,"{""0x00D7"": 2}"
7,41,4,1,1,1,stop,1,"{""0x0033"": 1}"
7,51,5,13,10,1,set_switch(6); set_switch(7); set_switch(102); stop,1,"{""0x00D6"": 1}"
7,52,5,1,10,1,trigger_event(521); stop,1,"{""0x00D5"": 1}"
7,521,5,2,10,1,trigger_event(522); stop,1,"{""0x00D5"": 1}"
7,522,5,3,60,1,stop,1,"{""0x00D5"": 1}"
7,53,5,4,10,1,trigger_event(531); stop,1,"{""0x00D5"": 1}"
