label,line,instructions
start,24,24
label0001,50,1
label000A,53,1
label000B,56,4
label0096,62,2
label009A,66,32
label0097,100,6
label0098,108,6
label0099,116,6
label00AA,124,6
label00C8,132,4
label0006,139,36
label00C9,177,9
label00FA,188,21
label0105,211,5
label0106,218,5
label0107,225,16
label0190,243,1
label00FB,246,7
label00FC,255,19
label00FD,276,5
label00CA,283,4
label012D,289,13
label012E,305,9
label0137,316,11
label0138,330,11
label0141,343,13
label0142,359,13
label014B,374,13
label014C,390,13
label0155,405,21
label0156,429,11
label015F,442,13
label0160,458,7
label0086,467,5
label0042,475,15
label0002,493,5
label00D8,500,5
label0019,507,7
label003D,516,4
label003E,522,4
label003F,528,4
label0040,534,4
label003C,540,6
label0077,548,3
label0079,553,3
label0081,558,3
label000C,563,23
label00DC,588,7
label00DD,597,7
label02BC,606,3
label02BD,611,21
label02BE,634,3
label02BF,639,12
label02C0,653,5
label02C1,660,3
label02C2,665,4
label02C3,671,5
label02EE,678,16
label02EF,696,5
label02F0,703,12
label01F5,717,11
label01F6,731,5
label01F7,738,2
label01F8,742,4
label01F9,748,1
label01FA,751,9
label01FB,762,1
label01FC,765,11
label01FD,778,8
label0320,788,5
label0259,796,3
label0191,801,1
label0258,804,1
label028B,807,7
label028C,816,7
label028D,825,7
label028E,834,7
label028F,843,8
label0003,853,8
label0004,863,5
label0005,870,5
