floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0000,10,0,0.995330810546875,0.0,-37.0010986328125,0.0,1.0,1.0,0,0,0
0,1,0x0000,10,0,3.0009307861328125,0.0,-23.99688720703125,1.000000238418579,1.0,1.0,0,0,0
0,2,0x0000,10,0,2.0015106201171875,0.0,-50.00386047363281,2.000002384185791,1.0,1.0,0,0,0
0,3,0x0000,10,0,5.0,0.0,-62.0,3.0,1.0,1.0,0,10,0
0,4,0x0047,10,0,-43.00239562988281,0.0,-118.00120544433594,3.0000007152557373,1.0,1.0,1,0,0
0,5,0x0048,10,0,26.000823974609375,0.0,-265.99810791015625,3.0000007152557373,1.0,1.0,1,0,0
0,6,0x0040,10,0,-41.000030517578125,0.0,42.37322998046875,1.0,1.0,1.0,4,0,0
0,7,0x0000,10,0,57.81005859375,0.0,-268.5472412109375,0.0,1.0,1.0,1,0,0
0,8,0x0000,10,0,66.769287109375,0.0,-252.3748779296875,1.000000238418579,1.0,1.0,1,0,0
0,9,0x0000,10,0,67.36819458007812,0.0,-284.9297180175781,2.000000476837158,1.0,1.0,1,0,0
0,10,0x0000,10,0,77.10488891601562,0.0,-269.2830505371094,3.0000007152557373,1.0,1.0,1,0,0
0,11,0x0043,10,0,132.00314331054688,1.0,-265.002197265625,1.000000238418579,1.0,1.0,1,0,0
0,12,0x0049,10,0,-34.49853515625,0.0,-384.4951171875,3.0000007152557373,1.0,1.0,1,0,0
0,13,0x0045,10,0,-228.0,0.0,-351.0015869140625,10.000006675720215,0.0,-1760.0010986328125,32768,0,0
0,14,0x0045,10,0,-228.0,0.0,-2020.99951171875,-10.000004768371582,0.0,-30.000030517578125,0,65536,65536
0,15,0x0040,10,0,-16.313568115234375,3.0,-579.5118408203125,1.0,1.0,1.0,1,0,0
0,16,0x0041,10,0,-561.88232421875,0.0,-406.8829345703125,1.0,1.0,1.0,0,0,0
0,17,0x0041,10,0,-547.8557739257812,0.0,-444.8822326660156,1.0,1.0,1.0,1,0,0
0,18,0x0041,10,0,-522.4052734375,0.0,-474.1882629394531,1.0,1.0,1.0,2,65536,10
0,19,0x0041,10,0,-486.441650390625,0.0,-497.4501647949219,9.183549615799121e-41,1.0000011920928955,1.0,3,0,0
0,20,0x0040,10,0,-479.21673583984375,9.0,-322.465576171875,1.0,1.0,1.0,5,0,0
0,21,0x0046,10,0,-393.0031433105469,0.0,-143.49981689453125,3.0000007152557373,1.0,1.0,1,0,0
0,22,0x0040,10,0,-458.60699462890625,10.0,-51.270660400390625,1.0,1.0,1.0,2,65536,10
0,23,0x0040,10,0,-430.19696044921875,10.0,-24.490447998046875,1.0,1.0,1.0,3,0,0
0,24,0x0040,10,0,-393.07318115234375,10.0,-12.964752197265625,9.183549615799121e-41,1.0000011920928955,1.0,0,0,0
0,25,0x0040,10,0,-355.17462158203125,0.0,-43.15193176269531,1.000000238418579,1.0,1.0,6,0,0
1,0,0x0000,10,0,-345.5566101074219,0.0,391.28887939453125,0.0,1.0,1.0,0,0,0
1,1,0x0000,10,0,-334.3831481933594,0.0,415.5661926269531,1.0,1.0,1.0,0,0,0
1,2,0x0000,10,0,-356.7663269042969,0.0,364.2165832519531,2.0,1.0,1.0,0,0,0
1,3,0x0000,10,0,-367.299560546875,0.0,403.7162780761719,3.0,1.0,1.0,0,0,0
1,4,0x0082,10,0,-196.55606079101562,9.0,187.05270385742188,1.0,0.0,0.0,100,0,1
1,5,0x008B,10,0,-170.66995239257812,4.0,224.26791381835938,1.0,1.0,1.0,66,0,0
1,6,0x0386,10,0,94.55465698242188,4.85722541809082,-224.68734741210938,1.0,1.0,1.0,0,0,0
1,7,0x0386,10,0,107.27758026123047,9.931958198547363,-192.88002014160156,1.0,1.0,1.0,0,0,0
1,8,0x0386,10,0,122.12100219726562,9.603401184082031,-171.67514038085938,1.0,1.0,1.0,0,0,0
1,9,0x0003,10,0,-362.38494873046875,0.0,-288.9214172363281,2675.0,0.0,-200.0,32768,0,0
1,10,0x0082,10,0,-271.3041687011719,0.0,-121.59706115722656,3.0,0.0,0.0,1,0,0
1,11,0x0082,10,0,-198.7540740966797,0.0,-221.73956298828125,3.0,0.0,0.0,1,0,0
1,12,0x0386,10,0,99.2280502319336,11.21473503112793,155.16416931152344,1.0,1.0,1.0,0,0,0
1,13,0x0386,10,0,72.45820617675781,9.85824203491211,194.14271545410156,1.0,1.0,1.0,0,0,0
1,14,0x0301,10,0,-108.84400939941406,0.0,-40.691932678222656,2.0,2.0,2.0,2,0,0
1,15,0x0301,10,0,-8.47530460357666,0.0,-56.62347412109375,1.0,1.0,1.0,0,0,0
1,16,0x0301,10,0,-249.04156494140625,0.0,-50.250858306884766,1.0,1.0,1.0,2,0,0
1,17,0x0301,10,0,-92.91246795654297,1.419198989868164,99.50562286376953,1.0,1.0,1.0,1,0,0
1,18,0x0008,10,0,-166.1975555419922,5.0,96.31932067871094,50.0,0.0,0.0,101,0,0
1,19,0x0386,30,0,15.746807098388672,0.0,-213.9737091064453,1.0,1.0,1.0,0,0,0
