floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
5,231,23,1,0,1,trigger_event(232); stop,3,"{""0x0062"": 3}"
5,232,23,2,0,1,trigger_event(233); stop,3,"{""0x0062"": 3}"
5,233,23,3,0,1,trigger_event(234); stop,4,"{""0x0061"": 4}"
5,234,23,4,0,1,trigger_event(235); stop,4,"{""0x0063"": 4}"
5,235,23,5,0,1,set_switch(10); stop,5,"{""0x0065"": 1, ""0x0063"": 4}"
5,401,40,1,0,1,trigger_event(402); stop,3,"{""0x0063"": 3}"
5,402,40,2,0,1,trigger_event(403); stop,4,"{""0x0063"": 4}"
5,403,40,3,0,1,trigger_event(404); stop,5,"{""0x0063"": 3, ""0x0061"": 2}"
5,404,40,4,0,1,set_switch(20); stop,3,"{""0x0064"": 2, ""0x0061"": 1}"
5,241,24,1,0,1,trigger_event(242); stop,4,"{""0x0062"": 2, ""0x0061"": 2}"
5,242,24,2,0,1,trigger_event(243); stop,4,"{""0x0061"": 4}"
5,243,24,3,0,1,trigger_event(244); stop,4,"{""0x0063"": 4}"
5,244,24,4,0,1,trigger_event(245); stop,5,"{""0x0063"": 5}"
5,245,24,5,0,1,trigger_event(246); stop,3,"{""0x0062"": 3}"
5,246,24,6,0,1,trigger_event(247); stop,3,"{""0x0063"": 3}"
5,247,24,7,0,1,set_switch(30); stop,2,"{""0x0065"": 2}"
5,611,61,1,0,1,trigger_event(612); stop,3,"{""0x0063"": 3}"
5,612,61,2,0,1,trigger_event(613); stop,3,"{""0x0061"": 3}"
5,613,61,3,0,1,trigger_event(614); stop,3,"{""0x0064"": 3}"
5,614,61,4,0,1,trigger_event(615); stop,4,"{""0x0063"": 4}"
5,615,61,5,0,1,set_switch(40); stop,3,"{""0x0063"": 3}"
5,321,32,1,0,1,trigger_event(322); stop,3,"{""0x0063"": 3}"
5,322,32,2,0,1,trigger_event(323); stop,4,"{""0x0063"": 4}"
5,323,32,3,0,1,trigger_event(324); stop,3,"{""0x0063"": 3}"
5,324,32,4,0,1,set_switch(50); stop,3,"{""0x0063"": 3}"
5,711,71,1,0,1,trigger_event(712); stop,3,"{""0x0063"": 3}"
5,712,71,2,0,1,trigger_event(713); stop,2,"{""0x0064"": 2}"
5,713,71,3,0,1,trigger_event(714); stop,3,"{""0x0065"": 3}"
5,714,71,4,0,1,trigger_event(715); stop,3,"{""0x0065"": 2, ""0x0062"": 1}"
5,715,71,5,0,1,trigger_event(716); stop,4,"{""0x0062"": 2, ""0x0061"": 2}"
5,716,71,6,0,1,trigger_event(717); stop,5,"{""0x0064"": 3, ""0x0063"": 2}"
5,717,71,7,0,1,set_switch(60); stop,6,"{""0x0063"": 1, ""0x0061"": 2, ""0x0062"": 1, ""0x0065"": 2}"
