label,line,opcode,args
label0144,250,gettime,r47
label049A,270,show_timer,
label0130,274,gettime,r47
label0130,277,winset_time,r48
label01DE,292,gettime,r47
label01DE,293,gettime,r49
label004A,312,show_timer,
label017B,316,gettime,r48
label017B,318,winset_time,r48
label00FD,335,sync_register2,"... r241, 0x1 /* 1 */"
label0111,341,sync_register2,"... r242, 0x1 /* 1 */"
label0131,347,sync_register2,"... r243, 0x1 /* 1 */"
label0146,353,sync_register2,"... r244, 0x1 /* 1 */"
label00E3,359,sync_register2,"... r241, 0x0 /* 0 */"
label00FE,365,sync_register2,"... r242, 0x0 /* 0 */"
label0112,371,sync_register2,"... r243, 0x0 /* 0 */"
label0132,377,sync_register2,"... r244, 0x0 /* 0 */"
label0199,383,sync_register2,"... r236, 0x1 /* 1 */"
label01FC,389,sync_register2,"... r237, 0x1 /* 1 */"
label0270,395,sync_register2,"... r238, 0x1 /* 1 */"
label02D3,401,sync_register2,"... r239, 0x1 /* 1 */"
label0012,407,sync_register2,"... r185, 0x0 /* 0 */"
label0156,413,sync_register2,"... r186, 0x0 /* 0 */"
label02D4,419,sync_register2,"... r187, 0x0 /* 0 */"
label03E8,425,sync_register2,"... r188, 0x0 /* 0 */"
label0434,460,sync_register2,"... r230, 0x1 /* 1 */"
label0441,466,sync_register2,"... r231, 0x1 /* 1 */"
label044E,472,sync_register2,"... r232, 0x1 /* 1 */"
label045E,478,sync_register2,"... r233, 0x1 /* 1 */"
label039F,484,sync_register2,"... r230, 0x0 /* 0 */"
label03B1,490,sync_register2,"... r231, 0x0 /* 0 */"
label03C1,496,sync_register2,"... r232, 0x0 /* 0 */"
label03D1,502,sync_register2,"... r233, 0x0 /* 0 */"
label00CC,508,sync_register2,"... r85, 0x1 /* 1 */"
label00E4,514,sync_register2,"... r86, 0x1 /* 1 */"
label00FF,520,sync_register2,"... r87, 0x1 /* 1 */"
label0113,526,sync_register2,"... r88, 0x1 /* 1 */"
label017C,566,set,r253
label0407,699,switch_call,"r1, [label01AE, label01C3, label01E1, label01FF]"
label0157,728,switch_jmp,"r250, [label032A, label033A, label034D, label0362]"
label0389,869,item_create2,"r11-r22, r1"
label0389,872,item_delete_by_type,"r11-r13, r1-r12"
label0020,895,item_delete_by_type,"r11-r13, r24-r35"
label0020,897,item_create2,"r11-r22, r24"
label0415,908,get_stackable_item_count,"r1-r4, r0"
label0021,926,item_create2,"r11-r22, r11"
start,1013,set_qt_exit,label000A
start,1014,set_qt_cancel,label000A
start,1015,set_qt_failure,label0064
start,1018,set_floor_handler,"... 0x0 /* 0 */, label0064"
start,1019,set_qt_success,label0014
label03DE,1055,set_quest_board_handler,"... 0x4 /* 4 */, label004D, ""記録全て初期化"""
label004D,1068,switch_jmp,"r50, [label004E, label004F]"
label0064,1144,set_switch_flag_sync,"... 0x0 /* 0 */, 0x64 /* 100 */"
label0133,1187,switch_jmp,"r50, [label03B2, label030E]"
label042A,1250,switch_call,"r250, [label0484, label049B, label04B5, label04CC]"
label0078,1301,jmpi_eq,"r255, 0x00000001, label0001"
label0078,1311,switch_jmp,"r50, [label004C, label02FC]"
label02FC,1319,set,r255
label03D2,1433,switch_jmp,"r50, [label03A1, label0485, label0436, label01B0, label00B1, label0236]"
label03A1,1446,switch_jmp,"r50, [label0050, label0236]"
label0050,1450,get_slot_meseta,r100-r101
label0050,1456,take_slot_meseta,"r100-r101, r102-r103"
label03C2,1469,get_chosen_item_id,r111
label0408,1536,switch_jmp,"r50, [label00E9, label03C2]"
label00E9,1553,switch_call,"r57, [label0116, label0001, label0001]"
label00E9,1556,pl_add_meseta,"... r250, r100"
label0485,1592,get_slot_meseta,r100-r101
label0485,1598,take_slot_meseta,"r100-r101, r102-r103"
label0485,1605,switch_jmp,"r199, [label0001, label0001, label01E3, label0201, label0219, label0234, label0256, label0273]"
label0435,1621,item_create2,"r11-r22, r24"
label00EA,1691,pl_add_meseta,"... r250, r100"
label0134,1722,switch_jmp,"r50, [label0004, label0310, label0236]"
label0235,1729,switch_jmp,"r50, [label0004, label0310, label034F, label0236]"
label034F,1759,switch_call,"r145, [label0486, label038A, label0364]"
label034F,1773,item_create2,"r11-r22, r24"
label0004,1836,switch_jmp,"r50, [label002E, label0236]"
label03F8,1863,get_chosen_item_id,r111
label03EC,1930,switch_jmp,"r50, [label017D, label03F8]"
label0310,1997,switch_jmp,"r199, [label0001, label0001, label0443, label0091, label01E4, label0350, label044F, label00A5]"
label014B,2013,item_create2,"r11-r22, r24"
label0005,2136,switch_jmp,"r50, [label038C, label038B, label02D7, label02C1]"
label0437,2174,switch_jmp,"r50, [label0365, label0077, label03DF]"
label0077,2184,switch_jmp,"r50, [label0461, label01C5, label03DF]"
label01C5,2194,switch_jmp,"r50, [label00BB, label033C, label03DF]"
label033C,2204,switch_jmp,"r50, [label021B, label0437, label03DF]"
label038C,2236,get_slot_meseta,r100-r101
label038C,2242,take_slot_meseta,"r100-r101, r102-r103"
label038C,2249,gettime,r100
label0366,2255,gettime,r101
label01E5,2284,hide_timer,
label0417,2317,switch_jmp,"r50, [label0005, label038B]"
label0237,2548,switch_jmp,"r50, [label02C2, label038B, label014D, label0051]"
label0238,2582,switch_jmp,"r50, [label0119, label038D, label0092]"
label038D,2592,switch_jmp,"r50, [label028F, label0488, label0092]"
label0488,2602,switch_jmp,"r50, [label03C3, label00EB, label0092]"
label00EB,2612,switch_jmp,"r50, [label04CD, label0238, label0092]"
label02C2,2663,get_slot_meseta,r100-r101
label02C2,2669,take_slot_meseta,"r100-r101, r102-r103"
label02C2,2678,gettime,r100
label0014,2684,gettime,r101
label03D3,2711,hide_timer,
label00EC,2786,switch_jmp,"r50, [label0237, label038B]"
label033D,2860,switch_jmp,"r250, [label0450, label0463, label0476, label0489]"
label0450,2865,sync_register2,"... r210, r100"
label0463,2871,sync_register2,"... r211, r100"
label0476,2877,sync_register2,"... r212, r100"
label0489,2883,sync_register2,"... r213, r100"
label033E,2918,switch_jmp,"r50, [label03A2, label0464]"
label0465,2969,switch_jmp,"r50, [label03FB, label0464]"
label00A0,3116,get_stackable_item_count,"r100-r103, r141"
label00A0,3121,get_stackable_item_count,"r100-r103, r142"
label00A0,3143,switch_jmp,"r50, [label0259, label021C]"
label021C,3172,switch_call,"r250, [label00CF, label00ED, label0102, label011A]"
label016C,3426,switch_call,"r57, [label0094, label00A8, label00BE]"
label011C,3444,switch_call,"r57, [label0022, label0030, label0042, label0054, label0068, label007A, label0093, label00A7, label00BD]"
label00BC,3462,switch_call,"r57, [label04B9, label04CE, label0006]"
label007B,3595,get_stackable_item_count,"r100-r103, r11"
label015B,3665,switch_jmp,"r50, [label01C8, label018B]"
label018B,3684,bb_exchange_pd_item,"... r11, r12, r13, label00D0, label01C2"
label02ED,3748,switch_call,"r57, [label041C, label03FD, label040A]"
label02AA,3975,get_stackable_item_count,"r100-r103, r141"
label02AA,3980,get_stackable_item_count,"r100-r103, r142"
label02AA,3996,switch_jmp,"r50, [label0478, label02FE, label00A9, label006A]"
label011E,4003,switch_jmp,"r50, [label0478, label02FE, label006A]"
label0292,4010,switch_jmp,"r50, [label0478, label006A]"
label0312,4147,get_chosen_item_id,r100
label0312,4151,get_item_info,"... r100, r110-r121"
label0015,4209,switch_jmp,"r50, [label0239, label0438, label007C, label01C9, label0340, label02DC]"
label0239,4231,switch_call,"r50, [label016D, label04BC]"
label0438,4264,switch_call,"r50, [label021D, label04BD, label03C4]"
label007C,4297,switch_call,"r50, [label0095, label0293, label0097, label02FF, label0016, label017F]"
label01C9,4331,switch_call,"r50, [label016E, label02EE, label0055]"
label0340,4366,switch_call,"r50, [label015C, label0024]"
label00A9,4499,switch_jmp,"r50, [label0320, label0452, label0032, label02DC]"
label0033,4530,get_chosen_item_id,r100
label0033,4534,get_item_info,"... r100, r110-r121"
label01CB,4602,switch_jmp,"r130, [label011F, label0300, label00EE, label04D0, label02DC]"
label0121,4753,switch_call,"r130, [label042B, label03FF, label01E6, label0275]"
label0121,4761,switch_call,"r50, [label006B, label01B2]"
label02EF,4833,switch_call,"r1, [label0001, label032D, label0302, label00AB, label0122]"
label032E,4953,item_delete_by_type,"r150-r152, r149-r160"
label025A,4977,item_delete_by_type,"r150-r152, r149-r160"
label006C,4987,switch_jmp,"r50, [label0340, label02DC]"
label0466,4994,switch_jmp,"r50, [label0239, label0340, label02DC]"
label015D,5001,switch_jmp,"r50, [label0239, label0438, label007C, label01C9, label02DC]"
