floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
5,21,2,1,1,1,trigger_event(211); stop,2,"{""0x00D7"": 2}"
5,211,2,2,1,1,trigger_event(212); stop,4,"{""0x00D5"": 4}"
5,212,2,2,1,1,set_switch(2); stop,4,"{""0x00D5"": 4}"
5,31,3,1,1,1,trigger_event(311); stop,4,"{""0x00D7"": 4}"
5,311,3,2,60,1,set_switch(3); stop,5,"{""0x00D5"": 3, ""0x00D9"": 2}"
5,41,4,1,1,1,trigger_event(411); stop,5,"{""0x00D5"": 5}"
5,411,4,2,60,1,trigger_event(412); stop,5,"{""0x00D7"": 3, ""0x00D9"": 2}"
5,412,4,3,1,1,set_switch(4); stop,1,"{""0x00D4"": 1}"
5,51,5,1,30,1,trigger_event(511); stop,4,"{""0x00D9"": 4}"
5,511,5,2,30,1,trigger_event(512); stop,5,"{""0x00D5"": 3, ""0x00D7"": 2}"
5,512,5,3,30,1,set_switch(5); stop,2,"{""0x00D4"": 2}"
5,81,8,1,30,1,trigger_event(811); stop,4,"{""0x00D7"": 4}"
5,811,8,2,30,1,trigger_event(812); stop,7,"{""0x00D5"": 5, ""0x00D9"": 2}"
5,812,8,3,30,1,set_switch(7); stop,5,"{""0x00D9"": 5}"
5,91,9,1,30,1,trigger_event(911); stop,2,"{""0x00D4"": 2}"
5,911,9,2,30,1,trigger_event(912); stop,4,"{""0x00D4"": 1, ""0x00D9"": 3}"
5,912,9,3,30,1,trigger_event(913); stop,5,"{""0x00D4"": 2, ""0x00D9"": 3}"
5,913,9,4,30,1,"set_switch(8); construct_objects(room=9,group_or_wave=8); stop",5,"{""0x00D4"": 2, ""0x00D9"": 3}"
