floor,index,type,room,group,x,y,z,p1,p2,p3,p4,p5,p6
0,0,0x0051,0,0,-131.0,0.0,-50.0,1.0,1.0,1.0,0,0,0
0,1,0x0051,0,0,-21.0,0.0,237.0,1.0,1.0,1.0,1,0,0
0,2,0x0051,0,0,-66.5,0.0,-102.0,1.0,1.0,1.0,2,0,0
0,3,0x0051,0,0,-21.0,0.0,-211.0,1.0,1.0,1.0,3,0,0
0,4,0x0051,0,0,-10026.7998046875,-15.0,153.0,1.0,1.0,1.0,1,0,0
0,5,0x0051,0,0,-9972.7998046875,-15.09999942779541,153.0,1.0,1.0,1.0,0,0,0
0,6,0x0051,0,0,-10040.0,1.0,-55.0,1.0,1.0,1.0,2,0,0
0,7,0x0051,0,0,-9960.0,1.0,-55.0,1.0,1.0,1.0,3,0,0
0,8,0x0044,0,0,200.0,0.0,160.0,1.0,1.0,1.0,0,0,0
0,9,0x0000,0,0,10.0,0.0,240.0,0.0,1.0,1.0,0,0,0
0,10,0x0000,0,0,50.0,0.0,240.0,3.0,1.0,1.0,0,0,0
0,11,0x0000,0,0,23.0,0.0,240.0,1.0,1.0,1.0,0,0,0
0,12,0x0000,0,0,37.0,0.0,240.0,2.0,1.0,1.0,0,0,0
0,13,0x02BA,0,0,30.0,0.0,230.0,35.0,1.0,1.0,5,1,0
0,14,0x02BB,0,0,90.0,0.0,160.0,1.0,1.0,1.0,3,0,0
0,15,0x02BB,0,0,-30.0,0.0,160.0,1.0,1.0,1.0,-1,0,0
0,16,0x02BB,0,0,90.0,0.0,40.0,1.0,1.0,1.0,3,0,0
0,17,0x02BD,0,0,190.0,-2.0,40.0,-9990.0,1.0,60.0,32768,0,2
0,18,0x0041,0,0,270.0,-30.0,-220.0,1.0,1.0,1.0,0,0,0
0,19,0x0041,0,0,300.0,-30.0,-220.0,1.0,1.0,1.0,1,0,0
0,20,0x0041,0,0,330.0,-30.0,-215.0,1.0,1.0,1.0,2,0,0
0,21,0x0041,0,0,360.0,-30.0,-185.0,1.0,1.0,1.0,3,0,0
0,22,0x0040,0,0,-1.0,0.0,-209.0,1.0,1.0,1.0,1,0,0
0,23,0x0040,0,0,-96.0,0.0,-200.0,1.0,1.0,1.0,2,0,0
0,24,0x0040,0,0,-146.0,0.0,-189.0,1.0,1.0,1.0,3,0,0
0,25,0x0040,0,0,-157.0,0.0,-130.0,1.0,1.0,1.0,0,0,0
0,26,0x0040,0,0,-80.0,0.0,-110.0,1.0,1.0,1.0,6,0,0
0,27,0x0040,0,0,-123.0,0.0,-75.0,1.0,1.0,1.0,5,0,0
0,28,0x02BA,0,0,300.0,-30.0,-200.0,100.0,1.0,1.0,5,1,0
0,29,0x02BA,0,0,10.0,0.0,-190.0,40.0,1.0,1.0,5,1,0
0,30,0x02BB,0,0,-30.0,1.799999713897705,40.0,1.0,1.0,1.0,-1,0,0
0,31,0x02B5,0,0,-125.0,-8.0,40.0,1.0,1.0,1.0,0,0,0
0,32,0x02B1,0,0,-145.0,0.0,40.0,1.0,1.0,1.0,0,0,0
0,33,0x0045,0,0,-10000.0,10.0,140.0,135.0,0.0,50.0,49152,65536,1
0,34,0x0056,0,0,-10105.0,-10.0,-10.0,1.0,1.0,1.0,1,0,0
0,35,0x0056,0,0,-9895.0,-10.0,-10.0,1.0,1.0,1.0,-1,1,0
0,36,0x0043,0,0,-9770.0,-8.5,-10.0,1.0,1.0,1.0,1,1,0
0,37,0x0043,0,0,-10230.0,-8.5,-10.0,1.0,1.0,1.0,1,2,0
0,38,0x0000,0,0,-10020.0,0.0,30.0,0.0,1.0,1.0,1,0,0
0,39,0x0000,0,0,-9980.0,0.0,30.0,1.0,1.0,1.0,1,0,0
0,40,0x0000,0,0,-10030.0,0.0,50.0,2.0,1.0,1.0,1,0,0
0,41,0x0000,0,0,-9970.0,0.0,50.0,3.0,1.0,1.0,1,0,0
0,42,0x02BA,0,0,-10000.0,-1.7601996660232544e-07,40.0,50.0,1.0,1.0,5,1,0
0,43,0x02BA,0,0,-10000.0,30.0,-190.0,50.0,1.0,1.0,5,1,0
0,44,0x02B1,0,0,-145.0,0.0,190.0,1.0,1.0,1.0,0,0,0
0,45,0x02B2,0,0,-130.0,0.0,67.0,1.0,1.0,1.0,0,0,0
0,46,0x02B2,0,0,-130.0,0.0,13.0,1.0,1.0,1.0,0,0,0
0,47,0x02B1,0,0,-145.0,0.0,130.0,1.0,1.0,1.0,0,0,0
0,48,0x0052,0,0,-4070.0,0.0,0.0,1.0,1.0,1.0,0,0,0
0,49,0x02B5,0,0,-4030.0,-10.0,25.0,1.0,1.0,1.0,0,0,0
0,50,0x02B4,0,0,-4030.0,-10.0,-25.0,1.0,1.0,1.0,0,0,0
0,51,0x02B3,0,0,-4020.0,0.0,0.0,1.0,1.0,1.0,0,0,0
